Column1,Column2,Column3
,"This old, hardy French variety, also known as ""Goutte de Sang"", produces a large head in late winter, with blond-green leaves spotted with brown and a crunchy, mild flavor.
This variety can also be grown as a spring lettuce.
                                    These products may also be of interest to you

            
            
                Soissons - Batavia Lettuce
            
        
            
            
                Emerald Fan - To cut Lettuce
            
        
            
            
                Jester - Batavia Lettuce
            
        
            
            
                Ruby Vase - Romaine Lettuce",
,"This very old variety forms an apple surrounded by green, red-speckled, slightly wavy leaves. It has a juicy texture and mild flavor.

Characteristics of De Russie winter lettuce

De Russie winter lettuce or Goutte de Sang, Lactuca sativa, is a very old, cold-hardy variety of winter lettuce. Originally from Russia, it is listed in Dominique Guillet's Semences de Kokopelli catalog. De Russie winter lettuce stands out for its long green leaves spotted with red, whose juicy texture can be enjoyed raw in salads, but also cooked, stewed or braised to accompany a wide range of vegetables and meats.

Like Brune d'Hiver and Merveille d'Hiver lettuces, De Russie winter lettuce is sown in late summer and harvested in early spring.

When to sow De Russie winter lettuce?

The ideal sowing period is from August to September in pots under cover, and from September to October in the open ground. You can also grow this variety of winter lettuce in pots, to enjoy on terraces or balconies. It is then harvested from October to April.

Seedlings should be sown one month before planting in the vegetable garden, at a temperature of between 15 and 21°C. Cover the lettuce seeds with a light layer of soil and keep the substrate moist until emergence. Transplant into the garden, 30 cm apart in all directions, once the plants have reached the stage of 4 true leaves. Be careful, however, as transplanting can interfere with the development of the lettuce taproot.

Sow lightly directly in the ground, then thin out to 30 cm in all directions when the plants have 4 true leaves, to encourage harmonious development of the lettuces. Choose humus-rich soil and half-shade exposure. The very small seeds can be mixed with radish seeds to avoid over-dense sowing. Stagger sowing, every 15 days, to enjoy lettuce for several months.

What companion plants for De Russie winter lettuce?

In the vegetable garden, this variety of lettuce thrives alongside many plants, such as cucumbers, carrots, onions, radishes, cabbage , beet and strawberries.

How to eat Russian winter lettuce?

Russian winter lettuce is harvested in early spring, from January to April, before it goes to seed. It's best to eat the leaves just after picking, to take advantage of their freshness, as they don't keep long in the refrigerator crisper. Sweet and juicy, they can be eaten raw in salads, cooked in soups or in vegetable juices.

Rich in vitamins and minerals, lettuce plays a key role in the body's cell renewal. Thanks to its fiber and water content, it also facilitates digestion and transit. In addition, the lactucarium contained in Lactuca Sativa gives it calming properties, useful against insomnia and anxiety.
                                    These products may also be of interest to you

            
            
                De Tremont - Head Lettuce
            
        
            
            
                Winter Red - Romaine Lettuce
            
        
            
            
                Flame - To cut Lettuce
            
        
            
            
                Gotte à Graines Noires - Head Lettuce",
,"This very old variety, also known as ""Rougette du Midi"", produces a small apple with green leaves tinged with red, very crunchy and tasty.
                                    These products may also be of interest to you

            
            
                Amish Deer Tongue - To cut Lettuce
            
        
            
            
                Frank's Unsung Crispy Mix - Mixed Lettuce
            
        
            
            
                Flashy Butter Oak - Head Lettuce
            
        
            
            
                Merveille de Verano - Batavia Lettuce",
,"This very old French variety produces a beautiful, tight apple weighing around 100 g, with glossy green foliage and an appreciated flavor.
                                    These products may also be of interest to you

            
            
                Passion Blonde - Head Lettuce
            
        
            
            
                Amish Deer Tongue - To cut Lettuce
            
        
            
            
                Bronze Mignonnette - To cut Lettuce
            
        
            
            
                À Feuilles d'Épée - To cut Lettuce",
,"This very old, vigorous French variety can be grown in any season. Even in hot weather, it produces firm, bright-red leaves that quickly form a rounded head.
                                    These products may also be of interest to you

            
            
                Chou de Naples - Batavia Lettuce
            
        
            
            
                Emerald Fan - To cut Lettuce
            
        
            
            
                Flashy Butter Oak - Head Lettuce
            
        
            
            
                Red Oak Leaf - To cut Lettuce",
,"This very old, hardy and vigorous variety produces beautiful, compact apples, around 30 cm in diameter, with green leaves tinged with reddish-brown on the edges, slightly wavy, and excellent flavor.
                                    These products may also be of interest to you

            
            
                Spring Gold - Batavia Lettuce
            
        
            
            
                Buttercrunch - Head Lettuce
            
        
            
            
                Gloire de Nantes - Head Lettuce
            
        
            
            
                Chou de Naples - Batavia Lettuce",
,"This ancient, heat-resistant French variety produces wavy, blistered, pale-green leaves. They form a voluminous, rather round and flat apple, about 30 cm in diameter.
                                    These products may also be of interest to you

            
            
                Pasquier - Batavia Lettuce
            
        
            
            
                Brune Percheronne - Head Lettuce
            
        
            
            
                Valmaine - Romaine Lettuce
            
        
            
            
                Flashy Lightning Butter Oak - Head Lettuce",
,"This old, vigorous variety produces a very firm, round apple that remains perfectly white inside. Its outer leaves are large, well blistered and greenish-blond in color.
This variety is slow to bolt.
                                    These products may also be of interest to you

            
            
                Buttercrunch - Head Lettuce
            
        
            
            
                Chicon des Charentes - Romaine Lettuce
            
        
            
            
                Frank's Unsung Crispy Mix - Mixed Lettuce
            
        
            
            
                Red Butter - Romaine Lettuce",
,"This vigorous, compact variety produces an abundance of triangular, pointed green leaves with a thin rib. They offer a firm texture and very good flavor.
                                    These products may also be of interest to you

            
            
                Saint Blaise - Romaine Lettuce
            
        
            
            
                Lattughino Verde - To cut Lettuce
            
        
            
            
                Pirat - Head Lettuce
            
        
            
            
                Flashy Butter Gem - Romaine Lettuce",
,"This old variety offers lettuces with magnificent bronze-green, bright red foliage, finely curled at the tip. It is appreciated for both its flavor and its decorative appeal.
The peripheral leaves are cut off, one by one, as needed. New ones develop after successive harvests.
                                    These products may also be of interest to you

            
            
                Blonde Maraichère - Romaine Lettuce
            
        
            
            
                Red Velvet - To cut Lettuce
            
        
            
            
                Cougar - Batavia Lettuce
            
        
            
            
                Blonde de Saint Étienne - Lettuce",
,"This ancient variety, one of the reddest, has reddish-brown leaf tips and brown-tinged green undersides. They have a crunchy texture and pleasant flavor.
                                    These products may also be of interest to you

            
            
                Rougette de Montpellier - Head Lettuce
            
        
            
            
                Carmona - Head Lettuce
            
        
            
            
                Emerald Oak - To cut Lettuce
            
        
            
            
                Leopard - Romaine Lettuce",
,"This herbaceous plant produces slender leaves divided like deer antlers. They become more tender after the first frosts and offer a fine, pleasant flavor. They are eaten raw in salads.",
,"This old, hardy variety is vigorous and heat-resistant, with magnificent mauve, pointed leaves. They can be eaten raw, in salads, or cooked like spinach.
                                    These products may also be of interest to you

            
            
                Ruby Gold - Arroch
            
        
            
            
                Green - Arroch",
,"This variety, bred by Frank Morton, produces delicious, tender-green leaves that can be eaten raw or cooked, like spinach. These magnificent raspberry-tinged golden panicles will enhance any dry bouquet.

This is a selection from a cross involving ""Magenta"" and ""Gold"".
                                    These products may also be of interest to you

            
            
                Purple - Arroch
            
        
            
            
                Green - Arroch",
,"This ancient variety, very hardy and adapted to heat, is fast-growing and has highly embossed green leaves. They can be eaten raw or cooked like spinach, with a flavor reminiscent of spinach.
                                    These products may also be of interest to you

            
            
                Purple - Arroch
            
        
            
            
                Ruby Gold - Arroch",
,"This blend, ideal for varying colors and flavors, features a variety of arrowroot varieties. The leaves can be eaten raw or cooked like spinach.
It contains :
- Arroche ""Violette à Feuilles Pointues"" ;
- Arroche ""Blonde"" ;
- Arroche ""Opéra"" ;
- Arroche ""Magenta Magic"" ;
- Arroche ""Triple Purple"" ;
- Arroche ""Blonde d'Auby"".
                                    These products may also be of interest to you

            
            
                Purple - Arroch
            
        
            
            
                Ruby Gold - Arroch
            
        
            
            
                Green - Arroch",
,"This old-fashioned variety, not as tall as ""Opera"", adapts to a wide range of growing conditions. Its rounded, blond-green leaves are very tender and can be eaten raw or cooked like spinach.
                                    These products may also be of interest to you

            
            
                Purple - Arroch
            
        
            
            
                Ruby Gold - Arroch
            
        
            
            
                Green - Arroch",
,"This hardy variety produces beautifully fuchsia-pink, rounded leaves with a tender texture. They can be eaten raw or cooked like spinach.
                                    These products may also be of interest to you

            
            
                Purple - Arroch
            
        
            
            
                Ruby Gold - Arroch
            
        
            
            
                Green - Arroch",
,"This ancient variety, adapted to a wide range of growing conditions, has tender, very broad, intensely red leaves. They remain dark when cooked, and can be eaten raw or cooked like spinach.
                                    These products may also be of interest to you

            
            
                Purple - Arroch
            
        
            
            
                Ruby Gold - Arroch
            
        
            
            
                Green - Arroch",
,"This vigorous variety, selected by Frank Morton for its color, produces thick, serrated leaves of a beautiful deep purple. They can be eaten raw or cooked, like spinach.
                                    These products may also be of interest to you

            
            
                Purple - Arroch
            
        
            
            
                Ruby Gold - Arroch
            
        
            
            
                Green - Arroch",
,"This hardy variety produces pointed purple leaves with a tender texture. They can be eaten raw or cooked like spinach.
                                    These products may also be of interest to you

            
            
                Purple - Arroch
            
        
            
            
                Ruby Gold - Arroch
            
        
            
            
                Green - Arroch",
,"This old, hardy, vigorous and productive variety quickly forms a conical, grey-green apple up to 40 cm tall, with large, rounded, fairly thick leaves. 
                                    These products may also be of interest to you

            
            
                Magnat - Light green Cabbage
            
        
            
            
                Pointu de Chateaurenard - Green Cabbage
            
        
            
            
                Filderkraut - White Cabbage
            
        
            
            
                Wädenswil - Green Cabbage",
,"This variety, originally from Russia and very well adapted to the cold, was introduced to Creuse around 1760. Its huge apples can weigh up to 15 kg and can be prepared as sauerkraut or stored in silos.
                                    These products may also be of interest to you

            
            
                Large Drumhead Savoy - Green Cabbage
            
        
            
            
                Pointu de Chateaurenard - Green Cabbage
            
        
            
            
                Filderkraut - White Cabbage
            
        
            
            
                Wädenswil - Green Cabbage",
,"This very old, early and hardy variety, adapted to spring cultivation and southern regions, produces a beautiful apple with smooth, blue-green leaves, slightly tinged with red, weighing around 1 kg and ending in a point.
Not very sensitive to bolting.
                                    These products may also be of interest to you

            
            
                Large Drumhead Savoy - Green Cabbage
            
        
            
            
                Magnat - Light green Cabbage
            
        
            
            
                Filderkraut - White Cabbage
            
        
            
            
                Wädenswil - Green Cabbage",
,"This semi-late variety has a large, very conical, white apple weighing 3 to 5 kg. Rich in sugar and very tasty, it is ideal for making sauerkraut.
                                    These products may also be of interest to you

            
            
                Large Drumhead Savoy - Green Cabbage
            
        
            
            
                Magnat - Light green Cabbage
            
        
            
            
                Pointu de Chateaurenard - Green Cabbage
            
        
            
            
                Wädenswil - Green Cabbage",
,"This variety produces large, tight, round apples with a green-gray color. They have a firm texture and good flavor, and are used to make sauerkraut.

This variety has a vigorous growth habit.
                                    These products may also be of interest to you

            
            
                Large Drumhead Savoy - Green Cabbage
            
        
            
            
                Magnat - Light green Cabbage
            
        
            
            
                Pointu de Chateaurenard - Green Cabbage
            
        
            
            
                Filderkraut - White Cabbage",
,"This old variety produces compact, firm, dense apples up to 20 cm in diameter and weighing up to 2 kg. They are covered with light-green leaves. The variety is not very sensitive to bolting.
This variety adapts to a wide range of growing conditions.
                                    These products may also be of interest to you

            
            
                Magnat - Light green Cabbage
            
        
            
            
                Pointu de Chateaurenard - Green Cabbage
            
        
            
            
                Filderkraut - White Cabbage
            
        
            
            
                Wädenswil - Green Cabbage",
,"This variety produces round, green-gray ""Copenhagen Market"" apples weighing around 2 kg and measuring 15 cm in diameter. The stem is fairly short and the outer leaves are tightly wrapped. It has a tender texture and good sweet flavor.
                                    These products may also be of interest to you

            
            
                Large Drumhead Savoy - Green Cabbage
            
        
            
            
                Pointu de Chateaurenard - Green Cabbage
            
        
            
            
                Filderkraut - White Cabbage
            
        
            
            
                Wädenswil - Green Cabbage",
,"This variety produces a short-stemmed, very firm, oval apple that is resistant to shattering. Excellent for preserving, it is particularly suitable for making sauerkraut.
                                    These products may also be of interest to you

            
            
                Large Drumhead Savoy - Green Cabbage
            
        
            
            
                Pointu de Chateaurenard - Green Cabbage
            
        
            
            
                Filderkraut - White Cabbage
            
        
            
            
                Wädenswil - Green Cabbage",
,"This ancient, hardy and highly productive variety produces very large, flattened, firm apples in the late season. Its smooth leaves, varying from light green to ashen, are highly prized.
Ideal for sauerkraut production.
                                    These products may also be of interest to you

            
            
                Magnat - Light green Cabbage
            
        
            
            
                Pointu de Chateaurenard - Green Cabbage
            
        
            
            
                Filderkraut - White Cabbage
            
        
            
            
                Wädenswil - Green Cabbage",
,"This ancient variety produces an apple up to 20 cm in diameter, light green in color, whose fine, excellent leaves are often used to make rolls.
                                    These products may also be of interest to you

            
            
                Large Drumhead Savoy - Green Cabbage
            
        
            
            
                Magnat - Light green Cabbage
            
        
            
            
                Pointu de Chateaurenard - Green Cabbage
            
        
            
            
                Wädenswil - Green Cabbage",
,"This very old late variety, with a short stem, produces a tender green apple up to 30 cm wide, completely flattened on top and with a crunchy texture. Ideal for sauerkraut.

This variety, also known as ""Early Flat Dutch"", ""de Boston"" and ""Early Drumhead"", is ideal for making sauerkraut.
                                    These products may also be of interest to you

            
            
                Large Drumhead Savoy - Green Cabbage
            
        
            
            
                Magnat - Light green Cabbage
            
        
            
            
                Filderkraut - White Cabbage
            
        
            
            
                Wädenswil - Green Cabbage",
,"This old variety has excellent keeping qualities. It has a large, tight, round, slightly flattened head with firm, full, bright green leaves. The stem is half-short.
This variety has a fairly spreading habit.
                                    These products may also be of interest to you

            
            
                Large Drumhead Savoy - Green Cabbage
            
        
            
            
                Magnat - Light green Cabbage
            
        
            
            
                Pointu de Chateaurenard - Green Cabbage
            
        
            
            
                Filderkraut - White Cabbage",
,"This very old variety, not very sensitive to bolting, produces dark green conical apples. They have a thick texture and good flavor.",
,"This variety produces dense, light-green apples. They have a crunchy texture.
                                    These products may also be of interest to you

            
            
                Large Drumhead Savoy - Green Cabbage
            
        
            
            
                Magnat - Light green Cabbage
            
        
            
            
                Pointu de Chateaurenard - Green Cabbage
            
        
            
            
                Wädenswil - Green Cabbage",
,"This traditional Limousin variety produces a round, loosely packed, white apple, ideal for eating raw. Renowned for its hardiness, it is particularly well adapted to colder climates.
                                    These products may also be of interest to you

            
            
                Large Drumhead Savoy - Green Cabbage
            
        
            
            
                Magnat - Light green Cabbage
            
        
            
            
                Pointu de Chateaurenard - Green Cabbage
            
        
            
            
                Wädenswil - Green Cabbage",
,"This old, hardy variety produces plants with abundant, upright foliage and fine, hollow white ribs with a tender, brittle texture.
                                    These products may also be of interest to you

            
            
                Redpar - Cutting Celery",
,"This variety, developed by Frank Morton, has long, thin, red stalks with dark green, cut leaves. Particularly appreciated in salads, it can also be cooked like other celery cuttings.
                                    These products may also be of interest to you

            
            
                Cutting - Cutting Celery",
,"This particularly fragrant biennial variety produces fine, brittle stems and curly, parsley-like foliage. It can be used in a thousand and one ways to enhance any dish.
                                    These products may also be of interest to you

            
            
                Cutting - Cutting Celery
            
        
            
            
                Redpar - Cutting Celery",
,"This very early variety of celery for cutting has hollow, gold-colored stalks and a lovely flavor.
                                    These products may also be of interest to you

            
            
                Cutting - Cutting Celery
            
        
            
            
                Redpar - Cutting Celery",
,"This highly productive, hardy Belgian variety has long, thin hollow ribs and abundant, dark-green, particularly aromatic foliage.
                                    These products may also be of interest to you

            
            
                Cutting - Cutting Celery
            
        
            
            
                Redpar - Cutting Celery",
,"This very old variety from Yugoslavia produces a large green and red apple with an almost white center. The leaves have a tender texture and an excellent, very mild flavor.
                                    These products may also be of interest to you

            
            
                Golden Tennis Ball - Head Lettuce
            
        
            
            
                Chicon de Vendée - Romaine Lettuce
            
        
            
            
                Amish Deer Tongue - To cut Lettuce
            
        
            
            
                Tango - To cut Lettuce",
,"This old French variety, hardy and vigorous, produces a beautiful, tight apple surrounded by smooth, green leaves veiled in pink.
                                    These products may also be of interest to you

            
            
                Lednicky - Head Lettuce
            
        
            
            
                Radichetta  - Lettuce
            
        
            
            
                Merlox Red Oak - To cut Lettuce
            
        
            
            
                Jester - Batavia Lettuce",
,"This old variety is one of the best and most hardy. It produces a full-green apple with a reddish-brown tinge. Its leaves offer a crunchy texture and excellent flavor.
                                    These products may also be of interest to you

            
            
                Black-Seeded Simpson - To cut Lettuce
            
        
            
            
                Flame - To cut Lettuce
            
        
            
            
                Ruby Vase - Romaine Lettuce
            
        
            
            
                Roxy - Head Lettuce",
,"This old variety is slow to bolt and can be sown all year round in mild climates. It produces a beautiful apple with green leaves tinged with red on the edges, curly and firm in texture.
                                    These products may also be of interest to you

            
            
                Verrières - Head Lettuce
            
        
            
            
                Brune Percheronne - Head Lettuce
            
        
            
            
                Blushed Butter Oak - Head Lettuce
            
        
            
            
                Dubya Dapple Density - Romaine Lettuce",
,"This old, compact French variety produces a beautiful apple 20 to 25 cm in diameter, with green leaves speckled with blood-red towards the heart. They have a tender texture and good flavor.
                                    These products may also be of interest to you

            
            
                Gloire du Dauphiné - Batavia Lettuce
            
        
            
            
                Brune Percheronne - Head Lettuce
            
        
            
            
                Flame - To cut Lettuce
            
        
            
            
                Dark Green - Romaine Lettuce",
,"Little Gem romaine lettuce is an old-fashioned variety, halfway between ""romaine"" and ""pommée"". It produces a small head of wavy green leaves, with a firm creamy-yellow center, and offers a crunchy texture and excellent flavor.

Characteristics of Little Gem romaine lettuce

Little Gem romaine lettuce, Lactuca sativa, is an early variety of leafy vegetable first described in England in 1880. Closely related to the ""Sucrine"" lettuce, this compact variety offers a small head of green leaves, with a creamy yellow heart, wavy and crisp. This romaine lettuce can be eaten raw, in salads, or cooked, braised or pan-fried.

Sowing Little Gem romaine lettuce

The ideal sowing period is from February to May in pots under cover, and from March to September in the garden. You can also grow this variety of lettuce in pots, to enjoy on terraces or balconies. Romaine lettuce is harvested from April to November.

Seedlings should be sown one month before planting in the vegetable garden, at a temperature of between 15 and 21°C. Cover the lettuce seeds with a light layer of soil and keep the substrate moist until emergence. Transplant into the garden, 20 cm apart in all directions, once the plants have reached the stage of 4 true leaves.

Light sow directly in the ground, then thin out to 20 cm in all directions when the plants have 4 true leaves, to encourage harmonious lettuce development. Choose humus-rich soil and half-shade exposure. The very small seeds can be mixed with radish seeds to avoid over-dense sowing. Stagger sowing, every 15 days, to enjoy this lettuce for several months.

Romaine lettuce companion plants

In the vegetable garden, this variety of lettuce grows harmoniously with radishes, cucumbers, carrots, onions, cabbage , beet and strawberries.

How should Little Gem romaine lettuce be eaten?

This variety of romaine lettuce can be harvested as needed, from April to November. Although the leaves can be kept for a few days in the fridge, it's best to eat them immediately after picking to enjoy their freshness. Crunchy and delicious, this lettuce can be eaten raw in salads or cooked, braised or pan-fried.

Rich in vitamins and minerals, lettuce plays a key role in the body's cell renewal. Thanks to its fiber and water content, it also facilitates digestion and transit. In addition, the lactucarium contained in Lactuca sativa gives it calming properties, useful against insomnia and anxiety.
                                    These products may also be of interest to you

            
            
                Black-Seeded Simpson - To cut Lettuce
            
        
            
            
                Bon Jardinier - Head Lettuce
            
        
            
            
                Radichetta  - Lettuce
            
        
            
            
                Chicon Pomme En Terre - Romaine Lettuce",
,"This very old, vigorous and extremely hardy variety has a large, open rosette with thick, elongated leaves that are reddish-brown with a firm texture and good flavor.
                                    These products may also be of interest to you

            
            
                Russian - Lettuce
            
        
            
            
                Grosse Blonde Paresseuse - Head Lettuce
            
        
            
            
                Gloire de Nantes - Head Lettuce
            
        
            
            
                Tango - To cut Lettuce",
,"This spring variety, which is heat-resistant and slow to bolt, produces fairly tall, pointed apples with thin, blistered green leaves. They have a tender texture and mild flavor.
                                    These products may also be of interest to you

            
            
                Oak Leaf - To cut Lettuce
            
        
            
            
                Radichetta  - Lettuce
            
        
            
            
                De Tremont - Head Lettuce
            
        
            
            
                Jester - Batavia Lettuce",
,"This very rare variety, originally from Czechoslovakia, produces beautiful apples with smooth, slightly curved leaves, a soft, shiny green tinged with red.
                                    These products may also be of interest to you

            
            
                Saint Blaise - Romaine Lettuce
            
        
            
            
                Verrières - Head Lettuce
            
        
            
            
                Palatine - Head Lettuce
            
        
            
            
                Verte de Limoges - Head Lettuce",
,"This old French variety is very hardy and produces a large apple surrounded by slightly wavy green leaves colored brown, offering a crunchy texture and mild flavor.
                                    These products may also be of interest to you

            
            
                Oak Leaf - To cut Lettuce
            
        
            
            
                Crisp Mint - Romaine Lettuce
            
        
            
            
                Gloire de Nantes - Head Lettuce
            
        
            
            
                Gotte à Graines Noires - Head Lettuce",
,"This variety, close to the ""Blonde maraîchère"", produces crunchy, wavy, pinkish-green leaves forming an erect, elongated head.
                                    These products may also be of interest to you

            
            
                Blonde Maraichère - Romaine Lettuce
            
        
            
            
                Russian - Lettuce
            
        
            
            
                Grosse Blonde Paresseuse - Head Lettuce
            
        
            
            
                Elf Ears Oak - To cut Lettuce",
,"This old, hardy variety produces a beautiful small apple with very fleshy green leaves. Excellent flavor.
                                    These products may also be of interest to you

            
            
                Kagraner Sommer - Head Lettuce
            
        
            
            
                Blushed Butter Oak - Head Lettuce
            
        
            
            
                Jack Ice - Batavia Lettuce
            
        
            
            
                Gloire de Nantes - Head Lettuce",
,"This variety of lettuce is slow to bolt and produces glossy red ""Oak Leaf"" foliage. Its leaves, 30 to 45 cm long, offer a crunchy texture and pleasant flavor.
                                    These products may also be of interest to you

            
            
                Speckled - To cut Lettuce
            
        
            
            
                Salad Bowl Red - To cut Lettuce
            
        
            
            
                Crisp Mint - Romaine Lettuce
            
        
            
            
                Ruby Vase - Romaine Lettuce",
,"This ancient variety, one of the earliest and hardiest, produces a dense apple with green leaves tinged with red. They offer a crunchy texture and mild flavor.

This variety adapts to a wide range of growing conditions.
                                    These products may also be of interest to you

            
            
                Oak Leaf - To cut Lettuce
            
        
            
            
                Devil's Ears - To cut Lettuce
            
        
            
            
                Grosse Blonde Paresseuse - Head Lettuce
            
        
            
            
                Morton's Secret Mix 15 - Mixed Lettuce",
,"This old-fashioned variety has a rosette of very loose, crunchy, embossed green and bronze leaves with a delicious flavor. It is adapted to very hot climates and is slow to bolt.

The peripheral leaves are cut off, one by one, as needed. New ones develop after successive harvests.
                                    These products may also be of interest to you

            
            
                Green Deer Tongue - To cut Lettuce
            
        
            
            
                Gloire du Dauphiné - Batavia Lettuce
            
        
            
            
                Emerald Oak - To cut Lettuce
            
        
            
            
                Better Devil - Romaine Lettuce",
,"This old variety from Gascony, very hardy and cold-resistant, produces a fairly loose apple with green-brown leaves, firm texture and excellent flavor.
                                    These products may also be of interest to you

            
            
                Chicon de Vendée - Romaine Lettuce
            
        
            
            
                Gloire de Nantes - Head Lettuce
            
        
            
            
                Tango - To cut Lettuce
            
        
            
            
                Red Butter - Romaine Lettuce",
,"This old variety, resistant to bolting and drought, produces compact apples, 10 to 12 cm in diameter, with a broad yellow-white core surrounded by thick, dark-green leaves with a reddish tinge.
                                    These products may also be of interest to you

            
            
                Devil's Ears - To cut Lettuce
            
        
            
            
                De Tremont - Head Lettuce
            
        
            
            
                Outredgeous Selections - Romaine Lettuce
            
        
            
            
                Roxy - Head Lettuce",
,"This ancient, hardy variety can be grown in all seasons and produces large, elongated, light-green apples with tender, flavorful leaves.
                                    These products may also be of interest to you

            
            
                Integrata Red - Lettuce
            
        
            
            
                Redder Ruffled Oak - To cut Lettuce
            
        
            
            
                Flashy Butter Oak - Head Lettuce
            
        
            
            
                Morton's Secret Mix 15 - Mixed Lettuce",
,"This hardy, vigorous variety produces large, beautiful apples with wavy, green leaves edged in red. They offer a crisp texture and mild flavor.

In danger of extinction, this variety has been revived by Frank Morton of Wild Garden Seeds in Oregon, USA.
                                    These products may also be of interest to you

            
            
                De Tremont - Head Lettuce
            
        
            
            
                Rougette de Montpellier - Head Lettuce
            
        
            
            
                Winter Red - Romaine Lettuce
            
        
            
            
                Freedom Mix - Mixed Lettuce",
,"This ancient variety, developed to withstand desert heat, produces a rosette of elongated green leaves. They offer a crunchy texture and mild flavor.
                                    These products may also be of interest to you

            
            
                Pasquier - Batavia Lettuce
            
        
            
            
                Grosse Blonde Paresseuse - Head Lettuce
            
        
            
            
                Redder Ruffled Oak - To cut Lettuce
            
        
            
            
                Verte de Limoges - Head Lettuce",
,"This variety produces large, upright heads with thick leaves. It is one of the most resistant batavian lettuces to bolting.

Characteristics of Long Standing Batavian lettuce

Long Standing Batavian lettuce, Lactuca sativa, is a mid-season variety from the United States. It has a large, light-green head with thick, blistered leaves and a crunchy texture. Like all batavia lettuces, it can be eaten raw or cooked.

Sowing Long Standing Batavian lettuce

The ideal sowing period is from February to May in pots under cover, and from March to September in the garden. Batavia lettuce is harvested from April to December.

Seedlings should be sown one month before planting in the vegetable garden, at a temperature of between 15 and 21°C. Cover the lettuce seeds with a light layer of soil and keep the substrate moist until emergence. Transplant into the garden, 30 cm apart in all directions, once the plants have reached the stage of 4 true leaves. Be careful, however, as transplanting can interfere with the development of the lettuce taproot.

Sow lightly directly in the ground, then thin out to 30 cm in all directions when the plants have 4 true leaves, to encourage harmonious development of the lettuces. Choose humus-rich soil and half-shade exposure. The very small seeds can be mixed with radish seeds to avoid over-dense sowing. Stagger sowing, every 15 days, to enjoy this lettuce for several months.

Batavia lettuce companion plants

In the vegetable garden, this variety of lettuce grows harmoniously with many plants, such as carrots, onions, radishes, cucumbers, cabbage , beet and strawberries.
                                    These products may also be of interest to you

            
            
                Lollo Rossa - To cut Lettuce
            
        
            
            
                Melnicky Maj - Head Lettuce
            
        
            
            
                Frank Morton's Secret Mix - Mixed Lettuce
            
        
            
            
                Roxy - Head Lettuce",
,"This vigorous, frost-resistant variety forms a very open rosette of crisp, reddish-purple leaves, reminiscent of the Merlot grape whose name it bears.
The peripheral leaves are cut off, one by one, as needed. New ones develop after successive harvests.
                                    These products may also be of interest to you

            
            
                Rouge Grenobloise - Lettuce
            
        
            
            
                Saint Blaise - Romaine Lettuce
            
        
            
            
                Chartreuse / Butter Tongue - Head Lettuce
            
        
            
            
                Vulcan - To cut Lettuce",
,"This hardy variety, slow to bolt, produces a beautiful apple with bronze-green leaves. They offer a tender texture and delicious flavor.
This lettuce is also known as ""melon salad"".
                                    These products may also be of interest to you

            
            
                Cimmaron - Romaine Lettuce
            
        
            
            
                Lollo Rossa - To cut Lettuce
            
        
            
            
                Chicon Pomme En Terre - Romaine Lettuce
            
        
            
            
                Soissons - Batavia Lettuce",
,"This excellent spring variety, originally from Belgium, produces a very large apple with green leaves iridescent with pink. They have a firm texture and good flavor.
                                    These products may also be of interest to you

            
            
                Polish - Head Lettuce
            
        
            
            
                Reine de Juillet - Head Lettuce
            
        
            
            
                Majestic Red - Romaine Lettuce
            
        
            
            
                Morton's Secret Mix 15 - Mixed Lettuce",
,"This variety produces an open head with dark-red, crinkled leaves. It resprouts spontaneously in autumn, producing an abundance of young lettuces towards the end of winter.

Characteristics of Integrata Red romaine lettuce

Integrata Red romaine lettuce, Lactuca sativa, is a new variety developed by Franck Morton in Oregon, USA. It is the result of a cross between the ""Wavy Red Cos"" variety and a wild lettuce Lactuca serriola integrata. This mid-season variety has an open head with curly leaves, green in color and turning red at maturity. It can be eaten raw in salads, or baked or pan-fried.

Sowing red romaine lettuce

The ideal sowing period is from February to May in pots under cover, and from March to September in the garden. Red romaine lettuce can be harvested from April to January.

Seedlings should be sown one month before planting in the vegetable garden, at a temperature of between 15 and 21°C. Cover the lettuce seeds with a light layer of soil and keep the substrate moist until emergence. Transplant into the garden, 30 cm apart in all directions, once the plants have reached the stage of 4 true leaves.

Seedlings in pots or trays should be sown one month before planting, at a temperature of between 15 and 21°C. Cover the lettuce seeds with a light layer of soil and keep the substrate moist until emergence. Transplant into the garden, 30 cm apart in all directions, once the plants have reached the stage of 4 true leaves. Be careful, however, as transplanting can interfere with the development of the lettuce taproot.

Sow lightly directly in the ground, then thin out to 30 cm in all directions when the plants have 4 true leaves, to encourage harmonious development of the lettuces. Choose humus-rich soil and half-shade exposure. The very small seeds can be mixed with radish seeds to avoid over-dense sowing. Stagger sowing, every 15 days, to enjoy this lettuce for several months.

Red romaine lettuce companion plants

In the vegetable garden, this variety of lettuce grows harmoniously with radishes, cucumbers, carrots, onions, cabbage , beet and strawberries.
                                    These products may also be of interest to you

            
            
                Lednicky - Head Lettuce
            
        
            
            
                Pasquier - Batavia Lettuce
            
        
            
            
                Little Gem - Lettuce
            
        
            
            
                Chicon Pomme En Terre - Romaine Lettuce",
