Names,Soil_Types,Plant_Category,Season,Watering,Fertilization_List,Fertilization_Time,Best_Growing_Areas,Temperature,Soil_Temperature,Precipitation,Soil_Moisture,Sunshine_Duration,Humid
agave fourcroydes,"[""Sandy"",""Loamy"",""Clay""]",Agave,"[""Year-round"",""Start of summer""]",Every 5 days,"[""Nitrogen"",""Phosphorus"",""Potassium""]",Every 4 weeks,"[""Mexico"",""Guatemala"",""Honduras""]",25.0,30.0,750.0,0.3,300,60
agropyron fragile,"[""Loamy"",""Sandy"",""Clayey""]",Grass,"[""Late spring"",""Summer"",""Early autumn""]",24 hours interval,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4 weeks interval,"[""Northern Europe"",""North America"",""Asia""]",10.0,11.0,500.0,0.3,3000,80
agropyron mongolicum,"[""Loam"",""Sandy Loam"",""Silt Loam""]",Grass,"[""Spring"",""Summer""]",03-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""East Asia"",""Central Asia"",""North America""]",20.0,20.0,300.0,0.3,3000,60
agropyron sibiricum,"[""Sandy loam"",""Loam"",""Clay loam""]",Grass,"[""Spring"",""Summer""]",12 hours interval,"[""NPK fertilizer"",""Manure""]",4 weeks interval,"[""Northern Asia"",""Eastern Europe"",""North America""]",10.0,12.5,450.0,0.2,6000,70
agalinis gattingeri,"[""Sandy loam"",""Silty clay""]",Wildflower,"[""Late spring"",""Summer""]",03-Feb,"[""Organic compost"",""Slow-release granular fertilizer""]",4,"[""Eastern United States"",""Southeastern Canada""]",25.0,20.0,650.0,0.3,15000,60
gerardia gattingeri,"[""Sandy loam"",""Loamy sand""]",Flowering plant,"[""Late spring"",""Summer""]",12,"[""NPK 10-10-10"",""Compost""]",4,"[""Eastern United States"",""Southern Canada""]",20.0,15.0,650.0,0.3,20000,70
agrostemma githago,"[""Loamy"",""Sandy""]",Annual,"[""Spring"",""Summer""]",03-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Europe"",""Asia""]",17.5,15.0,650.0,0.3,21600,60
agrostis gigantea,"[""Sandy loam"",""Loamy sand"",""Silt loam""]",Grass,"[""Spring"",""Summer"",""Autumn""]",12,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Europe"",""North America"",""Asia""]",17.5,12.5,750.0,0.3,30000,70
agrostis alba,"[""Sandy loam"",""Loam""]",Grass,"[""Late spring"",""Summer""]",2,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Cool temperate regions"",""Coastal areas""]",17.5,16.0,750.0,0.3,4000,60
agrostis nigra,"[""Sandy loam"",""Loam"",""Clay""]",Grass,"[""Spring"",""Summer"",""Autumn""]",12,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Cool temperate regions"",""Coastal areas""]",17.5,22.5,750.0,0.3,40000,70
agrostis stolonifera,"[""Loam"",""Sandy Loam"",""Clay Loam""]",Grass,"[""Spring"",""Summer"",""Autumn""]",2-3 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 weeks interval,"[""Cool temperate regions"",""Mild temperate regions"",""Subtropical regions""]",20.0,17.5,750.0,0.3,15000,70
agoseris glauca,"[""Sandy loam"",""Loam"",""Clay loam""]",Herbaceous perennial,"[""Spring"",""Summer""]",03-Feb,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers""]",4,"[""Western North America"",""Southwestern United States""]",17.5,15.0,375.0,0.2,25000,80
agave glomeruliflora,"[""Well-draining soil"",""Sandy soil""]",Succulent,"[""Late spring"",""Summer""]",03-Feb,"[""Cactus fertilizer"",""Slow-release fertilizer""]",6,"[""Southwestern United States"",""Mexico""]",25.0,20.0,400.0,0.2,30000,60
agave chisosensis,"[""Well-draining sandy soil"",""Rocky soil""]",Succulent,"[""Spring"",""Summer""]",1-2 hours interval,"[""Balanced liquid fertilizer"",""Slow-release granular fertilizer""]",4 weeks interval,"[""Southwestern United States"",""Mexico""]",25.0,20.0,300.0,0.3,25000,60
agoseris agrestis,"[""Sandy Loam"",""Loamy Sand"",""Silt Loam""]",Wildflower,"[""Late Spring"",""Summer""]",6,"[""Nitrogen"",""Phosphorus"",""Potassium""]",6,"[""Western United States"",""Canada"",""Northern Mexico""]",20.0,15.0,350.0,0.3,20000,60
agoseris scorzonerifolia,"[""Sandy loam"",""Loam"",""Clay loam""]",Flower,"[""Spring"",""Summer""]",03-Feb,"[""Nitrogen-based"",""Phosphorus-based""]",4,"[""Mountainous regions"",""Grassy meadows""]",17.5,17.5,400.0,0.25,40000,70
troximon glaucum,"[""Sandy soil"",""Loamy soil""]",Flowering plant,"[""Late spring"",""Summer""]",24 hours interval,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4 weeks interval,"[""Mediterranean region"",""Central Asia"",""Southwest USA""]",22.5,17.5,650.0,0.3,5000,60
agoseris turbinata,"[""Sandy"",""Loamy"",""Clayey""]",Herbaceous Perennial,"[""Spring"",""Summer""]",48,"[""NPK 10-10-10"",""Compost""]",4,"[""California"",""Oregon"",""Washington""]",17.5,15.0,375.0,0.3,5000,60
agoseris arizonica,"[""Sandy loam"",""Clay loam""]",Flower,"[""Start of summer"",""Spring"",""Fall""]",48,"[""NPK 10-10-10"",""NPK 20-20-20""]",4,"[""Arizona"",""New Mexico"",""Utah""]",17.5,22.5,300.0,0.3,3000,60
agoseris parviflora,"[""Sandy"",""Loam""]",Flower,"[""Late spring"",""Summer""]",2,"[""Nitrogen-based fertilizer"",""Phosphorous-based fertilizer""]",4,"[""Rocky Mountains"",""Sierra Nevada"",""Cascade Range""]",17.5,20.0,300.0,0.3,36000,70
macrorhynchus glaucus,"[""Loam"",""Clay"",""Silt""]",Flowering Plant,"[""Start of summer"",""Monsoon season""]",03-Feb,"[""Nitrogen-based"",""Phosphorus-based""]",06-Apr,"[""Tropical regions"",""Subtropical regions""]",25.0,20.0,750.0,0.3,25000,80
troximon parviflorum,"[""Sandy"",""Loamy""]",Wildflower,"[""Late Spring"",""Summer""]",4,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Europe"",""North America""]",20.0,15.0,650.0,0.3,30000,60
agoseris monticola,"[""Sandy loam"",""Loam"",""Clay loam""]",Herbaceous Perennial,"[""Spring"",""Summer""]",48 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 (weeks interval),"[""Mountainous regions"",""Grasslands""]",20.0,15.0,400.0,0.3,22000,60
agoseris grandiflora,"[""Loamy"",""Sandy""]",Flowering Plant,"[""Spring"",""Summer""]",2-3 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 weeks interval,"[""North America"",""Europe"",""Asia""]",20.0,17.5,450.0,0.3,36000,70
agoseris laciniata,"[""Sandy"",""Clay"",""Loamy""]",Herbaceous perennial plant,"[""Spring"",""Summer""]",03-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""North America"",""Europe"",""Asia""]",15.0,15.0,450.0,0.2,22000,70
agoseris plebeja,"[""Sandy loam"",""Loam"",""Clay loam""]",Herbaceous perennial,"[""Spring"",""Summer""]",Once every 3 days,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",Every 6 weeks,"[""Coastal regions"",""Mountainous areas""]",10.0,15.0,400.0,0.25,8,70
troximon grandiflorum,"[""Sandy loam"",""Clay loam"",""Silt loam""]",Flowering Plant,"[""Spring"",""Summer""]",24,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4,"[""Mountainous regions"",""Temperate regions"",""Subtropical regions""]",20.0,20.0,750.0,0.45,30000,60
agrimonia gryposepala,"[""Well-drained"",""Loamy"",""Sandy""]",Herbaceous perennial,"[""Spring"",""Summer""]",03-Feb,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",06-Apr,"[""North America"",""Europe""]",20.0,15.0,750.0,0.3,20000,70
agave gracilipes,"[""Well-drained sandy soil"",""Rocky soil""]",Perennial,"[""Late spring"",""Early summer""]",2,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,"[""Southwestern United States"",""Mexico""]",23.5,24.0,375.0,0.225,22000,60
agave havardiana,"[""Sandy"",""Loamy""]",Perennial plant,"[""Summer"",""Monsoon""]",02-Jan,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Texas"",""New Mexico"",""Arizona""]",20.0,20.0,450.0,0.25,30000,60
agrostis hallii,"[""Sandy loam"",""Silty loam""]",Grass,"[""Late spring"",""Summer"",""Early fall""]",24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""United States"",""Canada"",""Mexico""]",25.0,20.0,650.0,0.3,20000,60
agalinis harperi,"[""Sandy loam"",""Loamy sand"",""Clay loam""]",Wildflower,"[""Summer""]",48,"[""NPK 10-10-10"",""Organic compost""]",4,"[""Southeastern United States"",""Florida"",""Georgia""]",27.5,22.5,625.0,0.4,300,60
agalinis delicatula,"[""Sandy loam"",""Loam"",""Clay loam""]",Herbaceous perennial,"[""Late spring"",""Summer"",""Early fall""]",Every 2-3 days,"[""Organic compost"",""Slow-release granular fertilizer""]",Every 4-6 weeks,"[""Open fields"",""Grasslands"",""Prairies""]",24.0,20.0,650.0,0.25,10,60
agalinis pinetorum,"[""Sandy loam"",""Loamy sand""]",Wildflower,"[""Late spring"",""Summer""]",48,"[""General purpose fertilizer - 10-10-10""]",4,"[""Southeastern United States"",""Coastal areas""]",25.0,20.0,650.0,0.3,30000,60
gerardia pulchella,"[""Sandy loam"",""Loamy sand"",""Silt loam""]",Wildflower,"[""Late spring"",""Summer"",""Early fall""]",03-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""North America"",""Europe"",""Asia""]",25.0,20.0,750.0,0.3,25000,60
ageratina havanensis,"[""Sandy"",""Loamy""]",Shrub,"[""Year-round""]",03-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""South Florida"",""Caribbean"",""Mexico""]",25.0,27.5,1000.0,0.3,25000,70
eupatorium havanense,"[""Loam"",""Sandy Loam""]",Perennial,"[""Spring"",""Summer""]",2-3 hours interval,"[""NPK 10-10-10"",""Organic compost""]",4-6 weeks interval,"[""Tropics"",""Subtropics""]",22.5,20.0,1500.0,0.45,22000,80
eupatorium texense,"[""Loamy"",""Sandy""]",Perennial,"[""Late Spring"",""Summer"",""Early Fall""]",2,"[""Organic compost"",""Slow-release granular fertilizer""]",4,"[""Texas"",""Oklahoma"",""Louisiana""]",20.0,20.0,1000.0,0.45,3500,70
agoseris heterophylla,"[""Sandy loam"",""Clay loam""]",Wildflower,"[""Spring"",""Summer""]",2-3 days interval,"[""Slow-release fertilizer"",""Organic compost""]",4-6 weeks interval,"[""Mountain meadows"",""Open woodlands"",""Sagebrush slopes""]",10.0,17.5,375.0,0.25,25000,80
agrostis hendersonii,"[""Loam"",""Sandy Loam"",""Clay Loam""]",Grass,"[""Spring"",""Summer""]",24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Cool temperate regions"",""Mountainous areas""]",17.5,20.0,750.0,0.3,30000,70
agrostis aristiglumis,"[""Sandy"",""Loam"",""Clay""]",Grass,"[""Spring"",""Summer""]",12,"[""Nitrogen"",""Phosphorus""]",4,"[""Cool temperate regions"",""Coastal areas"",""Mountain slopes""]",20.0,15.0,750.0,0.375,30000,80
agalinis heterophylla,"[""Loam"",""Silt"",""Clay""]",Wildflower,"[""Late Spring"",""Summer""]",03-Feb,"[""All-Purpose Fertilizer"",""Organic Compost""]",4,"[""Eastern United States"",""Central United States""]",21.5,20.0,650.0,0.275,40000,70
gerardia heterophylla,"[""Sandy loam"",""Loam"",""Clay loam""]",Herbaceous perennial,"[""Late spring"",""Summer"",""Early fall""]",2-3 hours interval,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4 (weeks interval),"[""Eastern United States"",""Southern Canada""]",20.0,20.0,650.0,0.4,3000,60
ageratina herbacea,"[""Well-drained"",""Loamy""]",Herbaceous perennial,"[""Late spring"",""Summer"",""Early fall""]",2-3 hours interval,"[""Organic compost"",""Slow-release granular fertilizer""]",6-8 weeks interval,"[""Eastern United States"",""Southeastern Canada""]",17.5,17.5,750.0,0.25,3000,60
eupatorium herbaceum,"[""Loam"",""Sandy loam"",""Clay loam""]",Herbaceous plant,"[""Late spring"",""Summer"",""Early autumn""]",48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""North America"",""Europe"",""Asia""]",25.0,20.0,750.0,0.3,15000,70
aganope heptaphylla,"[""Loamy"",""Sandy""]",Perennial,"[""Spring"",""Summer""]",2,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Tropical Rainforest"",""Subtropical"",""Mediterranean""]",22.5,22.5,1500.0,0.4,22000,70
macrorhynchus heterophyllus,"[""Sandy soil"",""Loam soil"",""Clay soil""]",Tree,"[""Start of summer""]",48 hours interval,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",4 weeks interval,"[""Tropical regions"",""Subtropical regions""]",20.0,25.0,1500.0,0.3,20000,70
agrestia hispida,"[""Loamy"",""Sandy"",""Clayey""]",Shrub,"[""Spring"",""Summer""]",03-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Tropical"",""Subtropical"",""Mediterranean""]",25.0,20.0,750.0,0.2,4000,60
agrostis hooveri,"[""Loamy"",""Sandy""]",Grass,"[""Spring"",""Summer""]",48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""North America"",""Western Europe""]",20.0,20.0,750.0,0.4,30000,70
agrostis howellii,"[""Sandy loam"",""Loam"",""Clay loam""]",Grass,"[""Spring"",""Summer"",""Autumn""]",2,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""North America"",""Europe"",""Asia""]",17.5,22.5,750.0,0.3,5000,70
ageratum houstonianum,"[""Sandy"",""Loamy""]",Annual Flower,"[""Spring"",""Summer""]",03-Feb,"[""Complete fertilizer"",""Organic compost""]",06-Apr,"[""Tropical"",""Subtropical""]",20.0,22.5,750.0,0.3,25000,60
agalinis homalantha,"[""Sandy loam"",""Loamy sand""]",Flowering Plant,"[""Late summer"",""Early fall""]",2,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Midwestern United States"",""Southern Canada""]",22.5,17.5,750.0,0.25,20000,60
gerardia homalantha,"[""Sandy loam"",""Loam"",""Clay""]",Perennial Flower,"[""Late Spring"",""Summer"",""Early Autumn""]",2-3 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""North America"",""Europe"",""Asia""]",20.0,20.0,500.0,0.25,22000,60
agrostis humilis,"[""Sandy loam"",""Loamy sand"",""Clay loam""]",Grass,"[""Spring"",""Summer""]",2-3 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 weeks interval,"[""Meadows"",""Gardens"",""Lawns""]",20.0,15.0,600.0,0.3,3000,60
agrostis thurberiana,"[""Loamy"",""Sandy""]",Grass,"[""Spring"",""Summer""]",48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""North America"",""Europe""]",17.5,22.5,750.0,0.25,4000,70
podagrostis humilis,"[""Loam"",""Sandy loam"",""Clay loam""]",Grass,"[""Spring"",""Summer""]",03-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Temperate regions"",""Coastal areas""]",17.5,17.5,600.0,0.25,15000,60
podagrostis thurberiana,"[""Sandy loam"",""Loamy sand"",""Clay loam""]",Grass,"[""Spring"",""Summer""]",48 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 (weeks interval),"[""Southwest United States"",""Mexico"",""Central America""]",27.5,22.5,750.0,0.3,25000,60
agrostis hyemalis,"[""Sandy loam"",""Loam"",""Clay loam""]",Grass,"[""Late spring"",""Summer""]",12,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Cool temperate regions"",""Mountainous regions""]",20.0,15.0,650.0,0.25,25000,70
agrostis antecedens,"[""Sandy"",""Loamy"",""Clayey""]",Grass,"[""Spring"",""Summer""]",48,"[""Nitrogen"",""Phosphorous"",""Potassium""]",4,"[""Cool temperate regions"",""Coastal areas""]",20.0,15.0,750.0,0.3,8000,60
cornucopiae hyemalis,"[""Loam"",""Sandy Loam"",""Clay""]",Vegetable,"[""Spring"",""Summer""]",2 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 (weeks interval),"[""Midwest"",""Southeast"",""Great Plains""]",10.0,17.5,750.0,0.3,21600,80
agropyron ×hybrid,"[""Loam"",""Sandy loam"",""Clay loam""]",Grass,"[""Spring"",""Summer""]",12,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""North America"",""Europe"",""Asia""]",20.0,15.0,750.0,0.3,40000,70
agrostis idahoensis,"[""Loam"",""Silt"",""Clay""]",Grass,"[""Late Spring"",""Summer"",""Early Fall""]",12,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Idaho"",""Montana"",""Wyoming""]",20.0,15.0,625.0,0.2,20000,60
agrostis borealis,"[""Loam"",""Sandy loam"",""Clay loam""]",Grass,"[""Late spring"",""Summer""]",2-3 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",6 weeks interval,"[""Northern regions"",""Cool temperate regions""]",10.0,12.5,750.0,0.3,25000,70
agrostis filicumis,"[""Sandy"",""Loamy"",""Clayey""]",Grass,"[""Spring"",""Autumn""]",2-3 hours interval,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 (weeks interval),"[""Temperate regions"",""Cool-season climates""]",21.5,15.0,650.0,0.3,20000,70
agrimonia incisa,"[""Sandy loam"",""Loamy sand"",""Clay loam""]",Herbaceous perennial,"[""Spring"",""Summer""]",03-Feb,"[""NPK"",""Organic compost""]",06-Apr,"[""Europe"",""Asia"",""North America""]",20.0,15.0,750.0,0.3,30000,80
agnorhiza invenusta,"[""Sandy loam"",""Loamy sand"",""Silt loam""]",Perennial,"[""Spring"",""Summer""]",48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""California"",""Arizona"",""New Mexico""]",20.0,16.0,400.0,0.3,22000,60
wyethia invenusta,"[""Loamy"",""Sandy""]",Perennial,"[""Spring"",""Summer""]",03-Feb,"[""Organic compost"",""Slow-release fertilizer""]",4,"[""California"",""Oregon"",""Washington""]",20.0,15.0,750.0,0.3,4000,60
ageratina jucunda,"[""Loamy"",""Sandy loam"",""Clay loam""]",Perennial,"[""Spring"",""Summer""]",03-Feb,"[""NPK 10-10-10"",""Organic compost""]",4,"[""Temperate regions"",""Mediterranean climates""]",22.5,17.5,1000.0,0.45,20000,60
eupatorium juncundum,"[""Sandy loam"",""Loamy sand""]",Perennial,"[""Spring"",""Summer""]",72,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""North America"",""Europe"",""Asia""]",20.0,22.5,750.0,0.3,30000,80
agrostis lacuna-vernalis,"[""Sandy Loam"",""Clay Loam""]",Grass,"[""Early spring"",""Summer""]",2-3 hours interval,"[""Nitrogen-based"",""Potassium-based""]",4-6 weeks interval,"[""Cool temperate regions"",""Moderate regions""]",20.0,15.0,650.0,0.3,25000,80
agalinis laxa,"[""Sandy loam"",""Silt loam"",""Clay loam""]",Wildflower,"[""Spring"",""Summer""]",48,"[""NPK 10-10-10"",""Organic compost""]",4,"[""California"",""Oregon"",""Washington""]",20.0,25.0,650.0,0.4,22000,60
gerardia laxa,"[""Sandy Loam"",""Loamy Sand""]",Wildflower,"[""Late Spring"",""Summer""]",2,"[""NPK 10-10-10"",""Organic compost""]",4,"[""Eastern United States"",""Southern Canada""]",20.0,15.0,625.0,0.25,30000,60
agoseris lackschewitzii,"[""Sandy loam"",""Loamy sand""]",Perennial,"[""Late spring"",""Summer""]",03-Feb,"[""Slow-release fertilizer"",""Organic compost""]",06-Apr,"[""Mountainous regions"",""Alpine meadows""]",17.5,17.5,400.0,0.375,22000,70
agoseris carnea,"[""Loamy"",""Sandy""]",Herbaceous perennial,"[""Spring"",""Summer""]",Every 7 days,"[""Nitrogen"",""Phosphorus"",""Potassium""]",Every 4 weeks,"[""North America"",""Europe"",""Asia""]",22.5,20.0,400.0,0.3,22000,70
aglaia,"[""Loam"",""Sandy loam"",""Clay loam""]",Houseplant,"[""Year-round""]",02-Jan,"[""Organic fertilizer"",""Slow-release fertilizer""]",4,"[""Tropical regions"",""Subtropical regions""]",21.5,22.5,750.0,0.3,5000,70
aglaonema,"[""Loamy"",""Sandy loam"",""Clayey loam""]",Foliage,"[""Year-round""]",10-Jul,"[""Balanced liquid fertilizer"",""Slow-release granular fertilizer""]",08-Apr,"[""Tropical regions"",""Subtropical regions""]",21.5,22.5,1500.0,0.4,22000,70
agave lechuguilla,"[""Sandy"",""Loamy"",""Rocky""]",Perennial,"[""Spring"",""Summer""]",Every 2 weeks,"[""Nitrogen"",""Phosphorus"",""Potassium""]",Every 4 weeks,"[""Sonoran Desert"",""Chihuahuan Desert""]",37.5,32.5,225.0,0.175,4000,40
agave lophantha,"[""Sandy"",""Loamy"",""Clayey""]",Succulent,"[""Late spring"",""Summer""]",03-Feb,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,"[""Southwestern United States"",""Mexico""]",20.0,22.5,450.0,0.2,24000,80
ageratina lemmonii,"[""Sandy loam"",""Loam"",""Clay loam""]",Perennial,"[""Spring"",""Summer""]",2,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Southwestern United States"",""Mexico""]",25.0,20.0,750.0,0.3,3000,60
eupatorium lemmonii,"[""Well-drained soil"",""Sandy soil""]",Perennial,"[""Late spring"",""Summer"",""Early fall""]",03-Feb,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",6,"[""Southwestern United States"",""Mexico""]",20.0,20.0,850.0,0.25,20000,60
×agropogon littoralis,"[""Sandy"",""Loamy"",""Clayey""]",Grass,"[""Start of summer"",""Spring"",""Fall""]",24,"[""Nitrogen-based"",""Phosphorus-based""]",4,"[""Coastal regions"",""Salt marshes"",""Dunes""]",17.5,20.0,1000.0,0.25,25000,80
polypogon littoralis,"[""Sandy"",""Loamy"",""Clay""]",Grass,"[""Spring"",""Summer"",""Autumn""]",12,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Coastal regions"",""Mediterranean climates""]",22.5,20.0,750.0,0.3,8000,70
agalinis linifolia,"[""Sandy loam"",""Loamy sand"",""Clay loam""]",Wildflower,"[""Late spring"",""Summer""]",2,"[""NPK 10-10-10"",""NPK 20-20-20""]",4,"[""Eastern United States"",""Southern Canada""]",20.0,20.0,650.0,0.25,22000,70
gerardia linifolia,"[""Loamy"",""Sandy""]",Wildflower,"[""Late spring"",""Summer""]",2,"[""Organic compost"",""Slow-release granular fertilizer""]",4,"[""Open meadows"",""Prairies"",""Roadsides""]",25.0,20.0,600.0,0.3,25000,60
ageratum littorale,"[""Sandy loam"",""Loam"",""Clay""]",Flower,"[""Spring"",""Summer""]",24,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,"[""Coastal regions"",""Mediterranean climate areas""]",20.0,20.0,750.0,0.4,30000,70
aglossorrhyncha,"[""Loamy"",""Sandy""]",Flowering Plant,"[""Spring"",""Summer""]",03-Feb,"[""Nitrogen-based fertilizers"",""Potassium-based fertilizers""]",4,"[""Tropical regions"",""Subtropical regions""]",25.0,21.5,1500.0,0.3,20000,70
ageratina luciae-brauniae,"[""Sandy loam"",""Loam"",""Clay""]",Perennial,"[""Spring"",""Summer""]",24,"[""Organic compost"",""Slow-release fertilizer""]",4,"[""North America"",""Europe"",""Asia""]",20.0,17.5,750.0,0.225,20000,70
eupatorium luciae-brauniae,"[""Loamy"",""Sandy""]",Perennial,"[""Spring"",""Summer""]",2,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""North America"",""Europe"",""Asia""]",20.0,21.5,650.0,0.45,30000,60
agalinis maritima,"[""Sandy"",""Loamy""]",Wildflower,"[""Spring"",""Summer""]",48 hours interval,"[""Organic compost"",""Slow-release fertilizer""]",6 weeks interval,"[""Coastal areas"",""Salt marshes""]",20.0,15.0,750.0,0.35,22000,60
agalinis spiciflora,"[""Sandy loam"",""Loam"",""Clay loam""]",Wildflower,"[""Late spring"",""Summer""]",2,"[""NPK fertilizer"",""Organic compost""]",4,"[""Grasslands"",""Prairies"",""Open woodlands""]",22.5,17.5,650.0,0.3,30000,60
gerardia maritima,"[""Sandy loam"",""Loamy sand""]",Flowering plant,"[""Spring"",""Summer""]",48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Coastal regions"",""Salt marshes"",""Dune systems""]",20.0,15.0,650.0,0.3,25000,80
gerardia spiciflora,"[""Loam"",""Sandy""]",Perennial,"[""Late Spring"",""Summer""]",2-3 hours interval,"[""General Purpose Fertilizer"",""Organic Compost""]",4 weeks interval,"[""Eastern United States"",""Canada"",""Mexico""]",20.0,17.5,750.0,0.3,4000,70
agastache mearnsii,"[""Well-drained"",""Loamy"",""Sandy""]",Herb,"[""Spring"",""Summer""]",03-Feb,"[""Nitrogen-based"",""Phosphorous-based""]",4,"[""North America"",""Europe"",""Asia""]",22.5,22.5,750.0,0.3,20000,60
agastache pallidiflora,"[""Well-drained soil"",""Sandy soil""]",Herb,"[""Late spring"",""Summer""]",03-Feb,"[""Organic fertilizer"",""Slow-release fertilizer""]",4,"[""North America"",""Europe"",""Asia""]",20.0,20.0,450.0,0.3,30000,60
agrostis mertensii,"[""Sandy soil"",""Loamy soil"",""Clay soil""]",Perennial Grass,"[""Spring"",""Summer""]",48 hours interval,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4 weeks interval,"[""Cool temperate regions"",""Mountainous regions""]",17.5,15.0,750.0,0.3,50000,70
agrostis bakeri,"[""Loam"",""Silt loam"",""Clay loam""]",Grass,"[""Spring"",""Summer""]",24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""Temperate regions"",""Cool-season climates""]",20.0,15.0,750.0,0.3,25000,60
agrostis rupestris,"[""Sandy loam"",""Loamy sand"",""Clay loam""]",Grass,"[""Late spring"",""Summer"",""Early autumn""]",12 hours interval,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4 weeks interval,"[""Mountain regions"",""Rocky terrains""]",20.0,15.0,500.0,0.4,4000,60
agastache micrantha,"[""Sandy"",""Loamy"",""Clayey""]",Perennial,"[""Spring"",""Summer""]",03-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",06-Apr,"[""Southwest USA"",""Mexico"",""South America""]",25.0,20.0,750.0,0.3,30000,70
cedronella micrantha,"[""Sandy Loam"",""Clay Loam"",""Loamy Sand""]",Herbaceous Perennial,"[""Spring"",""Summer""]",03-Feb,"[""NPK 10-10-10"",""Organic compost""]",8,"[""Mediterranean"",""Temperate""]",20.0,25.0,650.0,0.4,25000,70
agrimonia microcarpa,"[""Loamy"",""Sandy""]",Herbaceous perennial,"[""Spring"",""Summer""]",2-3 hours interval,"[""Organic compost"",""Slow-release granular fertilizer""]",6 weeks interval,"[""North America""]",15.0,15.0,500.0,0.25,4000,70
agrimonia platycarpa,"[""Loamy"",""Sandy""]",Perennial,"[""Spring"",""Summer""]",2,"[""Organic compost"",""Slow-release granular fertilizer""]",4,"[""North America"",""Europe""]",20.0,17.5,750.0,0.4,36000,80
agrimonia pumila,"[""Sandy loam"",""Loam"",""Clay loam""]",Perennial,"[""Spring"",""Summer""]",03-Feb,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,"[""North America"",""Europe"",""Asia""]",20.0,17.5,750.0,0.3,28000,70
