Name,Other_Name,Image URL 1,Image URL 2,Description
Chinese Cauliflower (Songhua Cai ) Seeds,#CF1461-Song TJS-65 F1,,//agrohaitai.com/cdn/shop/products/DSC_0761-TJS65-T65D_60x.jpg?v=1586438453,"
                      
                        55~60 days in spring and 65~70 days in fall to harvest after transplanting. Yellowish head, 4~5 Lbs. Loose florets with light green and long stems. Crispy and sweet. Good for stir-frying. Good for planting in spring, summer, and fall. To keep the head pure white, cover the head with leaves.
This variety is widely adapted and one of the most popular cultivars for commercial growers in Canada, USA and Mexico.
Avg. 111,000 seeds/lb, 6,800 seeds/oz. Packet: 100 seeds 
                      
                    "
Green Pak Choy Seeds,#PG1398-Purple Shanghai F1,,//agrohaitai.com/cdn/shop/products/DSC_0181-purpleshanghai_60x.jpg?v=1694789840,"
                      
                        40~45 days. Purple leaves with green petioles. Good for microgreens and baby leaves.
Avg. 251,000 seeds/lb, 15,000 seeds/oz. Packet: 1g, approx. 500 seeds.
                      
                    "
Okra Seeds,#OK1345-Clemson Spineless 80,//agrohaitai.com/cdn/shop/products/DSC_6137-clemsonspineless80-1_60x.jpg?v=1586732109,,"
                      
                        One of the most popular OP varieties. 50~60 days. Spineless pods, 8~10cm (3~4"") long, dark green color.
Avg. 9,000 seeds/lb, 450 seeds/oz. Packet: 2g, Approx. 30 seeds. 
Seeding Instructions: For best germination, pre-soak the seeds in hot water at 45°C~ 55°C for 20 minutes, then soak them in warm water at 30°C for 24 hours. Optimum germination temperature: 30-32°C. Seeds should germinate between 7-14 days.
This variety is currently unavailable to customers in the USA. 
                      
                    "
Bitter Gourd Seeds,#BM1519-General F1,,//agrohaitai.com/cdn/shop/products/general-2_60x.jpg?v=1586462432,"
                      
                        Medium maturity. Beautiful shape with a blunt end. Bright green, 10~12"" long. Vigorous growing and high yielding. Disease resistant.
 
Avg. 2,800 seeds/lb, 170 seeds/oz. Packet: 10 seeds.
                      
                    "
Winter Gourd Seeds,#WM1551-Black Giant #2 F1,//agrohaitai.com/cdn/shop/products/90ab05b7-baa7-4cd1-94e9-62b0b03fd71c_60x.jpg?v=1586636037,,"
                      
                        Middle ~ late maturity. Large Oblong shape, in black color, thick flesh, and small seed cavity. Up to 30"" x 8"" (if there is one fruit per plant). Disease resistant. The seeds are hairy gourd-type and easy to sprout.
Avg. 8,500 seeds/lb, 500 seeds/oz. Packet: 10 seeds.
 Seeding Instructions: For best germination, pre-soak the seeds in hot water at 45°C~ 55°C for 20 minutes, then soak them in warm water at 30°C for 24 hours. Optimum germination temperature: 30-32°C. Seeds should germinate between 7-14 days.
                      
                    "
Oriental Melon Seeds,#ML1535-Ruyu F1,,//agrohaitai.com/cdn/shop/products/IMG_7933-chinese_thin_wall_melon_ruyu_60x.jpg?v=1680735511,"
                      
                        Chinese thin-wall melon. Early maturity. Beautiful fruit in dark green color, edible thin skin. Green flesh, crispy, sweet with center Brix 17%. Approx. 1LB. Vigorous growing. Disease resistant. High yield.
M=1000 seeds, Packet: 10 seeds
                      
                    "
Fava Bean Seeds,#BF1583-Can Dou,,//agrohaitai.com/cdn/shop/products/BF1583-CanDouVSCoin_60x.jpg?v=1648148636,"
                      
                        It is a popular variety of broad beans in China. 75~80 days from sowing. Most pods have 3~4 large seeds. Brown Seeds.
Avg. 250 seeds/lb
This variety is currently unavailable to customers in the USA. 
                      
                    "
Green Pak Choy Seeds,#PG1340-Toy Green F1,//agrohaitai.com/cdn/shop/products/PG1340-ToyGreenF1_60x.jpg?v=1680018298,,"
                      
                        Medium size. 35~40 days. Short and compact. Dark green leaves. Green petioles, wide and fat. Heat tolerant and medium-slow bolting. Suitable for Shanghai Miao and small-sized Shanghai Pak Choy. It can be planted in late spring, summer, and fall.
Treated seeds.
Avg. 175,000 seeds/lb, 10,000 seeds/oz. Packet: 1g, approx. 300 seeds.
                      
                    "
Oriental Melon Seeds,#ML1563-Geumbo F1,,//agrohaitai.com/cdn/shop/products/ML1563-GeumboF1bright_60x.jpg?v=1704480295,"
                      
                        Korean type. Early maturity. Oblong fruits in yellow color with white stripes when ripe. Thin skin. 1~1.5LB. White flesh is crispy, sweet, with brix 16~17. Disease resistant.
M=1000 seeds, Packet: 10 seeds
                      
                    "
Taiwan Pak Choy Seeds,#PT1287-QD-2 Express F1,,//agrohaitai.com/cdn/shop/products/DSC_0537-qd-2express_60x.jpg?v=1586785445,"
                      
                        30~35 days as baby Taiwan Pak Choy. 50 days as Wa Wa Tsai. Light green leaves, hairless, with pure white petioles. Yellowish interior, tender and sweet. Tolerant to cold and heat, slow bolting. It can be planted in late spring, summer, and fall.
Avg. 185,000 seeds/lb, 11,000 seeds/oz. Packet: 1g, approx. 300 seeds.
                      
                    "
Bitter Gourd Seeds,#BM1593-Green Pearl F1,,//agrohaitai.com/cdn/shop/products/IMG_7138-bitter_gourd_seed_green_pearl_60x.jpg?v=1678908578,"
                      
                        Vietnamese-type bitter gourd. Early maturity. Shiny green fruits, 9~12” long. Vigorous growing and high yielding.
Avg. 2,300 seeds/lb. 140 seeds/oz. Packet: 10 seeds.
                      
                    "
Taiwan Pak Choy Seeds,#PT1501-QD-6 Express F1,,//agrohaitai.com/cdn/shop/products/IMG_6158-QD-6S48DSP_60x.jpg?v=1678902279,"
                      
                        30~35 days as baby Taiwan Pak Choy. 45~50 days as Wa Wa Tsai. Light green leaves, hairless, with pure white petioles. Yellowish interior, tender and sweet. Tolerant to cold, slow bolting. Suitable for planting in spring, summer and fall seasons.
Avg. 134,400 seeds/lb, 11,000 seeds/oz. Packet: 1g, approx. 300 seeds.
                      
                    "
Radish Seeds,#RA1282-Green Luobo Impr.,,//agrohaitai.com/cdn/shop/products/DSC_3088-greenluoboimpr_60x.jpg?v=1586797803,"
                      
                        A popular green variety in North China. Green flesh with green skin is crisp, less hot. High yielding. Good resistance to diseases. Delicious and tender. For fall production. Immature bolting if planted in spring. Hot weather may result in poor and small roots. This variety is good for sprouts and microgreens.
Avg. 30,000 seeds/lb, 1,600 seeds/oz. Packet: 2g, approx. 130 seeds.
                      
                    "
Hot Pepper Seeds,#PP1163-Dalong D11 F1,,//agrohaitai.com/cdn/shop/products/DSC_1881-Chinese_hot_pepper_seed_dalongD11_60x.jpg?v=1611709296,"
                      
                        60 days after transplant. Medium hot. Vigorous and productive. Heat and cold tolerant. Yellowish green fruit, 25~30cm X 4~5cm, up to 130g. 
Treated seeds.
M=1000 seeds, Packet:  25 seeds.
The germination rate is approx. 88%.
This variety is currently unavailable to customers in the USA. 
                      
                    "
Bottle Gourd Seeds,#BG1219-Tai Hoo F1,,//agrohaitai.com/cdn/shop/products/DSC_0326-taihoo_60x.jpg?v=1648954419,"
                      
                        75 days. Short-type Chinese bottle gourd,  8~10"". Excellent shape and uniform fruits. Vigorous and productive. Disease resistant.
Avg. 6,000 seeds/lb, 380 seeds/oz. Packet: 10 seeds.
                      
                    "
Oriental Melon Seeds,#ML1585-Croissant F1,,//agrohaitai.com/cdn/shop/products/IMG_7341-chinese_melon_seed_croissant_60x.jpg?v=1675286040,"
                      
                        Chinese thin-skin melon. The fruit is approx. 12’ long, 2 LBs. The skin becomes grey and the flesh turns greenish-yellow when ripe. Crispy, juicy and sweet, with a Brix index of up to 12%.
M=1000 seeds, Packet: 10 seeds
                      
                    "
Eggplant Seeds,#EP1238-Pingtung Long F1,,//agrohaitai.com/cdn/shop/products/IMG_7335-asian_eggplant_ping_tung_long_hybrid_60x.jpg?v=1644507864,"
                      
                        A popular Taiwan hybrid. The nice purple fruit is approx. 28 cm in length and 3.5 cm in diameter. Vigorous and high-yielding with good disease resistance.
Avg. 122,000 seeds/lb, 7,500 seeds/oz. Packet: 50 seeds.

                      
                    "
Tomato Seeds,#TM1652-SunGold F1,,//agrohaitai.com/cdn/shop/products/IMG_8575-cherry_tomato_sungold_60x.jpg?v=1668719661,"
                      
                        Indeterminate. Early maturity. SunGold (Sun Gold) is one of the best-tasting cherry tomatoes. Exceptionally sweet with an excellent fruity taste. The tangerine-orange fruits are 12~15 grams. High resistance to fusarium wilt and tobacco mosaic virus.
Optimum germination temperature: 25-28°C. Seeds should germinate between 7-14 days.
 Avg. 1.6 g/1000 seeds. M=1000 seeds. Packet: 20 seeds.
                      
                    "
Waxy Corn Seeds,#CN1608-TNP95 F1,,//agrohaitai.com/cdn/shop/products/IMG_9084-agrohaitai_sticky_corn_TNP-95_60x.jpg?v=1682099559,"
                      
                        Late maturity, 95~100 days. The dark purple ear is approx. 7~8” long, 2” in diameter, 16~18 rows of kernels. Sweet and sticky and tasty. Good disease resistance. Wide adaptability. Rich in anthocyanin antioxidant, which is known to improve the immune system.
Avg. 2,050 seeds/lb, 125 seeds/oz.
This variety is currently unavailable to customers in the USA. 
                      
                    "
Chinese Cabbage Seeds,#CC1406-CR Napa King F1,,//agrohaitai.com/cdn/shop/products/DSC_4021-crnapaking_60x.jpg?v=1609354530,"
                      
                        Medium maturity, 4~6 Lbs. Excellent shape, compact, and uniform. Slow bolting, CR resistant. Dark green outer leaves. Yellow interior, good texture. For spring and fall planting. Recommended planting distance at 15~17"". 
Treated seeds.
Avg. 126,000 seeds/lb, 7,800 seeds/oz. Packet: 100 seeds.
                      
                    "
Green Pak Choy Seeds,#PG1368-Little Shanghai F1,,//agrohaitai.com/cdn/shop/products/DSC_0017-littleshanghai_60x.jpg?v=1586790647,"
                      
                        30~40 days. Mini-sized variety. Short and compact. Dark green leaves. Green petioles, wide and fat. Heat and cold tolerant and slow bolting. For late spring, summer, and fall. Shanghai Miu and small-sized Shanghai Pak Choy.
Avg. 155,000 seeds/lb, 9,600 seeds/oz. Packet: 1g, approx. 300 seeds.
                      
                    "
Bitter Gourd Seeds,#BM1626-White Pearl F1,,//agrohaitai.com/cdn/shop/products/IMG_7376-bitter_melon_white_pearl_60x.jpg?v=1634476096,"
                      
                        Early maturity. White/greenish white fruits, 11~13” long, 3” in diameter. Vigorous growing and high yielding.
Avg. 2,400 seeds/lb, 150 seeds/oz. Packet: 10 seeds.
                      
                    "
Okra Seeds,#OK1385-Long Ridged F1,//agrohaitai.com/cdn/shop/products/longridged_60x.jpg?v=1587252342,,"
                      
                        50~55 days. Long pod, approx. 16 cm long, dark green color. Vigorous and prolific. Heat tolerant.
Avg. 6200 seeds/lb, 390 seeds/oz. Packet: 2g, Approx. 25 seeds. 
Seeding Instructions: For best germination, pre-soak the seeds in hot water at 45°C~ 55°C for 20 minutes, then soak them in warm water at 30°C for 24 hours. Optimum germination temperature: 30-32°C. Seeds should germinate between 7-14 days.
This variety is currently unavailable to customers in the USA. 
                      
                    "
Chinese Chive Seeds,#CV1242-Tai Jiu,,//agrohaitai.com/cdn/shop/products/DSC_5580_TaiJiu_60x.jpg?v=1701113305,"
                      
                        This variety is suitable for a flowering stalk. The plant is approx. 45 cm tall with deep green leaves. The stalk is approx. 40 cm. and can be harvested from late March to late September when grown in a greenhouse, and from late April to October when grown in the field. Going through low temperatures (e.g. winter) is necessary for flowering.
The germination rate is approx. 65%.
Avg. 100,000 seeds/lb, 6,000 seeds/oz. Packet: 2g, approx. 400 seeds.
                      
                    "
Bunching Onion Seeds,#ON1391-Red Beard,//agrohaitai.com/cdn/shop/products/RedBeard_60x.jpg?v=1586438164,,"
                      
                        This is a specialty splitting-type bunching onion. The red stalk is up to 0.6"" in diameter. Tender with a mild flavor.
The germination rate is approx. 80%.
Avg. 188,000 seeds/lb, 11,000 seeds/oz. Packet: 2g, approx. 400 seeds.

                      
                    "
Water Spinach Seeds,#WS1540-Thai Green,,//agrohaitai.com/cdn/shop/products/ThaiGreen_60x.png?v=1644596878,"
                      
                        Also known as kong xin cai. Green type, 45 days. Thick stem with green bamboo-shaped leaves. High yield.
Avg. 9,600 seeds/lb,  600 seeds/oz. 
This variety is currently unavailable to customers in the USA. 
                      
                    "
Waxy Corn Seeds,#CN1604-TNW85 F1,,//agrohaitai.com/cdn/shop/files/waxy_corn_tnw85_3_60x.jpg?v=1696267683,"
                      
                        Ready for harvest in 85~100 days after sowing. The white ear is approx. 7~8” long, 2” in diameter, 14~16 rows. Sweet, sticky, and tasty. Good disease resistance. Wide adaptability.
Avg. 1,950 seeds/lb, 120 seeds/oz. 
This variety is currently unavailable to customers in the USA. 
                      
                    "
Eggplant Seeds,#EP1261-White Princess F1,,//agrohaitai.com/cdn/shop/products/whiteprincess-DSC_2510_60x.jpg?v=1648066194,"
                      
                        An early-maturity hybrid. The plant is strong and productive. The fruit is approx. 25cm long, average 5cm wide, with green calyx and pure white skin. Very tender and has great taste. Suitable for both open fields and a greenhouse.
Avg. 92,000 seeds/lb, 5,600 seeds/oz. Packet: 50 seeds.
Germination Rate: 90%
                      
                    "
Radish Seeds,#RA1013-New White Spring F1,,//agrohaitai.com/cdn/shop/products/b4c3c5fe-e143-4716-8ade-424467562d50_60x.jpg?v=1675961989,"
                      
                        55~60 days. Upright. Vigorous and uniform growing. An average of 10~12"" long. Fewer leaves. Slow bolting and late pitchiness. Resistant to Black Rot and Downy Mildew. Suitable for spring and fall. It has been widely used by commercial growers in North America.
Treated Seeds.
Avg. 45,000 seeds/lb, 2,800 seeds/oz. Packet: 2g, approx. 210 seeds.
                      
                    "
Waxy Corn Seeds,#CN1646-TNC F1,//agrohaitai.com/cdn/shop/files/IMG_2713-waxy_corn_double_color_60x.jpg?v=1696267068,,"
                      
                        Ready for harvest in 95~110 days after sowing. The bicolor ear is approx. 8” long, 2” in diameter, 14~16 rows of kernels.Sweet, sticky, and tasty. Good disease resistance. Wide adaptability. 
Avg. 2,000 seeds/lb, 125 seeds/oz.
This variety is currently unavailable to customers in the USA. 
                      
                    "
Edamame Seeds,#ED1634-Hoseki,//agrohaitai.com/cdn/shop/products/IMG_7931-japanese_edamame_seeds_hoseki_60x.jpg?v=1637355532,,"
                      
                        85~90 days after sowing. The plant is approx. 2 feet tall with many branches. High yield. Most pods have 2~3 seeds. Great taste and sweet.
 Avg. 1,400 seeds/lb, 80 seeds/oz, Packet: 25 seeds.
                      
                    "
Winter Gourd Seeds,#WM1170-Wax Boy F1,,//agrohaitai.com/cdn/shop/products/DSC_9272-wax_boy_immature_fruit_60x.jpg?v=1611504553,"
                      
                        120~130 days. Large wax gourd. Round fruits in dark green color. Covered with white wax when mature. Average 25~30LBs, up to 40LBs.
Avg. 10,000 seeds/lb, 600 seeds/oz. Packet: 10 seeds.
Seeding Instructions: For best germination, pre-soak the seeds in hot water at 45°C~ 55°C for 20 minutes, then soak them in warm water at 30°C for 24 hours. Optimum germination temperature: 30-32°C. Seeds should germinate between 7-14 days.
                      
                    "
Bunching Onion Seeds,#ON1497-Natsuyo,,//agrohaitai.com/cdn/shop/products/DSC_7506-bunchiong_onion_natsuyo_60x.jpg?v=1677516532,"
                      
                        60~70 days for fresh bunching onion. Single stalk. Less spicy. Hardy and tolerant both to cold and heat. Resistant to downy mildew. Suitable for growing in warm seasons.
Avg. 209,000 seeds/lb, 13,000 seeds/oz. Packet: 2g, approx. 900 seeds.
                      
                    "
Eggplant Seeds,#EP1666-Black Panda F1,,//agrohaitai.com/cdn/shop/products/IMG_7412-asian_eggplant_black_panda_60x.jpg?v=1690478711,"
                      
                        Asian eggplant. Early to mid-maturity. Long, glossy black/dark purple fruits with purple calyx. The uniform fruits with a pleasing appearance can be harvested from 10"" long to 14"" long. White meat. Tender and excellent flavor. Robust and vigorous plants with minimal lodging and a high yielding. Tolerant to heat and resistant to diseases.
Avg. 112,000 seeds/lb,  6,900 seeds/oz. Packet: 50 seeds.
                      
                    "
Yard Long Bean Seeds,#BL1129-Mosaic,//agrohaitai.com/cdn/shop/products/IMG_4669-mosaic_60x.jpg?v=1586642717,,"
                      
                        This is a unusual variety of Chinese yard long bean.  The plant is very productive. The pods are in purple color, less fibrous, crisp, average 12~16"" long.
White/Red seeds. Avg. 3,500 seeds/lb, 200 seeds/oz. Packet: 25 seeds.
                      
                    "
Radish Seeds,#RA1614-Korean Autumn F1,,//agrohaitai.com/cdn/shop/products/DSC_0014-korean_radish_korean_autumn_hybrid_60x.jpg?v=1644442019,"
                      
                        Korean Radish. 65~70 days. 7~8” long, 4” in diameter.  Upright and uniform. Firm flesh is tender and sweet. Suitable for sowing in the fall season.
Treated seeds.
Avg. 33,000 seeds/lb, 2,000 seeds/oz. Packet: 2g, approx. 140 seeds.
                      
                    "
Choy Sum Seeds,#YC1151-Late Green,//agrohaitai.com/cdn/shop/products/DSC_0162-LateGreen40d_60x.jpg?v=1587250709,,"
                      
                        Late maturity. Tolerant to cold and heat, very slow bolting. Tolerant to DM and soft rot. Long oval leaves in dark green color. Thick stem in shiny green color. Tender and good texture. It can be planted in spring, summer, and fall.
Avg. 320,000 seeds/lb, 20,000 seeds/oz. Packet: 2g, approx. 1300 seeds.

                      
                    "
Hot Pepper Seeds,#PP1618-Longjiao B2 F1,,//agrohaitai.com/cdn/shop/products/LongjiaoB2_60x.jpg?v=1658421535,"
                      
                        Cayenne pepper. Early maturity. Wrinkled fruits, 8~9” long, in dark green color. Medium hot. Productive.
M=1000 seeds. Packet: 25 seeds.
This variety is currently unavailable to customers in the USA. 
                      
                    "
Mustard Stem Seeds,#MU1236-North Round,//agrohaitai.com/cdn/shop/products/DSC_0009-northround_60x.jpg?v=1586742865,,"
                      
                        70 days. The stem is round-shaped with big bumps.  It is 9-16 cm high, and 10 cm to 14 cm in diameter. Its weight is approx. 250g with a light green color. For the fall season growth.
Avg. 277,000 seeds/lb, 16,000 seeds/oz. Packet: 1g, approx. 550 seeds.
                      
                    "
Broccoli Seeds,#BR1564-Green Island #2 F1,,//agrohaitai.com/cdn/shop/products/DSC_0947-greenisland_2_60x.jpg?v=1609350512,"
                      
                        A hybrid between broccoli and Chinese kale. The main head can be harvested 55~60 days after transplanting. Continue producing mini broccoli for over one month. Sweet, tasty, and excellent for stir-fry, BBQ, etc.
Avg. 110,000 seeds/lb, 6,900 seeds/oz. Packet: 100 seeds
                      
                    "
Watermelon Seeds,#WA1587-Tian Bao F1,//agrohaitai.com/cdn/shop/products/DSC_0974-watermelon_tian_bao-1_60x.jpg?v=1611008773,,"
                      
                        Diploid (seeded) hybrid. 70 days after transplanting. Round fruits with dark green strips. Dense flesh in bright red color. Very sweet, central Brix 13% and over. Fruit is 12~15 lbs.
 Treated seeds.
M=1000 seeds. Packet: 10 seeds.

                      
                    "
Sweet Pepper Seeds,#PS1049-Bell Beijing F1,//agrohaitai.com/cdn/shop/products/f39e462d-58a9-4928-91df-7250463e88de_60x.jpg?v=1586783748,,"
                      
                        Early maturity. 4 lobed green fruits. Average 10 x 9 cm and up to 260 grams in weight. Vigorously growing, tolerant to heat and humidity. Resistant to virus and bacterial wilt.
M=1000 seeds. Packet: 25 seeds.
This variety is currently unavailable to customers in the USA. 
                      
                    "
Tah Tsai Seeds,#PG1414-Tat Soi,,//agrohaitai.com/cdn/shop/products/IMG_0930-tat_soi_60x.jpg?v=1705674654,"
                      
                        40~50 day. Spoon-shape leaves, think, glossy in deep green color. Heat and cold tolerant, very slow bolting. Can be planted in spring, summer, and fall. Excellent for microgreens and baby greens.
Avg. 228,000 seeds/lb, 15,000 seeds/oz. Packet: 1g, approx 450 seeds.
                      
                    "
Hot Pepper Seeds,#PP1549-Happy Birds #3 F1,,//agrohaitai.com/cdn/shop/products/IMG_0109-happybirds_3_60x.jpg?v=1586781883,"
                      
                        Typical Chinese Chao Tian Jiao (Facing the Heaven ) pepper. Medium maturity, 85~90 days after transplanting. Fruit size 1.5~2.5"", 8~11 fruits per cluster. Disease resistant. Prolific. Easy to harvest by hand. 
M=1000 seeds. Packet: 25 seeds.
This variety is currently unavailable to customers in the USA. 
                      
                    "
Squash and Pumpkin Seeds,#SW1434-Chinese Miben F1,,//agrohaitai.com/cdn/shop/products/DSC_0011-chinesemiben_60x.jpg?v=1586731943,"
                      
                        Medium maturity. Reddish grey fruit with deep orange flesh. Sweet and tasty. Vigorous and high-yielding. Wide adaptability. Good for shipping and storage.
Avg. 5,000 seeds/lb, 320 seeds/oz. Packet: 10 seeds.
                      
                    "
Hairy Gourd Seeds,#HG1371-Fong Show F1,,//agrohaitai.com/cdn/shop/products/IMG_8302E-fuzzy_gourd_fong_show-1_60x.jpg?v=1611452333,"
                      
                        Early to medium maturity. Dark green fruit, 8~10"" x 2.5~3"". Vigorous and productive.
Avg. 8,800 seeds/lb. 550 seeds/oz. Packet: 10 seeds.
Seeding Instructions:
For best germination, pre-soak the seeds in hot water at 45°C~ 55°C for 20 minutes, then soak them in warm water at 30°C for 8-10 hours. Optimum germination temperature: 30-32°C. Seeds should germinate between 7-14 days.
Plant the soaked seeds directly in the well-drained soil to prevent rot and mildew. Transplanting out after frost danger when soil is warm.
                      
                    "
Mustard Green Seeds,#MU1043-Small Leaf Gaichoi,//agrohaitai.com/cdn/shop/products/c774f708-31c7-410b-b4d9-9ccd6966f17f_60x.jpg?v=1587262478,,"
                      
                        35 days. A popular heirloom variety from China. Non-heading type. Shiny green leaves. Vigorous and productive. Tolerant to heat. Suitable for sowing in summer and fall.
Avg. 182,000 seeds/lb, 11,000 seeds/oz. Packet: 1g, approx. 350 seeds.
                      
                    "
Bottle Gourd Seeds,#BG1598-Opo-12 F1,,//agrohaitai.com/cdn/shop/products/IMG_9441-chinese_bottle_gourd_opo_12_60x.jpg?v=1613227765,"
                      
                        Chinese-type bottle gourd. Early maturity, 50~55 days after transplanting. Cylindrical shape, 9~11” long, bright light green color. Resistant to PM. High yield.
Avg. 5,000 seeds/lb, 300 seeds/oz. Packet: 10 seeds.

                      
                    "
Green Pak Choy Seeds,#PG1362-Wa Wa Qing F1,,//agrohaitai.com/cdn/shop/products/DSC_0390-wawaqing_60x.jpg?v=1677604157,"
                      
                        30~35 days to harvest. 15~19 cm (6~8""). Mini-sized variety. Short and compact. Dark green leaves, green petioles that are wide and fat. For late spring, summer, and fall. 
Avg. 202,000 seeds/lb, 12,000 seeds/oz. Packet: 1g, approx. 400 seeds.
                      
                    "
Edible Amaranth Seeds,#AM1352-Lou Sin Green,,//agrohaitai.com/cdn/shop/products/DSC_1346-lousingreen_60x.jpg?v=1586564477,"
                      
                        Medium maturity variety. 60 days in spring planting and 35-40 days in summer and fall. The plant is semi-upright. The leaves are oval-shaped and green in color.
Avg. 657,000 seeds/lb, 40,000 seeds/oz. Packet: 1g, approx. 1300 seeds.
                      
                    "
Hairy Gourd Seeds,#HG1100-Fuzzy Star F1,,//agrohaitai.com/cdn/shop/products/DSC_0997-mokwa_fuzzystar_60x.jpg?v=1611455591,"
                      
                        Early maturity. Beautiful shining dark green fruits with light-color stars, size 10~12” long, 2~3"" in diameter. Vigorous and productive.
Avg. 10,000 seeds, 650 seeds/oz. Packet: 10 seeds.
For best germination, pre-soak the seeds in hot water at 45°C~ 55°C for 20 minutes, then soak them in warm water at 30°C for 8-10 hours. Optimum germination temperature: 30-32°C. Seeds should germinate between 7-14 days.
Plant the soaked seeds directly in the well-drained soil to prevent rot and mildew. Transplanting out after frost danger when soil is warm.
                      
                    "
Mustard Green Seeds,#MU1213-Red Giant,,//agrohaitai.com/cdn/shop/products/IMG_1755-red_giant_mustard_60x.jpg?v=1616940484,"
                      
                        45 days for full size. Slightly savoyed leaves are purple on top and green on the back, with green petioles and stems. Hardy and slow bolting. Also good for microgreens and baby greens.
Avg. 226,000 seeds/lb, 14,000 seeds/oz.  Packet: 1g, approx. 500 seeds.
                      
                    "
Choy Sum Seeds,#YC1537-Green 50D-3,,//agrohaitai.com/cdn/shop/products/DSC_1225-green50d-3_60x.jpg?v=1629394056,"
                      
                        Early maturity, 25~28 days. Oval/round leaves in bright dark green color. Thick and short stem in green color. Uniform and high-yielding. Tolerant to DM. Good for sowing in the summer and fall seasons. An ideal variety for Baby Yu Choy ( Yu Choy Miu).
Avg. 181,000 seeds/lb, 11,000 seeds/oz. Packet: 2g, approx. 800 seeds.

                      
                    "
Bitter Gourd Seeds,#BM1226-Black Pearl F1,,//agrohaitai.com/cdn/shop/products/DSC_6722blackpearl_60x.jpg?v=1705596182,"
                      
                        Early maturity. 55~60 days. An excellent hybrid of Thai-type bitter melon. Dark shining green fruits, 8~10"" long. Vigorous growing and high yielding.
Avg. 2,000 seeds/lb, 140 seeds/oz. Packet: 10 seeds.
                      
                    "
Tomato Seeds,#TM1399-Grape Red F1,,//agrohaitai.com/cdn/shop/products/grape_red_2_60x.jpg?v=1675973821,"
                      
                        60~65 days after transplanting. A semi-determinate hybrid. Grape type, bright red, average 15 grams. Great taste. High yield. Can be planted in greenhouse and open field.
M=1000 seeds, Packet: 20 seeds.
This variety is currently unavailable to customers in the USA. 
 
                      
                    "
Hyacinth Bean Seeds,#BH1499-Green Moon,,//agrohaitai.com/cdn/shop/products/IMG_6019-green_moon_hyacinth_bean_60x.jpg?v=1672680169,"
                      
                        Annual vine plant with early maturity. Light purple flowers, pale green pods. The pod size is avg. 3~4"" long, 1"" wide. Immature pods are eatable after being cooked. It can be planted for ornamental plants. Recommended: 3 seeds per hill, 16""~20""  between hills.
Black seeds. Avg. 1,500 seeds/lb, 90 seeds/oz. Packet: 10 seeds.

                      
                    "
Perilla Seeds,#PA1657-Green Shiso,,//agrohaitai.com/cdn/shop/products/IMG_1272-japanese_perilla_green_shiso_60x.jpg?v=1649774282,"
                      
                        A Japanese green variety (Ao Shiso). Green crinkled leaves with fantastic flavor, mostly used for Sushi. Very productive. Widely planted for Microgreens and Baby Greens.
Avg. 233,000 seeds/lb, 14,000 seeds/oz. Packet: 1g, approx. 500 seeds.
Germination rate: Approx. 70%

                      
                    "
Choy Sum Seeds,#YC1475-Green 70D Impr.,,//agrohaitai.com/cdn/shop/products/IMG_5471-green70dimpr-s31d_60x.jpg?v=1611158746,"
                      
                        Medium to late maturity, 30~35 days. Long oval leaf in bright dark green color with a short petiole. Thick and short green color stem.  Short internode. Uniform and high yielding. Tolerant to DM, and soft rot. Good for sowing in late spring, summer and fall seasons.
Avg. 196,000 seeds/lb, 12,000 seeds/oz. Packet: 2g, approx. 800 seeds.
                      
                    "
Chinese Cabbage Seeds,#CC1628-Mini Napa #4 F1,,//agrohaitai.com/cdn/shop/products/MiniNapa_4F1-2_60x.jpg?v=1638382910,"
                      
                        Mini type for Wa Wa Tsai and Mini Napa. Early maturity. 3~4 LBs. Excellent shape, compact and uniform. Dark green outer leaves. Yellow internal color. Slow bolting. Downy Mildew resistant. Good for sowing in spring and fall. 
Avg. 144,000 seeds/lb, 9,000 seeds/oz. Packet: 100 seeds.
                      
                    "
Cucumber Seeds,#CM1623-Good Luck F1,,//agrohaitai.com/cdn/shop/products/IMG_3741-japanese_cucumber_seeds_good_luck_60x.jpg?v=1636152882,"
                      
                        Japanese cucumber. The fruits are 8~9” long, in shinny dark green color.  Tolerant to heat. Resistant to PM and DM. High yielding.
Avg. 19,200 seeds/lb, 1200 seeds/oz. Packet 20 seeds.
                      
                    "
Summer Squash Seeds,#SS1394-Black Jade F1,//agrohaitai.com/cdn/shop/products/DSC_0784-blackjade_60x.jpg?v=1587175417,,"
                      
                        40~45 days. Cylindrical fruits in shiny dark green color. Tolerant to PM and virus. High yielding.
Avg. 3,500 seeds/lb, 200 seeds/oz. Packet: 20 seeds.
                      
                    "
Tomato Seeds,#TM1619-Red Angel F1,//agrohaitai.com/cdn/shop/products/523e7bb2-6405-45d0-878e-cca32a9c8fef_60x.png?v=1614084361,,"
                      
                        Indeterminate.  Red fruits with yellow strips, oval-shaped, 3~4 oz, 5~7 fruits per cluster. Good flavor.
The germination rate is approx. 80%.
M=1000 seeds. Packet: 20 seeds. 
Optimum germination temperature: 30-32°C. Seeds should germinate between 7-14 days.
This variety is currently unavailable to customers in the USA. 
                      
                    "
