Title,Description,URL
Fritillaria Persica,"Charming pink, tubular flowers with specks of white atop ferny green foliage. This woodland flower does best in partial to full shade and will multiply on its own each year when happily situated. Grows 4"" to 5"" high.",https://hudsonvalleyseed.com/cdn/shop/products/Fritillaria-persica-vendor-unknown-1630683083.jpg?v=1630683085
Hyacinthoides Hispanica 'Excelsior',"AKA Fumewort. An enchanting, deep purple cultivar with profuse clusters of tubular flowers atop fern-like, blue-green foliage. An excellent groundcover, this charming woodland flower has a tidy, mounding habit and does best in partial to full shade. Corydalis will multiply on its own each year when happily situated. Grows 4"" to 5"" high.",//shop.hudsonvalleyseed.com/cdn/shop/products/Hyacinthoides-hispanica--Excelsior--vendor-unknown-1630681514_540x540.jpg?v=1630681516
Muscari 'Atlantic',Relieve late winter doldrums with these boldly-hued tricolor blooms. Skyward-facing purple starbursts bring cheer with their sunny yellow centers ringed in white. A hardy variety that reaches 4” tall and blooms in early spring. Naturalizes readily. Prefers full to partial sun.,//shop.hudsonvalleyseed.com/cdn/shop/files/Atlantic-visi49991_1_540x540.jpg?v=1686163346
Muscari Aucheri 'Blue Magic',"Lovely lavender-colored Snow Crocus with dark royal purple flames on the exterior. Striking as a border or in an early spring lawn tapestry. Grows to be 3"" tall. Deer-resistant.",https://hudsonvalleyseed.com/cdn/shop/files/MuscariBlueMagic.png?v=1718200084
Narcissus 'Baby Boomer',"Unusual, highly saturated, red-violet Snow Crocus with a paler base and gold-orange anthers. It's said that C.tomasinianus are not as attractive to squirrels as other crocus varieties. Striking as a border or in an early spring lawn tapestry. Grows to be 4"" tall. Deer-resistant.",https://hudsonvalleyseed.com/cdn/shop/files/NarcissusBabyBoomer1.png?v=1718294476
Narcissus 'Bridal Crown',"Amaryllis ‘Evergreen’ is a cybister type amaryllis, also known as “spider amaryllis.” It produces two-to-three stalks with four unique, apple-green-to-chartreuse flower heads on each stalk. This particular amaryllis can be grown as a houseplant, and will bloom periodically throughout the course of the year. Add some contemporary flare to your houseplant collection this winter with these fascinating spider-like blossoms.",https://hudsonvalleyseed.com/cdn/shop/products/Narcissus--Bridal-Crown--vendor-unknown-1630680295.jpg?v=1688569469
Narcissus 'British Gamble',"One of the most popular amaryllis varieties, and for good reason! Amaryllis ‘Apple Blossom’ has two-to-three stalks per bulb, producing four large flower heads per stem. The petals are white with brush-strokes of pink blush; each petal is unique and visually stunning.  ‘Apple Blossom’ grows up to 24” tall. Place your pot in a sunny window and rotate regularly to prevent toppling.",https://hudsonvalleyseed.com/cdn/shop/files/NarcissusBritishGamble.png?v=1718204793
Narcissus 'Ice Follies',"This variety is the crinoline of the Amaryllis world: a puffy, multi-layered burst of double blooms, its petals adorned with striking coral-red stripes against a pure cream-white background. Invite this bloom to shantay its way through the monochromatic months of winter with you, until it sashays away right as spring prances onto the scene.",https://hudsonvalleyseed.com/cdn/shop/files/NarcissusIceFollies.png?v=1718205331
Narcissus 'Obdam',"While other Amaryllis may sound a trumpet tone of color through their mighty bells, this variety weaves together more multi-layered tones: one can imagine subtle, soft sounds building through its fluted throats into epic scores along their wide-open petals (which, with their striping, even look like orchestral scores). Exotic Star is also reminiscent of tropical plants such as Crotons or Calladiums, with petals featuring thin and slightly random speckling of scarlet against pale-green surfaces. A fascinating specimen plan that adds richness and nuance to your interior plantscape.",//shop.hudsonvalleyseed.com/cdn/shop/files/Obdamvisi39396_1_540x540.jpg?v=1686073012
Narcissus 'Pink Wonder',"Amaryllis 'Luna' grows up to three stems, on top of which adorn four large, cream petals that transition to apple-green at the base. This special jumbo amaryllis will impart a wintry sophistication to your frost-laden windowsill.",//shop.hudsonvalleyseed.com/cdn/shop/products/Narcissus--Pink-Wonder--vendor-unknown-1630680734_540x540.jpg?v=1630680736
Narcissus 'Pride Of Lions',"If you're looking for an indoor bloom that gives fancy dinner, or family heirloom, or linen is my favorite color but I do love a blush of rose—Magic Green is for you. Its name is a bit of a misnomer, as its green hue—though present—is quite light; but magic it is, indeed, with its antique creamy tone and delicately outlined petals elevating any room it occupies into something quite extraordinary.",https://hudsonvalleyseed.com/cdn/shop/files/NarcissusPrideofLions.png?v=1718206285
Narcissus Long-Lasting 'Fragrant Mixture',"A true showstopper, this amaryllis lends a classic–but never boring–touch to the winter months. Two to three stalks yield four large, showy flowers each. ‘Red Lion’ grows up to 18” tall. Place your pot in a sunny window and rotate regularly to prevent toppling.",https://hudsonvalleyseed.com/cdn/shop/files/NarcissusFragrantMix.png?v=1718205604
Paperwhite 'Erlicheer',"Strike a drumbeat that keeps the winter shuffling smoothly along with a round of Samba in your living room. Just like the Brazilian dance that celebrates open-heartedness and warmth, these blooms exude a sense of festivity—with the petals' brightly colored scarlet faces, outlined in thick white borders—and a sense of ease—with their slightly relaxed and enveloping habit. It is a bold, happy bloom that looks especially impressive in rooms that are themed in quiet tones such as white or light gray.",https://hudsonvalleyseed.com/cdn/shop/files/Erlicheer.png?v=1694544129
Paperwhite 'Sacred Lily',"Striking iris with rich purple standards and golden falls. This color combination in an iris makes for standout visibility in the garden and feels almost a bit tropical. Grows to about 20"" in height.",https://hudsonvalleyseed.com/cdn/shop/files/ChineseSacredLily.png?v=1694544156
Paperwhite 'Ziva',"A first-rate beauty in jewel-like lavender-pink with slightly darker falls. This study in contrasts is softened and elevated with a delicate veining along the petals and a burnished orange frame around the golden blotch. Grows up to 22"" tall.",https://hudsonvalleyseed.com/cdn/shop/files/ziva.png?v=1694544098
Rock Iris Reticulata 'Alida',"An iris that is reminiscent of Cinderella dressed for the ball! Clad in satiny silver-blue standards and pure white falls with golden throats, this iridescent beauty steals the show. Great for cut flowers. Similar to Dutch Iris 'Silvery Beauty'. Grows up to 22"" tall.",https://hudsonvalleyseed.com/cdn/shop/products/EC58DEEA-5D49-4B60-9300-AE0E617E19E3.jpg?v=1657568337
Rock Iris Reticulata 'Harmony',"17th Century heirloom with gorgeous, 5"" tall flowers of a solid, rich golden yellow. Adorable planted en masse, as an early spring ""river"" or a woodland border. Flowers will open and close on sunny days, and naturalize readily. Dutch Large Flowering Crocus produce much larger blooms than traditional species crocus, and will bloom about 2 weeks later. Deer-resistant.",//shop.hudsonvalleyseed.com/cdn/shop/products/Rock-Iris-reticulata--Harmony--vendor-unknown-1630683159_540x540.jpg?v=1630683160
Rock Iris Reticulata 'Painted Lady',"Enchanting 5"" tall, silvery-white blooms with contrasting deep purple striations and orange antlers. A beautiful burst of color! Adorable planted en masse, as an early spring ""river"" or a woodland border. Flowers will open and close on sunny days, and naturalize readily. Dutch Large Flowering Crocus produce much larger blooms than traditional species crocus, and will bloom about 2 weeks later. Deer-resistant.",//shop.hudsonvalleyseed.com/cdn/shop/products/IrretPaintedLady2_1_540x540.jpg?v=1657145563
Species Tulip 'Kolpakowskiana',"Related to our native Trout Lily, but larger, with 2"" wide yellow nodding flowers atop elegantly arching, dark, contrasting stems, and substantial mottled foliage. Spectacular in natural settings; thrives in dappled woodland gardens, and will readily naturalize in any setting with rich, moist soil and dappled light.",//shop.hudsonvalleyseed.com/cdn/shop/products/Species-Tulip--Kolpakowskiana--vendor-unknown-1630680774_540x540.jpg?v=1630680775
Species Tulip Humilis 'Persian Pearl',"Beloved by bees, and resistant to deer and rodent damage. Plant as soon as possible upon receipt.",https://hudsonvalleyseed.com/cdn/shop/products/Species-Tulip-humilis--Persian-Pearl--vendor-unknown-1630682319.jpg?v=1630682321
Species Tulip Orphanidea 'Flava',"Also known as 'Persian Lily', this tall, stately, 1585 heirloom creates a stunning focal point in flower borders. The showy spires of burgundy-black, bell-shaped blooms reach up to 30"" in height! It only takes a few bulbs of this desirable, statement variety to put on the most striking display.",//shop.hudsonvalleyseed.com/cdn/shop/products/Species-Tulip-orphanidea--Flava--vendor-unknown-1630681505_540x540.jpg?v=1630681506
Species Tulip Praestans 'Shogun',"Prefers full sun. Plant as soon as possible upon receipt, as Fritillaria do not like to be out of soil for long.",//shop.hudsonvalleyseed.com/cdn/shop/products/Species-Tulip-praestans--Shogun--vendor-unknown-1630683065_540x540.jpg?v=1630683066
Species Tulip Turkestanica,"Highly coveted 17th century heirloom variety. Shimmering blue-violet pendant bells with darker blue midveins bloom atop tall, sturdy stems, lending a magical feel to woodlands and shady borders. Also known as Wood Hyacinth or Spanish Bluebells, Hyacinthoides are happy in most conditions, but prefer a little light shade or dappled sunlight. Plants will mature over the years, and when very happy where they are planted, they can naturalize by bulb offsets or by self-sowing seed. Can reach heights of 15"".",//shop.hudsonvalleyseed.com/cdn/shop/products/E760CDFA-A25E-497C-86FD-ABAA23EB2033_540x540.jpg?v=1658875849
Tulip 'Akebono',"This azure-blue variety will catch your eye in springtime, and the sweet-smelling blossoms will fill your heart with joy. For the most impact, plant in dense drifts or along borders with narcissus and tulips. Reaches 8"" tall and blooms mid-spring. Full to part sun. Muscari are deer and rodent resistant.",//shop.hudsonvalleyseed.com/cdn/shop/products/Tulip--Akebono--vendor-unknown-1630683027_540x540.jpg?v=1630683029
Tulip 'Avignon Parrot',"Graceful ombre racemes that start off rich cobalt-blue at the base and transition through lovely shades of pale blue to a faint silvery cap at the tip, like short magic wands! Sweet-smelling and deer and rodent resistant. Grows to be 8"" tall.",https://hudsonvalleyseed.com/cdn/shop/files/TulipAvignonParrot.png?v=1718211654
Tulip 'Black Parrot',"An adorable, miniature narcissus with bright, canary-yellow clusters of 5-10 flowers per stem. Very fragrant and, like most Baby Boomers, exceptionally charming! Reaches a height of 8"". Narcissus Class: Jonquilla. Narcissus are pest-resistant.",//shop.hudsonvalleyseed.com/cdn/shop/products/Tulip--Black-Parrot--vendor-unknown-1630683051_540x540.jpg?v=1630683052
Tulip 'Charming Beauty',"The most fragrant narcissus we've smelt! This fetching double Narcissus with multiple creamy-white, yellow-centered blooms per stem. Reaches heights of 14"" to 16"". Narcissus Class: Double.
Narcissus are pest and deer resistant.",//shop.hudsonvalleyseed.com/cdn/shop/products/79867E02-D99E-4DDA-87F5-F0FAC6FF17E4_540x540.jpg?v=1657579022
Tulip 'Columbus',"This elegant, large-cupped narcissus has a 3"" ivory-white bloom, and flared trumpet-shaped cup that gradates from ivory at its base to coral at its crinkled rim. Reaches heights of 18"" to 20"". Narcissus Class: Large Cupped.
Narcissus are pest-resistant.",https://hudsonvalleyseed.com/cdn/shop/files/TulipColumbus.png?v=1718211699
Tulip 'Hermitage',"The sunny cups of these big, classic daffodils spread cheer in the dreary days of late winter and early spring. Cup begins bright yellow and mellows to cream over the few weeks it is in bloom, just as your soul gets it fill of gold. Reaches 18-20"" tall. Class: Large-cupped.",https://hudsonvalleyseed.com/cdn/shop/files/TulipHermitage_1.png?v=1718368008
Tulip 'Jacuzzi',Narcissi are resistant to deer and pests.,//shop.hudsonvalleyseed.com/cdn/shop/files/TJacuzziB_2_540x540.jpg?v=1686163647
Tulip 'La Belle Epoque',"A sumptuously layered, sweetly fragrant variety with creamy petals and faintly golden centers. An excellent cut flower, the large, 3” blooms appear in mid-spring.",//shop.hudsonvalleyseed.com/cdn/shop/files/41F2B32D-59CB-4FFC-9875-C91F2CEE7297_1_540x540.jpg?v=1686166200
Tulip 'Louvre',Height: 16”. Plant in full to part sun.,//shop.hudsonvalleyseed.com/cdn/shop/products/22ED9747-F9F4-4434-91C4-D624DDCD7931_1_540x540.jpg?v=1657579861
Tulip 'Rococo' Parrot,Narcissus are pest-resistant. Narcissus Class: Double. ,//shop.hudsonvalleyseed.com/cdn/shop/files/TRococo1_1_540x540.jpg?v=1686165405
Tulip 'Sun Lover',"A gorgeous and unusual Split-Cup Narcissus. Two layers of frosty, ivory-white petals are overlaid with slightly frilled, split corona petals in shades of peachy pink with golden yellow centers. Best planted in dappled light for the pinkest coloration. Reaches heights of 16"" to 18"". Narcissus Class: Split Cupped.
Narcissus are pest and deer resistant.",https://hudsonvalleyseed.com/cdn/shop/files/TulipSunLover.png?v=1718205470
Tulip 'World Peace',"There is nothing subtle about a pride of lions, and this variety really roars: saturated gold petals, broad and rounded as a lion's mane, surround a central cup of dazzling orange. The overall effect is one of peak daffodil, almost like an anime flower, and it stands out in the spring landscape like a big cat perched atop a cliff. Grows to about 16"" in height.",https://hudsonvalleyseed.com/cdn/shop/files/TulipWorldPeace.png?v=1718199930
Winter Aconite,"Narcissus are true super stars of the spring garden—early, reliable, deer resistant, easy to naturalize—and this mix highlights yet another of its virtues: a gorgeous fragrance. While not all narcissus varieties are fragrant, those in this mix have been selected for their ability to scent the air with a fresh, heady aroma that is similar to that of Paperwhites, a close relative.",//shop.hudsonvalleyseed.com/cdn/shop/products/Winter-Aconite-vendor-unknown-1630680737_540x540.jpg?v=1630680739
Wood Sorrel,Narcissi are resistant to deer and pests.,//shop.hudsonvalleyseed.com/cdn/shop/products/Wood-Sorrel-vendor-unknown-1630681518_540x540.jpg?v=1630681519
Anise Hyssop,"Anise Hyssop is both a gorgeous, upright perennial and a delicious herb for teas, baking, or sitting near while reading a good book in the garden. It is native to North America, where it was used by native peoples to treat many ailments. Its aroma is indeed anise-like; a small handful of its leaves make a great addition to a salad, and when dried it can be used to season baked goods. The flowers are attractive to bees and hummingbirds, making Anise Hyssop one of the most useful plants of the garden.",https://hudsonvalleyseed.com/cdn/shop/products/Anise-Hyssop-vendor-unknown-1630677769.jpg?v=1630677770
Antique Flemish Poppy,"The mantra ""Save the Bees"" may not be new, but this Seed Shaker provides a fresh opportunity to grow your own pollinator meadow. Just shake and sow! Each seed box plants 100 square feet.",https://hudsonvalleyseed.com/cdn/shop/products/Antique-Flemish-Poppy-vendor-unknown-1630681385.jpg?v=1630681394
Bee Friendly Wildflower Mix Seed Shaker,"Can include the following 18 varieties of annual and perennial flowers:
""Baby Blue Eyes"" ~Nemophila menziesii~
""Bergamot"" ~Monarda fistulosa~
""Blue Flax"" ~Linum perenne~
""California Poppy"" ~Eschscholzia californica~
""China Aster"" ~Callistephus chinensis~
""Chinese Forget-Me-Not"" ~Cynoglossum amabile~
""Corn Poppy"" ~Papaver rhoeas~
""Fleabane Daisy"" ~Erigeron speciosus~
""Globe Gilia"" ~Gilia capitata~
""Indian Blanket"" ~Gaillardia pulchella~
""Lance-Leaved Coreopsis"" ~Coreopsis lanceolata~
""New England Aster"" ~Symphyotrichum novae-angliae~
""Plains Coreopsis"" ~Coreopsis tinctoria~
""Purple Coneflower"" ~Echinacea purpurea~
""Purple Giant Hyssop"" ~Agastache rugosa~ 
""Siberian Wallflower"" ~Cheiranthus allionii~
""Sweet Alyssum"" ~Lobularia maritima~
""Tidy Tips"" ~Layia platyglossa~",https://hudsonvalleyseed.com/cdn/shop/products/IMG_9239.jpg?v=1717766648
Bird Lover's Wildflower Mix Seed Shaker,Artwork by Cynthia Cliff.,https://hudsonvalleyseed.com/cdn/shop/products/IMG_9232.jpg?v=1717766628
Bird Lover's Wildflower Seed Mix,"
",https://hudsonvalleyseed.com/cdn/shop/products/Bird-Lover-s-Mix-vendor-unknown-1630677715.jpg?v=1698416399
Black Beauty Poppy,"Did you know that birds are important pollinators just like bees and butterflies? Whether you'd like to plant a meadow to support your local ecosystem, because you're an avid birder, or simply to enjoy this beautiful mix of wildflowers, this seed shaker makes it fun and easy. Just shake and sow! Each box plants 100 square feet.",https://hudsonvalleyseed.com/cdn/shop/products/Black-Beauty-Poppy-vendor-unknown-1630679536.jpg?v=1630679540
Blazing Star,Can contain the following 21 varieties of annual and perennial flowers:,https://hudsonvalleyseed.com/cdn/shop/products/Blazing-Star-vendor-unknown-1630681544.jpg?v=1664295420
Breadseed Poppy Mix,"""Black-Eyed Susan"" ~Rudbeckia hirta~
""Brown-Eyed Susan"" ~Rudbeckia triloba~
""Blue Flax"" ~Linum perenne~
""California Poppy"" ~Eschscholzia californica~
""Cornflower"" ~Centaurea cyanus~
""Four-O'Clocks"" ~Mirabilis jalapa~
""Gayfeather"" ~Liatris spicata~
""Indian Blanket"" ~Gaillardia pulchella~
""Lance-Leaved Coreopsis"" ~Coreopsis lanceolata~
""New England Aster"" ~Symphyotrichum novae-angliae~
""Pacific Beauty Calendula"" ~Calendula officinalis~
""Partridge Pea"" ~Chamaecrista fasciculata~
""Plains Coreopsis"" ~Coreopsis tinctoria~
""Prairie Clover"" ~Dalea purpurea~
""Prairie Coneflower"" ~Ratibida columnifera~
""Purple Coneflower"" ~Echinacea purpurea~ 
""Red Phlox"" ~Phlox drummondii~
""Shasta Daisy"" ~Chrysanthemum maximum~
""Sulphur Cosmos"" ~Cosmos sulphureus~
""Sweet William"" ~Dianthus barbatus~
and ""Wild Sunflower"" ~Helianthus annuus~",https://hudsonvalleyseed.com/cdn/shop/products/Breadseed-Poppy-Mix-vendor-unknown-1630676409.jpg?v=1630676416
Butterfly Weed,Artwork by Cynthia Cliff.,https://hudsonvalleyseed.com/cdn/shop/products/Butterfly-Weed-vendor-unknown-1630681554.jpg?v=1630681558
Calendula,"A great mix for bird lovers. Be sure to let the flowers set seed for the birds to eat. This mix contains both annuals and perennials, and can be sown in a prepared plot either in the fall or in the spring. The contents of mixes are wide and broad. Not every species will establish itself, but many will, giving way to varied habit suited to your location.",https://hudsonvalleyseed.com/cdn/shop/products/038_15.jpg?v=1653504366
Campfire Rudbeckia,"This annual and perennial mix contains
Four-O'Clocks, Partridge Pea, California Poppy, Cornflower, Lance Leaved Coreopsis, Pacific Beauty Calendula, Sulphur Cosmos, Purple Coneflower, Indian Blanket, Wild Sunflower, Blue Flax, Gayfeather, Red Phlox, Shasta Daisy, Sweet William, Prairie Clover, Prairie Coneflower, Plains Coreopsis, Black Eyed Susan, New England Asters.",https://hudsonvalleyseed.com/cdn/shop/products/Campfire-Rudbeckia-vendor-unknown-1630681797.jpg?v=1630681804
Carmine King California Poppy,"Gorgeous poppy petals, as thin and delicate as crepe paper, don't last long. The seeds, however, are vessels of endurance. Rich in omega-3s, phosphorus, calcium, magnesium, a wide range of vitamins, and all of the essential amino acids, poppy seeds are exceptionally nutritious, contributing to health and, it is said, to longevity. Used in culinary creations all over the world as a spice, condiment, garnish, and dessert base, poppies yield hundreds of thousands of seeds from just a few plants.",https://hudsonvalleyseed.com/cdn/shop/products/Carmine-King-California-Poppy-vendor-unknown-1630682592.jpg?v=1630682606
Eastern Pollinator Mix,"This mix is taller than the Mother of Pearl Poppy, with bigger seed pods and a longer season of bloom. Colors range from pink to lilac.",https://hudsonvalleyseed.com/cdn/shop/products/Eastern-Pollinator-Mix-vendor-unknown-1630677705.jpg?v=1698416191
Echinacea,"A golden rudbeckia with painterly dark markings on some petals reminiscent of the light and shadow cast around a campfire. Blackbird Rise Farm, where these seeds are collected, got its name from the red-winged blackbirds that visit the wildflowers of Maine. This rudbeckia showed up in the meadows surrounding the farm and exists at the intersection of wild and cultivated, annual and perennial, field and farm. We love how these bright golden petals dramatically shift to burnt sienna evoking the saying by Ursula Le Guin: ""When you light a candle, you also cast a shadow.""",https://hudsonvalleyseed.com/cdn/shop/products/Echinacea-vendor-unknown-1630679472.jpg?v=1630679474
Great Blue Lobelia - PollinateHV Local Ecotype,"Rudbeckias are cheery, generally fuss-free perennials that compete well with weeds and easily adapt to a variety of garden conditions.",https://hudsonvalleyseed.com/cdn/shop/files/GreatBlueLobelia1.jpg?v=1721242950
Hungarian Blue Breadseed Poppy,"A great mix to establish a patch of ground for pollinators. This mix contains both annuals and perennials, and can be sown in a prepared plot either in the fall or in the spring. The contents of mixes are wide and broad. Not every species will establish itself, but many will, giving way to varied habit suited to your location.",https://hudsonvalleyseed.com/cdn/shop/products/Hungarian-Blue-Breadseed-Poppy-vendor-unknown-1630682906.jpg?v=1630682907
Joe Pye Weed (Spotted),This annual and perennial mix may contain the following:,https://hudsonvalleyseed.com/cdn/shop/files/SpottedJoePyeWeedGrayBackground.jpg?v=1699016328
Johnny Jump-Up,"""Partridge Pea"" ~Chamaecrista fasciculata~
""Purple Coneflower"" ~Echinacea purpurea~
""Lance Leaved Coreopsis"" ~Coreopsis lanceolata~ 
""Indian Blanket"" ~Gaillardia pulchella~
""Wild Sunflower"" ~Helianthus annuus~
""Perennial Lupine"" ~Lupinus perennis~
""Hairy Beardtongue"" ~Penstemon hirsutus~
""Butterfly Milkweed"" ~Asclepias tuberosa~
""Wild Indigo"" ~Baptisia australis~
""Ohio Spiderwort"" ~Tradescantia ohiensis~
""Eastern Columbine"" ~Aquilegia canadensis~
""Lemon Mint"" ~Monarda citriodora~
""New England Asters"" ~Symphyotrichum novae-angliae~
""Black-Eyed Susan"" ~Rudbeckia hirta~
""Brown-Eyed Susan"" ~Rudbeckia triloba~
""Lavender Hyssop"" ~Agastache foeniculum~
""Plains Coreopsis"" ~Coreopsis tinctoria~
""Spotted Bee Balm"" ~Monarda punctata~
""Evening Primrose"" ~Oenothera biennis~
""Showy Tick Trefoil"" ~Desmodium canadense~
and ""Gray Goldenrod"" ~Solidago nemoralis~
",https://hudsonvalleyseed.com/cdn/shop/products/JohnnyJumpUp.jpg?v=1689087853
Marshmallow,"An easy-to-grow native plant with spires of beautiful purple blooms, Great Blue Lobelia is a long-blooming source of nectar in the summer and fall. It’s known to support at least three native Hudson Valley bumblebees whose populations are threatened or declining. It thrives in moist (but not sodden) soils—as well as partial shade—making it a great native plant for many dappled-light gardens around homes, under trees, or in dense neighborhoods.",https://hudsonvalleyseed.com/cdn/shop/products/Marshmallow-vendor-unknown-1630680501.jpg?v=1630680505
Mikado California Poppy,"Sir Cedric Morris was a 20th-century British artist who not only painted an array of portraits and still-lifes but also practiced horticultural artistry, breeding new varieties of irises and poppies. For this poppy, he wanted to create a pastel palette of dusty pinks, muted purples, and blushed whites, all with a shell-like luster. The overall impression of a field of these poppies is that of an artist's palette, one on which the colors have been gently but unthoroughly mixed before being applied to the canvas.",https://hudsonvalleyseed.com/cdn/shop/products/Mikado-California-Poppy-vendor-unknown-1630682561.jpg?v=1664922294
Milkweed,"Contribute to the restoration of local ecosystems in the Northeast by establishing your own small meadow of native plants. The blooms in this mix are beautiful to look at and provide habitat for the insects, birds, and animals of our region. Just shake and sow! Each box plants 100 square feet.",https://hudsonvalleyseed.com/cdn/shop/products/Milkweed-vendor-unknown-1630677376_ab0119a4-df5f-41db-9832-b0097d2520b0.jpg?v=1707935106
Mother Of Pearl Poppy,"Can include the following 18 varieties of annual and perennial flowers:
""Partridge Pea"" ~Chamaecrista fasciculata~
""Evening Primrose"" ~Oenothera biennis~  
""Penstemon"" ~Penstemon digitalis~ 
""Echinacea"" ~Echinacea purpurea~ 
""Coreopsis"" ~Coreopsis lanceolata~ 
""Indian Blanket"" ~Gaillardia pulchella~
""Showy Tick Trefoil"" ~Desmodium canadense~
""Wild Bergamot"" ~Monarda fistulosa~
""Rudbeckia"" ~Rudbeckia hirta~
""Ohio Spiderwort"" ~Tradescantia ohiensis~ 
""Rigid Goldenrod"" ~Solidago rigida~ 
""Gray Goldenrod"" ~Solidago nemoralis~ 
""Gayfeather"" ~Liatris spicata~
""Golden Alexander"" ~Zizia aurea~
""Eastern Columbine"" ~Aquilegia canadensis~ 
""New England Aster"" ~Symphyotrichum novae-angliae~ 
""Smooth Aster"" ~Symphyotrichum laeve~
""Wild Blue Indigo"" ~Baptisia australis~
""Spotted Joe Pye Weed"" ~Eutrochium maculatum~

",https://hudsonvalleyseed.com/cdn/shop/products/Mother-of-Pearl-Poppy-vendor-unknown-1630680827.jpg?v=1674504035
Northeast Native Wildflower Mix Seed Shaker,Artwork by Cynthia Cliff.,https://hudsonvalleyseed.com/cdn/shop/files/IMG_9239.jpg?v=1720208775
Northeast Native Wildflower Seed Mix,"An HVSC formulated rotating mix of annual and perennial species, such as",https://hudsonvalleyseed.com/cdn/shop/products/North-East-Native-Mix-vendor-unknown-1630676762.jpg?v=1630676765
Pansy Mix,"Partridge Pea ~Chamaecrista fasciculata~Evening Primrose"" ~Oenothera biennis~, ""Penstemon"" ~Penstemon digitalis~, ""Echinacea"" ~Echinacea~, ""Coreopsis"" ~Coreopsis~, ""Indian Blanket"" ~Gaillardia pulchella~, ""Showy Tick Trefoil"" ~Desmodium canadense~, ""Wild Bergamot"" ~Monarda fistulosa~, Rudbeckia, Ohio Spiderwort, ""Rigid Goldenrod"" ~Solidago rigida~, ""Gray Goldenrod"" ~Solidago nemoralis~, ""Gayfeather"" ~Liatris spicata~, ""Golden Alexander"" ~Zizia aurea~, ""Eastern Columbine"" ~Aquilegia canadensis~, ""New England Aster"" ~Symphyotrichum novae-angliae~, ""Smooth Aster"" ~Symphyotrichum laeve~, ""Wild Blue Indigo"" ~Baptisia australis~, and ""Spotted Joe Pye Weed"" ~Eutrochium maculatum~.
",https://hudsonvalleyseed.com/cdn/shop/products/Pansy-Mix-vendor-unknown-1630681617.jpg?v=1630681633
Pollinator Petal Patch,"Final mix may be subject to some change based on seed availability, but the guiding principal of beautiful, native flowers will remain the same.",https://hudsonvalleyseed.com/cdn/shop/products/Pollinator-Petal-Patch-vendor-unknown-1630680886.jpg?v=1630680887
Purplestem Aster - PollinateHV Local Ecotype,"Although the word pansy has its origins in the French pensee, meaning ""thought,"" the word became a slur directed toward gay, effeminate, or gender-nonconforming men. Artist Paul Harfleet's Pansy Project, which ceremoniously sets pansies into the earth at spots where homophobic abuse has occurred, reckons with both senses of the word. Hardy plants that can bloom through the snow, pansies intrinsically embody the resilience and fortitude at the core of the LGBTQIA+ community.
",https://hudsonvalleyseed.com/cdn/shop/files/PurplestemAster1.jpg?v=1721242986
Resina Calendula,"Why do flowers come in so many colors? One theory is that the colors attract pollinators. But insects, including solitary bees, honey bees, butterflies, wasps, and flies, don't see color the same way we do. Their compound eyes can detect most of the colors we can't but they also see UV light, invisible to humans. To their eyes, every beautiful bloom is a veritable bullseye, a combination of visible and UV light patterns that guide them toward sustaining nectar, thus continuing the cycle of life.",https://hudsonvalleyseed.com/cdn/shop/products/Resina-Calendula-vendor-unknown-1630680498.jpg?v=1630680500
Scarlet Peony Poppy,"Includes New England Aster, Plains Coreopsis, Penstemon, Indian Blanket, Evening Primrose, Wild Bergamot, Milkweed, and Ohio Spiderwort.",https://hudsonvalleyseed.com/cdn/shop/products/Scarlet-Peony-Poppy-vendor-unknown-1630680477.jpg?v=1630680479
Shady Meadow Mix,"The pretty purple and gold flowers of Purplestem Aster give a wispy appearance to late-season borders and gardens—a fittingly soft effect that helps the garden transition out of summer. Its blooms are also a positive force in your landscape, serving as a great source of nectar for bumblebees and supplying pollen and nectar to miner bees, cuckoo bees, leafcutter bees, cellophane bees, and sweat bees. It’s known to support at least 18 native Hudson Valley pollinators whose populations are threatened or declining.",https://hudsonvalleyseed.com/cdn/shop/products/B2930F3A-0EC4-4807-BD74-33AB018F9EC1.jpg?v=1698416059
Shady Meadow Wildflower Mix Seed Shaker,"An easy-to-grow plant, Purplestem Aster is quite adaptable but grows best in soils that stay on the moist side, growing well in both full sun and semi-shade.",https://hudsonvalleyseed.com/cdn/shop/products/IMG_9230.jpg?v=1717766677
Shirley Single Poppy Mix,"This mix is perfect for spaces with limited direct sunlight, such as most of the gardens in the Northeast! This mix contains both annuals and perennials, and can be sown in a prepared plot either in the fall or in the spring. The contents of mixes are wide and broad. Not every species will establish itself, but many will, giving way to varied habit suited to your location. This annual and perennial mix contains Chinese Forget-Me-Nots, Annual Candytuft, Baby Blue Eyes, Lance Leaved Coreopsis, Purple Coneflower, Baby's Breath, Rocket Larkspur, Corn Poppy, Chinese Houses, Shasta Daisy, Sweet William, Spurred Snapdragon, Johnny Jump Up, Clarkia, McKana Giants Columbine, Dwarf Columbine, Forget-Me-Not, Tussock Bellflower
",https://hudsonvalleyseed.com/cdn/shop/products/Shirley-Single-Poppy-Mix-vendor-unknown-1630676710.jpg?v=1630676717
