Name,Image URL 1,Details
Cauliflower - ES-1299,../invoices/uploads/imgs/products/ES-12997986.jpg,
Cauliflower - ES-1300,../invoices/uploads/imgs/products/ES-13005660.jpg,"An extra early hybrid, harvestable 55 days from transplanting, 
	compact and dome shaped curds are beautiful white in color and hold comparatively well, 
	resistance to high temperature and hot weather.
	Fruit weight is around 1-2 Kg.
	It can be appropriately intensive cultivation."
Carrots - ES-1235,../invoices/uploads/imgs/products/Car-9508310.jpg,
Carrots - ES-1236,../invoices/uploads/imgs/products/Car-9511438.jpg,
Carrots - ES-1237,../invoices/uploads/imgs/products/Car-9522087.jpg,
Carrots - ES-1238,../invoices/uploads/imgs/products/Car-9539157.jpg,
Carrots - ES-1239,../invoices/uploads/imgs/products/Car-9543710.jpg,
Carrots - ES-1240,../invoices/uploads/imgs/products/Car-955199.jpg,
Carrots - ES-1241,../invoices/uploads/imgs/products/Car-9568469.jpg,
Carrots - ES-1242,../invoices/uploads/imgs/products/Car-9571466.jpg,
Carrots - ES-1243,../invoices/uploads/imgs/products/Car-958716.jpg,
Carrots - ES-1244,../invoices/uploads/imgs/products/Car-9592483.jpg,
Carrots - ES-1245,../invoices/uploads/imgs/products/Car-9605174.jpg,
Carrots - ES-1246,../invoices/uploads/imgs/products/Car-9611018.jpg,
Carrots - ES-1247,../invoices/uploads/imgs/products/Car-9622701.jpg,
Carrots - ES-1248,../invoices/uploads/imgs/products/Car-9632492.jpg,
Carrots - ES-1249,../invoices/uploads/imgs/products/Car-9644124.jpg,
Carrots - ES-1250,../invoices/uploads/imgs/products/Car-9657913.jpg,
Carrots - ES-1251,../invoices/uploads/imgs/products/Car-966879.jpeg,
Cabbage - ES-1297,../invoices/uploads/imgs/products/ES-1297249.jpg,"75 - 85 day maturity. High globe shape heads of 2 - 2.5 kg in weight.
	Mid green coloured heads. 
	Consistent performer in a wide range of growing conditions with even maturity. 
	Tolerant to club root."
Cabbage - ES-1298,../invoices/uploads/imgs/products/ES-12987506.jpg,"Early maturing hybird variety, and will maturing at 50 days from transplant, round.
	Consistent performer in a wide range of growing conditions with very even maturity,
	globe shaped heads, weighting about 1.5kg (can be close planted at up to 52000 plant/hectare),
	Mid green coloured heads.
	Tolerant to cold conditions and cracking, resistance to Tipburn."
Broccoli - ES-1301,../invoices/uploads/imgs/products/ES-13013673.jpg,
