Names,Description,Image_URL
"Barley, Orwell Spring","
				
	Description






New spring 6-row feed barley. Awned head type. Medium plant height. Excellent standability and test weight. Good overall disease resistance. Testing has confirmed 4-6 bu/acre advantage over Cyane.








			",https://americanseedco.com/wp-content/uploads/2018/11/20181116_143538-200x267.jpg
"Bromegrass, Smooth","
				
	Description

A good sod-forming perennial which is leafy and high yielding. It is drought resistant and makes good hay and pasture.
			",https://americanseedco.com/wp-content/uploads/2013/07/Sb6-200x133.jpg
"Buckwheat,  Common","
				
	Description

An erect, herbaceous annual grass used as a green manure crop for renovation of land that is of low productivity. It produces a good crop in 6 to 8 weeks and decays rapidly when plowed under. It is also used for wildlife food, honey crop, poultry feed and human consumption as buckwheat 
flour. Increases in popularity each year.
			",https://americanseedco.com/wp-content/uploads/2013/07/g04163_fig01-200x133.jpg
"Canarygrass, Triatholon Reed","
				
	Description

A long lived clumpy perennial with coarse rhizomes. It grows 4 to 7 feet tall. It is used for pasture, silage, hay and erosion control. This very versatile grass is also excellent for stabilizing waterways, healing and controlling gullies and protecting shorelines of ponds and reservoirs from wave action. It flowers from June through July. It grows best under cool, moist conditions, but is adapted to a wide variety of soil moisture conditions including nontidal marches, stream banks, lake shores, moist woods, and fresh tidal marches.
			",https://americanseedco.com/wp-content/uploads/2013/07/Reedcanarygrass_600x-200x200.jpg
"Clover,  Alsike","
				
	Description

A very hardy clover that frequently takes hold where other clovers fail, especially in low , wet soil or high gravel ground. It provides desirable hay and is excellent for improving the soil. Has a place in
most all mixes. Sow 2-4 lbs. in mixes or 5-8 lbs. alone. Alsike will keep the cost of your seed mixtures down. Not suitable for horse pasture or feeding.
			",https://americanseedco.com/wp-content/uploads/2013/07/alsike-clover-scaled-200x150.jpg
"Clover,  Ladino","
				
	Description

Large type of native white clover. Makes good quality pasture for livestock. Bloat is a potential problem, so it should be planted with other grasses to avoid this problem. Seed 1-2 lbs. per acre in mixes.
			",https://americanseedco.com/wp-content/uploads/2013/07/09552-1-200x200.jpg
"Clover,  Crimson","
				
	Description

Pasture and hay crop. Crimson clover is excellent for grazing and haying. It will regrow if grazed or mowed no lower than 3 or 4 inches before the early bud stage. Mixing with grass reduces its relatively low bloat risk even further. Timely mowing four to six weeks before bloom improves growth, reduces lodging and will cause more uniform flowering and seed ripening on highly fertile.
With its rapid, robust growth, crimson clover provides early spring nitrogen for full-season crops. Rapid fall growth, or summer growth in cool areas, also makes it a top choice for short-rotation niches as a weed suppressing green manure. Popular as a staple forage, crimson clover is gaining increased recognition as a versatile summer-annual cover in colder regions. Its spectacular beauty when flowering keeps it visible even in a mix with other flowering legumes.
Since those early days of food plot experimentation, crimson clover has become one of the most popular annual clovers planted for deer. It is highly preferred by deer as it is an easily digestible, nutritious cool season food plot crop that can withstand heavy, continuous grazing.
Can be mixed with rye and other cereals, vetches, annual ryegrass, red clover.
This seed is an annual although it may reseed itself in fall in warmer climates.
			",https://americanseedco.com/wp-content/uploads/2021/07/crimson-1-200x235.jpg
"Clover,  Medium Red, VNS","
				
	Description

A perennial legume more easily established than alfalfa. Provides two cuttings of hay a season. Still a main part of rotational hay programs. Used extensively with orchardgrass and timothy. Used for hay, silage and commercial seed production.
			",https://americanseedco.com/wp-content/uploads/2013/07/Medium-Red-Clover-Seed-200x200.jpg
"Clover,  White Dutch","
				
	Description

A low growing clover that grows on most soil types except on highly alkaline or saline soils. It spreads by surface stolons that root at the nodes. Withstands trampling or close grazing. Sow at 3 lbs. per acre.
			",https://americanseedco.com/wp-content/uploads/2013/07/09552-200x200.jpg
"Clover, Yellow Blossom","
				
	Description

An excellent soil improver. Used in mixtures with other clovers and grasses for hay. Harvest before it becomes coarse. Sow at 15 lbs. per acre alone or 4-6 lbs. per acre in mixes.
			",https://americanseedco.com/wp-content/uploads/2013/07/30577012_s-200x133.jpg
Rye (Grain) VNS,"
				
	Description

Rye is very winter-hardy and has the ability to perform well even on infertile soils. Used for pasture, winter cover, green manure and grain. Rye also makes good no-till cover crop.
This seed is an annual.
			",https://americanseedco.com/wp-content/uploads/2013/07/rye-200x112.jpg
"Timothy,  Climax","
				
	Description

Leafy, high-yielding, rust resistant variety. Heads out about 7-10 days later than common timothy. Best when used with legumes.
A perennial that should be reseeded every two years.
			",https://americanseedco.com/wp-content/uploads/2013/07/timothy-200x150.jpg
"Trefoil,  Norcen","
				
	Description

Good yielding. Suitable for hay or pasture. Intermediate in height between Viking and Empire in average date of first flowering. Winter hearty.
This seed is a perennial.
			",https://americanseedco.com/wp-content/uploads/2013/07/trefoil-200x133.jpg
"Crown Vetch,  Penngift","
				
	Description

Erosion control.  Ornamental.  Shows promise for hay and pasture.  Should be seeded with a companion crop.  Perennial legume that spreads by underground growth.  Permanent ground cover; chokes out weeds. Blooms all summer with white-violet blooms. 
This seed is a perennial.
			",https://americanseedco.com/wp-content/uploads/2013/07/crownvetch-penngift-2-200x267.webp
"Vetch,  Hairy","
				
	Description

There is a new emphasis on Hairy Vetch as a winter cover crop.  It has been known to add 60-70 lbs. nitrogen to the soil-should be seeded in September for fall cover crop.  Seeded alone, plant 20-30 lbs. per acre.  In mixtures, use 10-15 lbs. Hairy Vetch and 1/2 to 1 bushel small grain.  A good mixture in the spring is 15 lbs. Hairy Vetch to 1 1/2 bushel oats per acre.  Do not seed vetch in small grain to be harvested as grain.
This seed is a winter annual.
			",https://americanseedco.com/wp-content/uploads/2013/07/hairy-200x150.jpg
"Orchardgrass,  Alpine II","
				
	Description

Alpine II is a top-rated, late maturing orchardgrass. This later maturity means Alpine II is able to produce high-quality forage later into the season, making it an ideal option for hay. As a top producer, Alpine II, performed well in both the Kentucky and Wisconsin forage yield trials. Alpine II produces high-quality forage with a high protein content. Alpine II displays excellent disease resistance along with good seedling vigor establishing strongly. Additionally, Alpine
II also has good winter hardiness.
3 Year Yield 11.11
			",https://americanseedco.com/wp-content/uploads/2020/09/images-200x147.jpg
"Orchardgrass,  Devour","
				
	Description

Devour Orchardgrass is a the new name in grazing-type orchardgrasses. Devour, a late maturing orchardgrass was developed to withstand the rigors of intensive grazing systems which can destroy lesser varieties. Devour is quick to establish, out competing weeds and producing a better, high-yielding pasture for your animals. Devour is a highly palatable feed and excellent for hay as well! Devour was a top performer in persistence trials and very compatible with either clover or alfalfa.
			",https://americanseedco.com/wp-content/uploads/2020/11/dactylis-glomerata-orchard-grass-seeds-200x200.jpg
"Orchardgrass,  Potomac","
				
	Description

An improved early maturing variety. More resistant to leaf diseases than common orchardgrass. Very productive and persistent. Recommended with clover.
			",https://americanseedco.com/wp-content/uploads/2013/07/potomac-200x200.jpg
"Winter Peas, Austrian","
				
	Description

Excellent winter cover crop and food plot crop, and since peas are legumes, an excellent source of nitrogen. Growth habit and appearance is similar to garden peas. Very winter hardy when seeded in fall.
This seed is an annual.
			",https://americanseedco.com/wp-content/uploads/2013/07/austrian-winter-peas-4f6199c2db070130cc9ae8c28ec97352-200x149.jpg
Rape,"
				
	Description

Member of the mustard family; seeds are approximately 37% oil; used in the production of healthy cooking oils; high quality livestock supplement; preferred by deer in the winter; makes good biodiesel.
This seed is an annual.
			",https://americanseedco.com/wp-content/uploads/2021/10/oilseed-rape_480x480-200x111.jpg
"Sorghum, Green Grazer","
				
	Description

SSA GREENGRAZER is a small-seeded three way cross with thin stems that are highly palatable. Regrowth after cutting is very fast. SSA GREENGRAZER is a dark green color and also possesses the Green Top trait, which allows for further extension of the plant. Planting SSA GREENGRAZER at higher populations per acre will result in a finer stemmed forage. Finer stems will allow the forage to dry faster for higher quality hay than is possible with thick stemmed types, does not produce the milo on top.
This seed is an annual.
			",https://americanseedco.com/wp-content/uploads/2021/10/sorghum-green-grazer-200x133.jpg
"Sorghum Grain, Heading","
				
	Description

Sorghum is an early maturing sorghum reaching mid-bloom at about 40-50 days after emergence. It is a short, fast maturing sorghum, and it will produce heads with seeds in 90 days or less. A mature plant will be 26-30″ tall with seed becoming marginally palatable and edible at maturity. This sorghum makes excellent seed for all game birds, including quail, turkey, pheasants, doves and ducks. Deer will also feed heavily on the grain in fall and winter. This type of Sorghum is a most valuable source of winter food for quail and other wildlife.. The plants will tiller and keep producing additional heads as long as there is moisture until frost.
This seed is an annual.
			",https://americanseedco.com/wp-content/uploads/2021/10/Sorghum-grain-200x132.jpg
"Buckwheat,  Common","
				
	Description

An erect, herbaceous annual grass used as a green manure crop for renovation of land that is of low productivity. It produces a good crop in 6 to 8 weeks and decays rapidly when plowed under. It is also used for wildlife food, honey crop, poultry feed and human consumption as buckwheat 
flour. Increases in popularity each year.
			",https://americanseedco.com/wp-content/uploads/2013/07/g04163_fig01-200x133.jpg
"Buckwheat,  Common","
				
	Description

An erect, herbaceous annual grass used as a green manure crop for renovation of land that is of low productivity. It produces a good crop in 6 to 8 weeks and decays rapidly when plowed under. It is also used for wildlife food, honey crop, poultry feed and human consumption as buckwheat 
flour. Increases in popularity each year.
			",https://americanseedco.com/wp-content/uploads/2013/07/g04163_fig01-200x133.jpg
Chufa,"
				
	Description

Chufa Seed is a warm season bunch grass planted in food plots for deer, turkey, ducks, hogs, and other wildlife. Chufa is a legume species that produces a tasty under ground nut or tuber that wild turkey scratch up and eat.  Plant May-July.
Type:


Native


Habitat:
Moist ground of fields, meadows, lawns, gardens.


Life Cycle:
Perennial


Bloom Period:
Summer/Fall


Typical Height:
2.6 ft


Minimum Root Depth:
10 in


pH:
5.0 – 7.0


 
 
			",https://americanseedco.com/wp-content/uploads/2024/06/Chufa-turkeys-1-200x68.jpg
"Oats, Kara","
				
	Description

Kara forage oat is a tall, leafy, forage style oat. With excellent yield and improved resistance to leaf rust, it topped the 2018 Penn State Forage trials.
			",https://americanseedco.com/wp-content/uploads/2021/12/efRYJjMN-Forage-Oats-200x133.jpg
Rape,"
				
	Description

Member of the mustard family; seeds are approximately 37% oil; used in the production of healthy cooking oils; high quality livestock supplement; preferred by deer in the winter; makes good biodiesel.
This seed is an annual.
			",https://americanseedco.com/wp-content/uploads/2021/10/oilseed-rape_480x480-200x111.jpg
"Sorghum, Green Grazer","
				
	Description

SSA GREENGRAZER is a small-seeded three way cross with thin stems that are highly palatable. Regrowth after cutting is very fast. SSA GREENGRAZER is a dark green color and also possesses the Green Top trait, which allows for further extension of the plant. Planting SSA GREENGRAZER at higher populations per acre will result in a finer stemmed forage. Finer stems will allow the forage to dry faster for higher quality hay than is possible with thick stemmed types, does not produce the milo on top.
This seed is an annual.
			",https://americanseedco.com/wp-content/uploads/2021/10/sorghum-green-grazer-200x133.jpg
"Alfalfa, Variety Not Specified","
				
	Description

An old-time favorite with excellent winter hardiness. A good yielding variety which has good bacterial wilt resistence.
This seed is a perennial.
			",https://americanseedco.com/wp-content/uploads/2013/07/JLS4300-e1625164028457-200x200.jpg
"Beet, Sugar (120 Days), Heirloom","
				
	Description

Roots grow about 8 inches deep and weigh 2 to 5 pounds. Abundant foliage with high sugar content.
			",https://americanseedco.com/wp-content/uploads/2013/05/sugar-beet-200x200.jpg
Bucks-A-Plenty,"
				
	Description

Plant this clover mix to draw deer into your area and keep them there. This mix provides nutritional value to have bigger deer and racks. Inoculant is highly recommended. Sow in fall 6-8 weeks before heavy freeze or very early in spring. 3 pounds will sow approximately 1/3 of an acre.
This seed is a perennial. It will last up to four years, over seeding every few years is recommended.
Inoculant is recommended:
Inoculant, Bucks-A-Plenty

			",https://americanseedco.com/wp-content/uploads/2013/07/foodplot_deer-200x162.jpg
"Chicory, Six Point","
				
	Description

Chicory is a very versatile plant that is equally cherished as a flower and as an herb. Chicory seeds can be planted in the most challenging of conditions, and actually tend to thrive in less-than-ideal soil. Direct sow outdoors 2-3 weeks before the final frost date of the Spring, or as soon as the soil is workable. Sow Chicory seeds 6-10 inches apart in rows that are 2-3 feet distant. Seeds should be planted to a depth of 1/4 inch. Seedlings will emerge in approximately 14-21 days. Relatively slow to establish compared to other grains or forage seed however, once established it is highly preferred by deer as well as turkey.
This seed is a perennial.
			",https://americanseedco.com/wp-content/uploads/2021/10/chickory-200x131.jpg
"Clover,  Crimson","
				
	Description

Pasture and hay crop. Crimson clover is excellent for grazing and haying. It will regrow if grazed or mowed no lower than 3 or 4 inches before the early bud stage. Mixing with grass reduces its relatively low bloat risk even further. Timely mowing four to six weeks before bloom improves growth, reduces lodging and will cause more uniform flowering and seed ripening on highly fertile.
With its rapid, robust growth, crimson clover provides early spring nitrogen for full-season crops. Rapid fall growth, or summer growth in cool areas, also makes it a top choice for short-rotation niches as a weed suppressing green manure. Popular as a staple forage, crimson clover is gaining increased recognition as a versatile summer-annual cover in colder regions. Its spectacular beauty when flowering keeps it visible even in a mix with other flowering legumes.
Since those early days of food plot experimentation, crimson clover has become one of the most popular annual clovers planted for deer. It is highly preferred by deer as it is an easily digestible, nutritious cool season food plot crop that can withstand heavy, continuous grazing.
Can be mixed with rye and other cereals, vetches, annual ryegrass, red clover.
This seed is an annual although it may reseed itself in fall in warmer climates.
			",https://americanseedco.com/wp-content/uploads/2021/07/crimson-1-200x235.jpg
"Crown Vetch,  Penngift","
				
	Description

Erosion control.  Ornamental.  Shows promise for hay and pasture.  Should be seeded with a companion crop.  Perennial legume that spreads by underground growth.  Permanent ground cover; chokes out weeds. Blooms all summer with white-violet blooms. 
This seed is a perennial.
			",https://americanseedco.com/wp-content/uploads/2013/07/crownvetch-penngift-2-200x267.webp
"Kale, Early Curled Siberian (55 Days), Heirloom","
				
	Description

Dwarf, spreading plant that grows rapidly and matures early. Large green leaves are curled at ends. Very hardy.    
			",https://americanseedco.com/wp-content/uploads/2013/06/siberian-200x133.jpg
"Radish, Daikon – Cover Crop","
				
	Description

Alleviates soil compaction, suppress weeds, enhances seedbed, builds organic matter, reduces nitrate leaching, controls erosion, reduces runoff, releases nitrogen and increases topsoil fertility. Food Plot for Deer A brassica that can grow a leafy top as high as 2 feet out of the ground and a large tap root as deep as 2 feet under the ground. Roots rapidly decompose in early spring to create a void which aerates the soil High in protein and mineral content.
			",https://americanseedco.com/wp-content/uploads/2013/07/daikon-200x200.jpg
Rye (Grain) VNS,"
				
	Description

Rye is very winter-hardy and has the ability to perform well even on infertile soils. Used for pasture, winter cover, green manure and grain. Rye also makes good no-till cover crop.
This seed is an annual.
			",https://americanseedco.com/wp-content/uploads/2013/07/rye-200x112.jpg
"Sorghum Grain, Heading","
				
	Description

Sorghum is an early maturing sorghum reaching mid-bloom at about 40-50 days after emergence. It is a short, fast maturing sorghum, and it will produce heads with seeds in 90 days or less. A mature plant will be 26-30″ tall with seed becoming marginally palatable and edible at maturity. This sorghum makes excellent seed for all game birds, including quail, turkey, pheasants, doves and ducks. Deer will also feed heavily on the grain in fall and winter. This type of Sorghum is a most valuable source of winter food for quail and other wildlife.. The plants will tiller and keep producing additional heads as long as there is moisture until frost.
This seed is an annual.
			",https://americanseedco.com/wp-content/uploads/2021/10/Sorghum-grain-200x132.jpg
Switchgrass,"
				
	Description

Switchgrass can be used as a feedstock for biomass energy production, as ground cover for soil conservation, and to control erosion, for forages and grazing, and as game cover. It can be used by cattle farmers for hay and pasture and as a substitute for wheat straw in many applications, including livestock bedding, straw bale housing and as a substrate for growing mushrooms.
In hunting woodlot edges, bedding areas, hunter access routes, ponds, orchards and food plots are all very good habitat features to plant switchgrass along side. Your entire screening goal should be to keep the deer from seeing you, and the deer from seeing each other.  A favorite of deer to bed down in.
Switchgrass is both a perennial and self-seeding crop, which means farmers do not have to plant and reseed after annual harvesting. Once established, a switchgrass stand can survive for ten years or longer.
			",https://americanseedco.com/wp-content/uploads/2021/10/wpid-wp-1432730577595-200x124.jpg
"Sunflower, Black Oil Hybrid (Perodovik Sunflower)","
				
	Description

Plant heights of 5 feet with sunflower heads that produce an abundant supply of tasty snacks or bird food.
 
 
			",https://americanseedco.com/wp-content/uploads/2013/07/Black-Oil-Sunflower.webp
"Timothy,  Climax","
				
	Description

Leafy, high-yielding, rust resistant variety. Heads out about 7-10 days later than common timothy. Best when used with legumes.
A perennial that should be reseeded every two years.
			",https://americanseedco.com/wp-content/uploads/2013/07/timothy-200x150.jpg
"Trefoil,  Norcen","
				
	Description

Good yielding. Suitable for hay or pasture. Intermediate in height between Viking and Empire in average date of first flowering. Winter hearty.
This seed is a perennial.
			",https://americanseedco.com/wp-content/uploads/2013/07/trefoil-200x133.jpg
"Turnip, Seven Top or Winter Greens (45 days), Heirloom","
				
	Description

Tough inedible root. Tops are used for greens and stock grazing. Deer love the tops and also dig out the bulbs to eat.
			",https://americanseedco.com/wp-content/uploads/2013/07/Seven-Top-TurnipBC__94164.1608316144-200x200.jpg
"Turnip,Purple Top White Globe (57 days), Heirloom","
				
	Description

Purple Top Turnips are Large roots, smooth, globe shaped, 5 to 6″ in diameter, purple across top with white beneath.  Flesh is white,  fine grained,  crisp and tender with a little bit of spicy.  Tops are 18 to 22 inch tall, dark green.   An all-purpose variety used extensively for home-gardening and shipping.
They can be planted late-even as a second crop-and provide high-quality grazing late in the fall. Turnip planted in July will provide grazing from September to November. The most vigorous root growth takes place during periods of low temperature (40 to 60).
Turnip is a root brassica crop most commonly used for forage. It does well in colder climates but is also grown in southern regions. Fast growing summer fodder crop with excellent feeding value. Deep taproot creates perfect channels for plant roots to easily follow. Excellent at taking residual nitrogen and putting it back into the soil.
			",https://americanseedco.com/wp-content/uploads/2013/07/Purple-Top-White-Globe-Turnip-01-200x200.gif
Fawn Tall Fescue,"
				
	Description

Fawn Tall Fescue is a cool season, dense, bunching grass that grows well in shady areas and is very heat and drought tolerant. It was brought to the US in the early 1800’s for pastures, but is now used as both a pasture and turf.
Fawn tall forage fescue is an endophyte free, cool season bunchgrass. This deep-rooted variety is tolerant of intensive grazing and animal traffic.
Fresh crop shipping March 1st.
			",https://americanseedco.com/wp-content/uploads/2021/09/grass-200x133.jpg
Broadcast Spreader,"
				
	Description

Evenly distributes seed, light weight fertilizers, granulars and other light weight materials.
All metal gears, zipper top canvas bag, approx. 25 lb. capacity, adjustable shoulder strap, Calibrated flow rate adjuster with calibration chart, easy On-Off control, One year warranty.
Dual handle, ready to use in seconds. No tools required.
			",https://americanseedco.com/wp-content/uploads/2018/11/new-200x200.jpg
"Grass Mix,  85/15X","
				
	Description

Made from two fine-textured, dark green, excellent quality grasses. A widely adaptable mix for all types of conditions. A blending of specialty perennial ryegrasses and Kentucky bluegrass.  Six pounds sow 1000 square feet. 
			",https://americanseedco.com/wp-content/uploads/2021/09/grass-200x133.jpg
"Grass Mix,  Fairway","
				
	Description

A blend of top ranked Turf Type Perennial Ryegrasses is recommended for overseeding. The blend provides excellent seeding vigor, and one of the most wear tolerant formulas available for golf courses, parks, and home lawns. Fairway Mix is endophyte enhanced which provides a natural resistance to above-ground turf-eating insects and larvae. The fine dark green blades of Fairway Mix are quick to establish and it is virtually thatch-free. Six pounds sow 1000 square feet. 
			",https://americanseedco.com/wp-content/uploads/2013/07/seeds_golfcourse_top-200x164.jpg
"Grass Mix,  Elite","
				
	Description

Elite Grass Mix is a beautiful mix of Specialty Ryegrass and Specialty Kentucky Blue Grass.   Seven pounds sow 1000 square feet.  
			",https://americanseedco.com/wp-content/uploads/2021/09/grass-200x133.jpg
"Grass Mix,  Penn State Pro","
				
	Description

An economical mixture of perennial ryegrasses, Kentucky bluegrass, fine fescue and annual ryegrass. Better quality than Contractors Mix but not as good as our other mixtures. Seven pounds sow 1000 square feet.  
			",https://americanseedco.com/wp-content/uploads/2013/07/pennstategrass-200x145.jpg
"Grass Mix,  Kentucky Bluegrass Blend","
				
	Description

Trueblue is a blend of Specialty Kentucky Blue Grass.  This blend of seed makes a thick beautiful lawn.   Four pounds sow 1000 square feet.  
			",https://americanseedco.com/wp-content/uploads/2021/09/grass-200x133.jpg
"Grass Mix,  Shady","
				
	Description

This mixture with a strong basis of fine fescues offers the opportunity for an attractive lawn in spite of the shade. Fine-textured cover  where other grasses cannot compete. Six pounds sow 1000 square feet.
			",https://americanseedco.com/wp-content/uploads/2013/07/shady-200x150.jpg
"Grass Mix,  Tuff Turf 21","
				
	Description

Improved grass mixture with specialty turf type tall fescue (Lateral Spread), specialty bluegrass and specialty perennial ryegrass. This fine bladed mixture is durable, can stand the heat and humidity and will tolerate a light shade. This mix will be the envy of the neighborhood. Seven pounds sow 1000 square feet.
			",https://americanseedco.com/wp-content/uploads/2021/09/grass-200x133.jpg
"Grass Mix, American Eagle","
				
	Description

American Eagle Grass mix is a blend of fine-textured, dark green, excellent quality grasses that makes a widely adaptable mix for all types of conditions.   It’s blending of specialty turf type perennial ryegrasses, Kentucky bluegrass and fine fescue, makes it ideal for the most discriminating homeowner.   Seven pounds sow 1000 square feet.  
			",https://americanseedco.com/wp-content/uploads/2021/09/grass-200x133.jpg
"Grass Mix, American Premier","
				
	Description

A mixture of improved tall fescues with Lateral Spread Technology, Kentucky bluegrass and fine fescue is well suited for lawns with high traffic. Fine, dark green stems can withstand higher humidity, sun or light shade. Seven pounds sow 1000 square feet.   
			",https://americanseedco.com/wp-content/uploads/2021/09/grass-200x133.jpg
"Grass Mix, Contractors","
				
	Description

Designed for the building industry, this mixture contains 50% annual ryegrass. It provides quick, relatively inexpensive ground cover but will thin, but works well in areas of less concern and less frequent mowing. Eight pounds sow 1000 square feet.           
			",https://americanseedco.com/wp-content/uploads/2013/07/grass-seed-200x133.jpg
"Grass Mix, Drought Resistant","
				
	Description

For dryer areas, this is an unbeatable grass seed mix. This blend contains a mix of 70% specialty turf type tall fescues with Lateral Spread Technology, 15% creeping fine fescues and 15% Fahrenheit 90 Kentucky bluegrass. All fine textured, dark green, excellent quality greases that have deep roots to survive dry periods. Seven pounds sow 1000 square feet.       
			",https://americanseedco.com/wp-content/uploads/2021/09/grass-200x133.jpg
"Grass Mix, Turf Type Tall Fescue","
				
	Description

A mixture of improved tall fescues with Lateral Spread Technology. This blend has the potential for increased stand density, particularly under stress, and self-recuperation from traffic, thinning or injury.  Fine, dark green stems give an excellent appearance, have an outstanding disease resistance, are more drought tolerant and show increased tendency to “fill-in”.   Seven pounds sows 1000 square feet. 
			",https://americanseedco.com/wp-content/uploads/2013/07/tall-fescue-200x150.jpg
Low-Growing Mixture,"
				
	Description

This popular flower mixture is composed of annuals and perennials that are generally less than 16 inches tall at maturity.  It is especially suitable for residential or commercial landscaping where height may be an issue.
 
Mix components: African Daisy (Dimorphotheca sinuata), California Bluebell (Phacelia campanularia), California Poppy (Eschscholzia californica), Candytuft (Iberis umbellata), Cottage Pinks (Dianthus plumarius), Dwarf Cornflower (Centaurea cyanus), Dwarf Evening Primrose (Oenothera missouriensis), Dwarf Godetia (Clarkia amoena), Dwarf Lance-Leaved Coreopsis (Coreopsis lanceolata), Dwarf Plains Coreopsis (Coreopsis tinctoria), Iceland Poppy (Papaver nudicaule), Johnny Jump-Up (Viola cornuta), Moss Verbena (Verbena tenuisecta), Siberian Wallflower (Cheiranthus allionii), Spurred Snapdragon (Linaria maroccana), Sweet Alyssum (Lobularia maritima), Tussock Bellflower (Campanula carpatica)
			",https://americanseedco.com/wp-content/uploads/2017/11/Flowers-Low-Growing-Mixture-200x200.jpg
"Marigold, Crackerjack","
				
	Description

Crackerjack is an heirloom, African Marigold that grows to 36 inches tall. The fluffy, carnation-like flowers come in shades of gold, orange and yellow. Recommended for beds & borders and the cutting garden. Also useful for control of insect pests in the vegetable garden.
 



COLOR(S)
Mixed Colors


SCIENTIFIC NAME
Tagetes erecta


TYPE
Annual


SUN
Full Sun


MOISTURE
Dry, Moderate


HEIGHT (IN.)
28-36


BLOOM PERIOD
Summer, Fall


SEEDS/LB.
136,000


OZ./1000 SQ. FT.
4


LBS./ACRE
10



 
 
 
			",https://americanseedco.com/wp-content/uploads/2016/11/crackerjack-200x192.jpg
"Marigold, French Petite","
				
	Description

This dwarf Marigold has small, button-like flowers in shades of gold, orange, yellow, red and bi-colors. Plants grow to just 8-10 inches tall and are long-blooming. Recommended for containers as well as beds & borders. Also useful for control of insect pests in the vegetable garden.
 



SCIENTIFIC NAME
Tagetes patula


COLOR(S)
Mixed Colors


TYPE
Annual


SUN
Full Sun


MOISTURE
Dry, Moderate


HEIGHT (IN.)
8-10


BLOOM PERIOD
Summer, Fall


SEEDS/LB.
136,000


OZ./1000 SQ. FT.
5


LBS./ACRE
13



 
 
			",https://americanseedco.com/wp-content/uploads/2016/12/fre-200x200.jpg
"Marigold, Sparky Mix","
				
	Description

This French Marigold has medium sized flowers with wavy petals. Flowers are a mix of gold, orange, red, yellow or bi-colored. Plants grow to 14 inches tall and are long-blooming. Recommended for containers, beds & borders, and the pollinator garden. Also useful for control of insect pests in the vegetable garden.
 



SCIENTIFIC NAME
Tagetes patula


COLOR(S)
Mixed Colors


TYPE
Annual


SUN
Full Sun


MOISTURE
Dry, Moderate


HEIGHT (IN.)
12-14


BLOOM PERIOD
Summer, Fall


SEEDS/LB.
136,000


OZ./1000 SQ. FT.
5


LBS./ACRE
13



 
 
			",https://americanseedco.com/wp-content/uploads/2016/11/spaky-200x153.jpg
Monarch Butterfly Garden Mixture,"
				
	Description

Monarch populations have been in decline for a number of years, and the loss of nectar sources and milkweeds has been indicated as a major contributor to these declines.  This mixture is composed of native wildflowers, garden flowers and milkweeds which supply nectar sources for adult monarchs.  Milkweeds are utilized for egg-laying and provide food to monarch caterpillars.  This mixture is appropriate for home gardens, commercial landscaping, golf courses and other maintained sites.
Mix components: Annual Candytuft (Iberis umbellata), Butterfly Milkweed (Asclepias tuberosa), Dwarf Cosmos (Cosmos bipinnatus), Gayfeather (Liatris spicata), Hoary Vervain (Verbena stricta), Indian Blanket (Gaillardia pulchella), Marigold ‘Naughty Marietta’ (Tagetes patula), Mexican Sunflower (Tithonia rotundifolia), Purple Coneflower (Echinacea purpurea), Rocket Larkspur (Delphinium consolida), Siberian Wallflower (Cheiranthus allionii), Smooth Aster (Aster laevis), Sulphur Cosmos (Cosmos sulphureus), Zinnia (Zinnia elegans)
			",https://americanseedco.com/wp-content/uploads/2017/11/Flower-Monarch-Butterfly-Garden-Mixture-200x256.jpg
"Phlox,  Mixed Colors (Annual)","
				
	Description

A classic garden annual, and a fast-growing accent flower for bouquets and borders. Annual phlox produces charming, abundant blooms on branched stems.  Height is 15-20″.  Seed Matures in 50 to 60 days.
			",https://americanseedco.com/wp-content/uploads/2020/01/Phlox-200x199.jpg
"Poppy, CA Formula","
				
	Description

Colors include yellow, orange, red, purple, and white. California Poppies are easy to grow and perform best when sown directly in the garden or project site.
 
 
			",https://americanseedco.com/wp-content/uploads/2016/11/poppy-200x203.jpg
"Poppy, Orange","
				
	Description

Commonly known as CA orange Poppy, these simple flowers are native to western North America and bring endless enjoyment. Sow in the spring for blooms all summer long. Sow in the fall and yours will be the first to bloom in spring. Will self sow. An outstanding border plant. Height: 8-12 inches.
			",https://americanseedco.com/wp-content/uploads/2018/11/ca-orange-poppy-200x203.jpg
"Poppy, Red Corn","
				
	Description


Red Poppies create bold, red color in any sunny spot. Annual.

 
			",https://americanseedco.com/wp-content/uploads/2018/11/red-corn-poppy-200x200.jpg
