Name,Image_URL,Description
JAUNE FLAMME,//territorialseed.com/cdn/shop/files/TM816_450x.jpg?v=1704253972,"75–80 days. Light up your tastebuds with this delightful heirloom. French for Yellow Flame, these deep orange beauties stack up by the dozens in long trusses on indeterminate vines. At 2 inches round and a full, well-balanced flavor of sweet and sour, they’re just right for slicing into salads, roasting, drying or cooking into sauce."
JIMMY NARDELLO'S,//territorialseed.com/cdn/shop/products/PP671_450x.jpg?v=1597272811,"75 days. An almost uncanny sweet, fruity flavor makes these peppers tempting and delightful eaten straight off the plant, but traditional Italian cuisine typically uses them for frying. The long, slender fruit will easily reach 6–9 inches starting green and ripening to red. Super productive, disease-resistant plants."
KATARINA,//territorialseed.com/cdn/shop/products/CB164_450x.jpg?v=1597272244,"45 days. Manageably sized, fast to mature, and absolutely delicious. This AAS award-winning cabbage produces impeccably uniform, light green, 4 inch globes on compact plants. An excellent choice for containers or cramped plantings and year-round production of the sweetest cabbage."
KELLOGG'S BREAKFAST,//territorialseed.com/cdn/shop/products/TM948_450x.jpg?v=1597273013,"85 days. These beefy slicers are plenty big enough for breakfast, lunch, and dinner! Easily reaching 4–5 inches across or larger, the brilliant, orange fruit are rich, meaty, and full flavored. Indeterminate plants have an open, rambling habit."
LA BOMBA II,//territorialseed.com/cdn/shop/products/PP688_450x.jpg?v=1597273246,"56 days. Our best tasting jalapeño! These 2 ½-3 ½ inch, early peppers have extra thick, ¼ inch walls. They have a hint of sweet followed by a mild flavor with no bitterness and finish with a burst of true jalapeño heat. Disease-resistant plants have a strong, upright habit and good leaf coverage to protect the fruit from sunscald. BLS 1–3, TMV."
LEGEND,//territorialseed.com/cdn/shop/products/TM919_450x.jpg?v=1597272990,"68 days. If late blight has been a problem in your garden, you should try growing Legend. Legend has shown some tolerance of late blight fungi US8 and US11  So even in the most virulent areas, gardeners have a chance of harvesting ripe tomatoes. Legend not only demonstrates tolerance of late blight, but is also one of the earliest maturing slicing tomatoes we know of. Legend produces amazingly sweet tomatoes with just the right amount of acidity. The big, 4–5 inch, parthenocarpic fruit are glossy red, with a uniform round shape. Bred and released by Dr. Jim Baggett at Oregon State University. Determinate. LB."
LEMON,//territorialseed.com/cdn/shop/products/CU309_3_450x.jpg?v=1597273425,"70 days. These 3–4 foot, semi-bush type plants bear loads of apple-shaped cucumbers with lemon-colored skins. The flesh is very mild and sweet, never bitter. Scrumptious and colorful in salads. Best harvested when the size of limes. This old variety is a favorite among many cool season gardeners. HE. R."
LISTADA DE GANDIA,//territorialseed.com/cdn/shop/products/EG329_450x.jpg?v=1597272343,"80-90 days. This European heirloom dates back to 1850. Petite, 14 inch tall plants produce some of the most beautiful eggplants we’ve seen. The elongated, egg-shaped fruits reach 8 inches long, have a delicately mild flavor and tender, thin skin that’s streaked in violet and cream."
LITTLE GEM,//territorialseed.com/cdn/shop/products/LT403_450x.jpg?v=1597272618,"75 days. We have sold Little Gem for over 20 years, and it still remains a staff favorite! English green grocers offer this miniature green romaine with its blanched, thick heart as a gourmet treat. Heads are about 4 inches across and are prime eating from 4–6 inches tall. Plants can be spaced 6 ½ by 6 ½ inches for maximum yields."
LITTLE NAPOLI,//territorialseed.com/cdn/shop/products/TM856_450x.jpg?v=1597272930,"60-65 days. Our hands-down choice for a roma-style tomato that’s comfortable growing in a container. The exceptionally compact, determinate plants produce heavy flushes of fruit, perfect for cooking up into rich sauce, soup or ketchup. The bright crimson, oval tomatoes are meaty and dense with a rich, tangy flavor. These dual-use tomatoes are also ideal in salads. Overall plant size is 12–24 inches tall, stretching 24–36 inches wide."
LIZZANO,//territorialseed.com/cdn/shop/products/TM967_450x.jpg?v=1597273030,"65 days. One of the most beautiful and early-maturing cherries you can grow. Lizzano was crowned an AAS winner for its sweet, flavorful 1 inch fruit and its extra long harvest window. The well-mannered, semi-determinate plants thrive in the garden or containers, and they are sure to find a home in any garden setting. Disease resistant. LB."
LOLA,//territorialseed.com/cdn/shop/products/PP731_450x.jpg?v=1597273642,"65 days. To say Lola is among the highest yielding peppers we've ever grown is not even close to exaggerating! The mind-boggling plants reached waist-high in our trials and loaded up with huge, 7 ½–8 inch banana-type fruit. The thick-walled, light yellow peppers develop very early and are mild tasting. They slowly ripen to orange and then finally to bright red. Great disease resistance means a very high rate of success in the garden. HR: BLS 0–3, 7–8. IR: TSWV."
MAITAI,//territorialseed.com/cdn/shop/files/TM818_450x.jpg?v=1704253934,"70 days. Intoxicatingly delicious, this sunset-colored beefsteak will have you coming back for seconds. MaiTai produces big, 3 inch, slightly squat fruit with golden yellow skin and juicy flesh that’s blushed yellow, orange and rose. As tempting as it looks, the smooth texture and full, sweet, slightly tangy flavor are guaranteed crowd pleasers. Healthy, indeterminate plants boast strong disease resistance for lots of productivity throughout the season. HR: F 0–1, FOR, LM A–E, ToANV, ToMV 0–2, V 0."
MARKETMORE 97,//territorialseed.com/cdn/shop/products/CU292_450x.jpg?v=1597272335,"55 days. Developed at Cornell University, Marketmore 97 is a great slicing cucumber, and is one of the most disease-resistant varieties we offer. Bitter-free and burpless to boot! With vines up to 6 feet long, this northern cultivar bears loads of 9-11 inch, straight, white-spined cukes. A first-rate addition to anyone's garden. Marketmore 97 is produced under license, and a portion of the profits support vegetable breeding programs at Cornell University. MO. CMV, DM, PM, S."
MARSALATO,//territorialseed.com/cdn/shop/products/TM829_450x.jpg?v=1636001108,"75 days. When it comes to the eye appeal of a tomato, Marsalato steals the show. These deeply pleated, squat fruit reach 2 inches tall and 3 inches wide with glossy red, firm skin and solid, meaty flesh. Add its super strong disease resistance and delightfully tangy flavor and this classic Marmande type will be a garden and kitchen favorite. Indeterminate habit. F 0, FOR, LM, ToMV 0–2, ToANV, V 0."
MELLOW STAR,//territorialseed.com/cdn/shop/files/PP713_4_450x.jpg?v=1710468930,"70-80 days. A wildly popular Japanese snacking pepper, this shishito type has characteristic thin skin and a very mild flavor. The 3 ½–4 inch long, green, deeply wrinkled fruit are typically prepared either stir-fried, pan-fried with a touch of oil and soy sauce, or in tempura. Mellow Star is one of the earliest and highest yielding shishitos in years of trials. PVY"
MICHAL,//territorialseed.com/cdn/shop/products/EG334_450x.jpg?v=1597273445,"60-75 days. This uniform and productive eggplant is ideal for high tunnel or greenhouse cultivation, but also performs exceptionally outdoors. The parthenocarpic trait makes for very few seeds in the tasty, shiny black fruit, and that ability to set fruit without pollination also ensures early and reliable harvests. Healthy, vigorous plants offer plentiful season-long yields, and the firm 7.5” x 3.5” fruit keep well after harvest. BO."
MILENA,//territorialseed.com/cdn/shop/products/PP705_450x.jpg?v=1597273259,"70 days. Milena produces large, blocky bells that reach up to a half-pound each! The beautiful fruit start green, ripen to orange, and develop 3–4 lobes with thick walls. The high-yielding plants are adaptable to a variety of conditions and produce in cool and hot temperatures. HR: PVY 0–1, TEV, ToMV 0–3. IR: TSWV 0."
MILLIONAIRE,//territorialseed.com/cdn/shop/products/EG326_450x.jpg?v=1597273440,"54 days. Millionaire’s extra-early maturity and high productivity will make you feel like you’ve hit the jackpot. In our summer trials, Millionaire had ripe fruit before many of the other eggplant varieties were even flowering! The healthy, upright plants produce extraordinary harvests of deep purple, slender fruit, 8 inches long. This exquisite Japanese variety is tender and delicious with a minimal seed cavity."
MINI MUNCH,//territorialseed.com/cdn/shop/products/CU302_2_450x.jpg?v=1606769509,"55 days. Super snackable! Mini Munch is crisp and delicious with tender skin and a seedless, juicy interior. The rich green, smooth fruit are best harvested when 3–4 inches long, just right for a tasty single serving. Mini Munch is an excellent candidate for trellising in the garden, containers or indoor cultivation with long vines and minimal branching. Undaunted by low temperatures, the vigorous, productive plants set fruit even in cool conditions. GY, PAT. PM."
MINNESOTA MIDGET,//territorialseed.com/cdn/shop/products/ML460_450x.jpg?v=1597273237,"65-70 days. This exquisite heirloom produces a bounty of early, and true to its name, mini cantaloupes. Fruit measure 4–6 inches across and have deep orange flesh that is succulent, sweet, and delicious down to the rind. The ultimate melon for short-season areas, and the compact plants are ideal for small space or container gardens. HR: F."
MOMOTARO,//territorialseed.com/cdn/shop/products/TM872_4_450x.jpg?v=1607638944,"70 days. Momotaro is one of the most popular tomato varieties in Japanese markets and for good reason. Its flavor is an intricate and harmonious combination of sweet and tangy that has won Momotaro several tomato tasting contests. The radiant pink slicers weigh 6–7 ounces. Momotaro is durable, heat tolerant, and crack resistant with good storability. Indeterminate. HR: F 1–2, L, N, ToMV, V. IR: B."
MORTGAGE LIFTER,//territorialseed.com/cdn/shop/products/TM904_450x.jpg?v=1597272980,"95 days. As the story goes, a tomato farmer facing bankruptcy selected a tomato that produced so well, he was able to sell the plants to pay off the mortgage. We’re not sure that would be the case today, but Mortgage Lifter certainly produces an abundance of 1–2 pound fruit. Not the prettiest in the world, but meaty and full of heirloom flavor. Indeterminate. Disease resistant."
MOUNTAIN MAGIC,//territorialseed.com/cdn/shop/products/TM991_450x.jpg?v=1597273045,"70-75 days. The pinnacle of flavor and eating quality, these picture-perfect fruit are brilliant red with a juicy, smooth interior with low acid and high sugars. The uniform, crack-resistant, 1 ¾ inch globes appear in trusses of up to a dozen fruit on indeterminate plants. F 1–3, LB, V. IR: AB."
MOUNTAIN MERIT,//territorialseed.com/cdn/shop/products/TM876_450x.jpg?v=1597272953,"75 days. This multi-purpose slicing tomato earned an AAS award for its unsurpassed disease resistance, good flavor and production. Deep red beefsteaks average 3-3 ½ inches across with firm flesh. Early, hard-working, determinate plants stay healthy throughout the season. HR: F 1-3, LB, TSWV, V. IR: AB, N."
NOVA,//territorialseed.com/cdn/shop/products/TM974_2_450x.jpg?v=1668557708,"65 days. One of the earliest roma types to ripen in our trials, Nova exploded with fruit before most other saucing types. Meaty, lipstick red, 1 ½ inch by 2 inch fruit is elongated with a pointed end. Compact, determinate plants.  Start your tomato canning and sauce making early with this delightful, excellent tasting tomato."
OLD GERMAN,//territorialseed.com/cdn/shop/products/TM982_450x.jpg?v=1597273040,"85 days. Indulge in one of these treasured heirlooms and experience the true meaning of pleasure! Routinely weighing in at over a pound and a half, Old German was one of the largest fruit in our trials. It is both delicious and beautiful with succulent, meaty fruit and golden-streaked, reddish skin. Indeterminate."
ORANGE BRANDYWINE,//territorialseed.com/cdn/shop/products/TM835_450x.jpg?v=1607638548,"80 days. In the true nature of the famed Brandywine name, this uniquely colored tomato boasts huge, 1 pound beefsteaks with exquisitely smooth flesh that is richly sweet with a touch of spice. We consider this variety the absolute best orange beefsteak available. Strong, potato-leaf indeterminate plants are very high yielding."
ORANGE PARUCHE,//territorialseed.com/cdn/shop/files/TM966_2_450x.jpg?v=1704253353,"67 days. The quintessential flavor of summer is captured in these sweet and flavorful fruit. Orange Paruche excels in productivity with astonishing quantities of brilliant, glowing orange fruit that are irresistible and vitamin packed. The 1 inch round fruit crowd branched trusses on the indeterminate, vigorous plants. The winner of our in-house taste test. F 1, TMV, ToMV."
ORANGE SWEETIE,//territorialseed.com/cdn/shop/products/PP715_450x.jpg?v=1597273267,"62-75 days. Snacking veggies are getting tons of attention and the demand keeps growing! This series of colorful, irresistible peppers offers a snappy crunch and scrumptious flavor for equal appeal to the eye and palate. Juicy, sweet fruit reach 1 ½ inches wide and 3 ½ inches tall, ripening to vivid orange with few to no seeds. Uniform plants produce heavy yields for lots of healthy munching."
OREGON SPRING,//territorialseed.com/cdn/shop/products/TM863_2_450x.jpg?v=1636742266,65-70 days. This determinate variety was developed at Oregon State University. Their research shows that Oregon Spring will produce incredibly early yields of tomatoes when planted outside a month before your last frost date and given no protection except on frosty nights. Parthenocarpic. V.
OREGON STAR,//territorialseed.com/cdn/shop/products/TM921_450x.jpg?v=1597273560,"75-80 days. Oregon Star is back by popular demand! Thanks to years of our farm's maintenance breeding program, we've developed this exceptional strain with improved fruit shape and earlier ripening. The vigorous, determinate plants produce huge fruit, 3 by 5 inches that are the meatiest sauce tomatoes imaginable. A signature characteristic of Oregon Star is its variability in fruit shape. Regardless of appearance, your harvest will make the richest soups and sauces. PAT."
PADRÓN,//territorialseed.com/cdn/shop/products/PP729_450x.jpg?v=1597273628,"60 days. These Spanish cousins of the extremely popular Shishito pepper are experiencing equal attention and demand. The small, 2 ½ inch, wrinkled fruit are mild and tasty when green and develop a delicious spice at larger sizes while ripening to a vivid red. Sturdy plants produce heavy and continuous harvests. Enjoy these little wonders in a huge range of preparations including pan blistered, stuffed, and pickled to name a few."
PATHFINDER,//territorialseed.com/cdn/shop/products/PP653_450x.jpg?v=1668557848,"60 days. If you’re over jalapeños and trying to take heat to the next level, look no further than this serrano. Pathfinder is even more prolific than its predecessor, Sureño, exhibiting sturdy compact plants laden with 4 ½–5 inch, deep green peppers. 10,000–23,000 SHU. HR: BLS 0–3, 7, 8. IR: RK, Pc."
PATIO BABY,//territorialseed.com/cdn/shop/products/EG335_450x.jpg?v=1597273446,"45 days. Ideal for containers but right at home in any garden, this spineless, compact variety provides incomparable early and sustained yields of 2–3 inch long, egg-shaped fruit on plants no taller than 24 inches. The almost-black fruit are deliciously mild with less bitterness than comparable varieties, helping to garner All-America Selections honors."
PILLAR™ CATCH ORANGE,//territorialseed.com/cdn/shop/products/TM819_450x.jpg?v=1668557946,"65 days. A showpiece of a tabletop plant that yields equally delicious fruit! Pillar™ Catch Orange has a tidy, upright habit and produces trusses of heart-shaped, orange tomatoes with a sweet, perfumed flavor. At 1 ¼ inch tall and wide, these morsels will provide plenty of snacking right off the plant. Determinate plants.Kitchen Counter CollectionGardening isn’t restricted to people with enough land for planting. Recently we’re seeing a huge push for breeding development in food-producing plants that will flourish in containers with minimal care. We’ve hand-selected this assortment based on flavor, yield, ease of cultivation and appearance, so our gardeners with windowsill or patio space can enjoy the rewards of growing their own food at home. Each of these varieties produces attractive plants with lots of tasty fruit. Staking is recommended."
PINEAPPLE,//territorialseed.com/cdn/shop/products/TM939_2_450x.jpg?v=1597273006,"90 days. Pineapple will remind you of those visits to Grandpa’s garden when you were a kid. The beautiful, red-and-yellow streaked tomatoes can weigh up to 1 pound. One taste will transport you back in time with that great old-fashioned, full-bodied tomato flavor. Indeterminate. Territorial Seed Company's Great Northwest Tomato Taste-Off winner."
PINK BERKELEY TIE-DYE,//territorialseed.com/cdn/shop/products/TM981_450x.jpg?v=1597273394,"65-75 days. Big, succulent fruit can reach 8–12 ounces with a complex blend of flavors. The vivid, rosy-blushed fruit has iridescent, green skin with sunny yellow streaks and an interior that’s a fascinating kaleidoscope of green with trails of red and yellow. The relatively compact, indeterminate plants produce early for such a large tomato."
PIZZA PEPPER,//territorialseed.com/cdn/shop/products/PP685_450x.jpg?v=1597273242,"80 days. If you like the flavor of hot peppers but not so much fire, Pizza Pepper will be a hit. It is the heaviest, most thick-walled pepper we have ever seen. This means big pepper wedges with just a hint of zing. The 3–4 inch pendulous, cone-shaped peppers on 14–18 inch tall plants are most flavorful when green, and sweetest when red. Early and prolific."
POMODORO SQUISITO,//territorialseed.com/cdn/shop/products/TM831_450x.jpg?v=1605910570,"80-85 days. A true fingertip-kissing sauce tomato! This San Marzano hybrid produces heaps of luscious fruit for all your sauce, ketchup and soup needs. Vigorous, indeterminate plants set heavy clusters of 6-8, elongated deep red fruit with thick meat, a minimal seed cavity and well-developed flavor. We especially love Pomodoro Squisito’s resistance to blossom-end rot for a San Marzano type. HR: F 0-1, ToMV, V. IR: TYLCV."
POT-A-PEÑO,//territorialseed.com/cdn/shop/products/PP732_450x.jpg?v=1636001743,"65 days. So early, compact and prolific it earned an esteemed AAS award! Enjoy the spicy kick of homegrown jalapenos from a container or tight garden space. Reaching only 12–15 inches tall and 18–20 inches wide, Pot-a-Peño produces spicy, dark green fruit that ripens to a rich red and 2 ¾ inches long and ¾ inch wide. Situate in an 8 inch pot or hanging basket with at least 6 hours of full sun for best results.Kitchen Counter CollectionGardening isn’t restricted to people with enough land for planting. Recently we’re seeing a huge push for breeding development in food-producing plants that will flourish in containers with minimal care. We’ve hand-selected this assortment based on flavor, yield, ease of cultivation and appearance, so our gardeners with windowsill or patio space can enjoy the rewards of growing their own food at home. Each of these varieties produces attractive plants with lots of tasty fruit. Staking is recommended."
POZZANO,//territorialseed.com/cdn/shop/products/TM995_450x.jpg?v=1597273046,"72 days. Pozzano produces remarkably uniform, firm, orange/red fruit in clusters of 4–5. Reaching about 4 ½ inches long and 1½ inches across, they’re moist and meaty and cook down quickly for old world-flavored sauce, soup, or ketchup. We were delighted to see this sturdy indeterminate tomato’s resistance to blossom-end rot. HR: F 0–1, ToMV, V."
PRISM,//territorialseed.com/cdn/shop/products/PP723_450x.jpg?v=1668557892,"85 days. An astounding new variety for the snacking bell pepper fan! Beautifully uniform, tall, columnar plants pack on lots of 3–5 lobed, 2 ¼ inch tall and 2 ¼ inch wide fruit. The peppers ripen gradually from creamy green to bright red, offering harvest at any stage depending on one’s preference. The thick walls, sweet, bell pepper flavor and satisfying crunch make Prism a crowd pleaser, and the tight seed cluster makes cleaning a breeze. Be warned, the heavy load of fruit that each plant produces warrants a tomato cage or other support to keep the crop upright!"
PROSPEROSA,//territorialseed.com/cdn/shop/products/EG331_450x.jpg?v=1597273443,"75 days. A knock-out of an eggplant! This Italian heirloom forms a gorgeous, deep purple fruit with a pleated top that shows just a touch of cream color peeking out from the stem end. The 4–5 inch fruit are meaty and mild flavored with a texture that lends itself to all your gourmet eggplant dishes. Eclipsing most other varieties in our eggplant trials, the tall, vigorous plants are outstanding adorned with these shapely, eye-catching fruit."
PURPLE JALAPEÑO,//territorialseed.com/cdn/shop/products/PP692_450x.jpg?v=1597273500,"85 days. This nearly black pepper is a favorite in our trials. The dynamo plants produce showy lavender flowers followed by a deluge of 2 ¾ inch long fruit that are ¾ inch wide. The peppers emerge a deep green, mature to purple, and eventually ripen to blood red."
PURPLE ZEBRA,//territorialseed.com/cdn/shop/products/TM828_450x.jpg?v=1640802498,"70 days. Purple Zebra’s green-streaked, deep red skin is the first indicator that this tomato is something special. The billiard ball-sized fruit has thick, smooth, dark purple flesh that is so rich and flavorful—umami balanced with a bit of sweet—that it’s difficult to resist. Our trials tasters unanimously agreed that it’s the best tasting new tomato we've had in years. Long, vining, indeterminate plants are very disease resistant, and the fruit resists cracking. IR: LB 2–3, LM A–E, ToMV, TSWV TYLCV, V."
RASPBERRY DROP,//territorialseed.com/cdn/shop/files/TM815_450x.jpg?v=1704253970,"70 days. For us, there’s nothing like munching on a fistful of tasty grape tomatoes in the garden, and Raspberry Drop is the one we repeatedly pick. Thick trusses of dark pink/red, elongated gems with a blush of gold adorn healthy, indeterminate plants. The generously sized, 1 ¼ inch long and 1 inch wide, pointed fruit burst with a candy-like sweet tart flavor. Add the strong disease resistance, and you can keep picking to frost. HR: F 1–2, LM A–E, ToMV, V. IR: TSWV, TYLCV."
RED MUSHROOM,//territorialseed.com/cdn/shop/products/PP040_450x.jpg?v=1597273552,"Capsicum chinense 73 days. We've been refining this very early Scotch Bonnet type for decades, and we're very proud to offer it for its high yield and quick maturity. A reliable producer of curious looking, 2–2 ¼ inch squat, wrinkled peppers, Red Mushroom is extremely tasty, fruity and spicy. The thin-walled fruit dries quickly for eye-opening chili powder."
RED SWEETIE,//territorialseed.com/cdn/shop/products/PP717_450x.jpg?v=1597273268,"62-75 days. Snacking veggies are getting tons of attention and the demand keeps growing! This series of colorful, irresistible peppers offers a snappy crunch and scrumptious flavor for equal appeal to the eye and palate. Juicy, sweet fruit reach 1 ½ inches wide and 3 ½ inches tall, ripening to vivid red with few to no seeds. Uniform plants produce heavy yields for lots of healthy munching."
RED TORCH,//territorialseed.com/cdn/shop/products/TM833_2_450x.jpg?v=1607639913,"60 days. This eye-popping tomato has superb flavor to match its stunning appearance. The 2 inch long, fiery red fruit are streaked with yellow and pointed like a flame. Big enough for 2 bites, Red Torch provides lots of great snacking early in the season and through to frost. The indeterminate vines shrug off challenging growing conditions and keep the harvests coming."
RED VELVET,//territorialseed.com/cdn/shop/products/TM825_450x.jpg?v=1636001929,"45 days. Red Velvet’s super tight habit and exquisitely sweet, bite-sized fruit make it a must-have for the windowsill and patio gardener. Quite at home in a 4–6 inch pot, this little jewel grows only 6–8 inches tall and wide and sports dark green foliage with clusters of bright red cherry tomatoes. Determinate plants.Kitchen Counter CollectionGardening isn’t restricted to people with enough land for planting. Recently we’re seeing a huge push for breeding development in food-producing plants that will flourish in containers with minimal care. We’ve hand-selected this assortment based on flavor, yield, ease of cultivation and appearance, so our gardeners with windowsill or patio space can enjoy the rewards of growing their own food at home. Each of these varieties produces attractive plants with lots of tasty fruit. Staking is recommended."
REGAL,//territorialseed.com/cdn/shop/products/cu317_450x.jpg?v=1605910601,"50 days. If you're serious about pickles, your king of cukes is Regal! Supplying bushels of beautiful fruit, the plants are very vigorous with long vines and good disease resistance. You’ll get early and continuous harvests of 4 ¼ inch long, 1 ¼ inch wide, sweet, crisp cucumbers with an attractive, light to dark green shaded skin and white spines. GY. IR: A, ALS, CMV, PM, S."
RUBEE DAWN,//territorialseed.com/cdn/shop/products/TM821_450x.jpg?v=1668557852,"60 days. Rubee Dawn is like a glistening gem on the vine. This stellar slicer produces big, 3 inch round fruit that ripen very early and boast great flavor along with an attractive, deep red color thanks to its crimson gene expression. The very robust disease resistance means you’ll be enjoying delicious harvests off the indeterminate plants throughout the long season. Aal, F 1–2, FOR, LM A–E, ToMV 0–2, V. IR: L, RK."
RUBY BALL IMPROVED,//territorialseed.com/cdn/shop/products/CB152_2_450x.jpg?v=1597272233,"78 days. Over the years, we have tested hundreds of cabbage varieties at our London Spring research farm, and Ruby Ball Improved remains a great all-season red cabbage. Firm, 6–8 inch round heads have a mild, sweet flavor and weigh a manageable 3–4 pounds. We have seen this variety stand unfazed in the garden for 6 weeks without splitting, which allows the gardener extended fresh harvests. Ruby Ball Improved stores moderately well after harvest."
RUBY CRUSH,//territorialseed.com/cdn/shop/products/TM837_450x.jpg?v=1597272915,"65-70 days. We’ve been searching for a sweet, flavorful, determinate grape tomato for years, and finally found it! These compact plants are high yielding, producing single and double trusses of 1 ½ inch long and 1 ¼ inch wide, scarlet fruit. The firm grapes hold well on the plant. An excellent option for small gardens and container growing. HR: F 1–2, FOR, ToMV 0–2. IR: L."
SAKURA,//territorialseed.com/cdn/shop/products/TM840_450x.jpg?v=1597272917,"55-60 days. A very reliable and forgiving cherry that’s also early and tasty! Sakura’s vigorous, disease-resistant, indeterminate plants produce long trusses of uniform, 1 ½ inch fruit. These cherry tomatoes are firm, crack resistant, sweet and delicious. The plants are productive in cool and warm seasons. HR: F, LM, ToMV 0–2. IR: RK."
SAN MARZANO,//territorialseed.com/cdn/shop/products/TM996_450x.jpg?v=1597273047,"78 days. The granddaddy of the San Marzano family of sauce tomatoes. This one still ranks among the richest roma types we’ve trialed and is high in sugars, pectin, and flavor for the very best in sauces, pastes, and soups. The rosy red fruit are meaty and thick walled, reaching up to 5 inches long, and gather on the indeterminate plants in thick clusters."
SILETZ,//territorialseed.com/cdn/shop/products/TM867_8c97ae47-15c6-4e9f-873f-db8ca31bdc92_450x.jpg?v=1636742429,"70-75 days. Siletz is one of the most reliable slicing tomatoes you can grow. Coming in early with a nice flush of 4–5 inch deep red fruit that weigh up to 7–10 ounces. The flavor-packed red tomatoes are nearly seedless. Expect several bursts of ripe tomatoes as the season progresses. Vigorous determinate plants are parthenocarpic. Bred by Dr. Jim Baggett of Oregon State University. F1, V."
SNOW CROWN,//territorialseed.com/cdn/shop/files/CF171_3_450x.jpg?v=1704253056,"50-60 days. Snow Crown is always mild and sweet. Its hybrid vigor and rapid growth make it one of the easiest to grow of all early cauliflower varieties. It forms fully domed curds in heads 7–8 inches across, weighing 1–2 pounds. This variety maintains its prime eating quality for up to 10 days in the garden. May manifest a delicate pink blush when maturing in the hotter parts of summer."
STADDON'S SELECT,//territorialseed.com/cdn/shop/products/PP661_450x.jpg?v=1597272805,70 days. Do you find it difficult to get bell peppers to ripen in your microclimate or would you prefer to be the first on the block with ripe peppers? Then try growing Staddon's Select. This blocky 3–4 lobe thick-walled pepper gets large and sweet and will turn from a glossy green to a bright red right on the vine. TMV
STUPICE,//territorialseed.com/cdn/shop/products/TM862_2_450x.jpg?v=1607639546,"60-65 days. This cold-tolerant tomato ripens to sweet, red, slightly oval, 2 inch fruit. Stupice consistently gets high marks for taste throughout the summer. Pumps out fruit over the entire season. Indeterminate potato-leaf variety."
SUMMER DANCE,//territorialseed.com/cdn/shop/products/CU291_5d17a6e6-fe97-491e-8fd9-704ed59e9310_450x.jpg?v=1597273402,"65 days. With the crisp, clean flavor that Summer Dance offers, there’s no need to look any further for a delicious eating cucumber. Very uniform fruit reach a generous 8 ½–9 inches long, and have glossy, dark green skin with scanty, white spines. High yielding plants are heat tolerant and exhibit good disease resistance. A popular Japanese burpless type. MO. HR: DM, PM. IR: C"
SUNGOLD,//territorialseed.com/cdn/shop/files/TM883_4_450x.jpg?v=1704253332,"65 days. Sungold’s fruity or tropical flavor is a big hit with everyone who tastes it. The bright apricot-orange round globes are 1 ¼ inches across and are borne on long, 10–15 fruit, grape-like trusses. The vigorous indeterminate vines produce equally well in the field and the early spring greenhouse. Plan on setting up your lawn chair between Sungold and Sweet Million for blissful snacking. F 1–2, TMV, V."
SWEET APERITIF,//territorialseed.com/cdn/shop/products/TM879_450x.jpg?v=1597272958,"80 days. We have come to expect cherry tomatoes to taste good, but one bite of this one left us stunned. The round fruit are bite-sized delicacies bursting with a complex, wine-like taste and tropical aroma. Vigorous indeterminate plants offer nonstop production of the 7/8 inch fruit on triple trusses. Remarkably, the thin-skinned tomatoes are incredibly crack resistant!"
SWEET MILLION,//territorialseed.com/cdn/shop/products/TM878_450x.jpg?v=1597272956,"65-75 days. Trial ground visitors can’t get enough of this one! The indeterminate plants produce 1–1 ½ inch fruit in grape-like clusters. A truss of these “two bite” size tomatoes is welcome next to any mixed greens salad. HR: F 1–2, TMV, ToMV 0–1."
SWEET PEA,//territorialseed.com/cdn/shop/products/TM951_450x.jpg?v=1597273017,"62 days. We instantly fell in love with this delightfully tiny tomato. Its miniscule leaves, flowers and ¼ inch, ruby red fruit are the teeniest we’ve seen. Deceptively big on sweet, currant flavor, they are a treat in salads, as a garnish or right off the plant by the handfuls! Sweet Pea is a charming, indeterminate plant with a low, spreading habit that lends itself to container living and especially to hanging baskets."
SWEET-SLICE,//territorialseed.com/cdn/shop/files/CU312_2_450x.jpg?v=1704253515,"62 days. This high-yielding slicer has tender skin, crisp, clean flesh, no bitterness and great disease resistance. One bite of Sweet-Slice and you’ll be smitten by the refreshing flavor, and they’re absolutely burpless. Glossy, dark green fruit grow 10-12 inches long with pure white interiors. MO. A, ALS, CCu, DM, PM."
TAKARA,//territorialseed.com/cdn/shop/products/PP704_4_450x.jpg?v=1668557804,"60 days. Shishitos are quickly rising to the top ranks in popularity for their tasty, mild spice and snackability. Takara produces richly flavored, 3 inch long, light green peppers that ripen to red. Early and productive, the compact, well-branched, spreading plants provide heavy harvests of uniform, slender, bite-sized peppers with sturdy stems. We love Takara lightly tossed in oil, blackened on the grill, and tossed with a bit of coarse sea salt."
TASTI-LEE®,//territorialseed.com/cdn/shop/products/TM869_450x.jpg?v=1597272942,"75 days. Tasti-Lee® holds the triple crown in great flavor, heightened nutrition, and extended shelf life. The culmination of years of exhaustive conventional breeding, these magnificent tomatoes are full of satisfying balanced flavor and up to 50% more of the antioxidant lycopene than most other tomato varieties. Brilliant red inside and out, the slightly flattened fruit measure 3 ½ inches wide and 2½ inches tall. Deep green, determinate plants are aggressive producers and provide good shade against sunscald. F 1–3, V"
