Name,Image_URL,Image_URL_2,Description
Dwarf pomegranate tree,,,Punica granatum 'nana' : Dwarf pomegranate treeFamily: LythraceaeOrigin : AsiaHeight in its natural environment : 1mHardiness : -12 °CColour of the flower : Red/OrangeDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons) Fast grower
Weeping Boer-bean,,,"Schotia brachypetala : Weeping Boer-beanFamily:FabaceaeOrigin : South Africa, ZimbabweHeight in its natural environment : 20 mHardiness : -5°CColour of the flower : redDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower"
White coral vine,,,Antigonon leptopus'alba' : Liane corail blancheFamille : PolygonacéesOrigine : MexiqueHauteur dans son milieu naturel : 12 mRusticité : -7°CCouleur de la floraison : blancheDifficulty level : Beginner  Hauteur : environ 5 à 20 cm (selon les saisons)  Croissance rapide
Green cardamom,,,Elettaria cardamomum : Green cardanomFamily: ZingiberaceaeOrigin : IndiaHeight in its natural environment : 6 mHardiness : 5°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
African tulip tree,,,Spathodea campanulata :African tulip treeFamily : BignoniaceaeOrigin : Equatorial AfricaHeight in its natural environment : 25 mHardiness : -1°CFlower colour : red & orangeDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Marble berry,,,Pollia condensata : Marble berryFamily: CommenilaceaeOrigin : OugandaHeight in its natural environment : 1mHardiness : 5°CColour of the flower : White with pink nuancesDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Whistling thorn,,,"Vachellia drepanolobium  : Whistling thornFamily: FabaceaeOrigin : Kenya, central AfricaHeight in its natural environment : 6 mHardiness : -1°CColour of the flower : whiteDifficulty level : Beginner  Height : about 15 to 30 cm (depending on seasons)  Medium grower"
Sausage tree,,,Kigelia africana : Sausage treeFamily: BignoniaceaeOrigin : SenegalHeight in its natural environment : 15 mHardiness : -1°CColour of the flower : RedDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Makha tree,,,"Afzelia xylocarpa : Makha treeFamily : FabaceaeOrigin : Cambodia, Vietnam, LaosHeight in its natural environment : 30 mHardiness : 0°CFlower colour : green and orangeDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower"
Moringa tree,,,Moringa oleifera : Moringa treeFamily: MoringaceaeOrigin : IndiaHeight in its natural environment : 12 mHardiness : -1°CColour of the flower : whiteDifficulty level : Beginner  Height : about 15 to 30 cm (depending on seasons)  Fast grower
Honey locust,,,Gleditsia triacanthos : Honey locustFamily:FabaceaeOrigin : United States of AmericaHeight in its natural environment : 20 mHardiness : -30°CColour of the flower : YellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Yellowhorn tree,,,Xanthoceras sorbifolium : Yellowhorn treeFamily: SapindaceaeOrigin : ChinaHeight in its natural environment : 5 mHardiness : -20°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Golden rain tree,,,Koelreuteria paniculata : Golden rain treeFamily: SapindaceaeOrigin : ChinaHeight in its natural environment : 10 mHardiness : -20 °CColour of the flower : YellowDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons)  Middle grower
American beautyberry,,,Callicarpa americana : American beautyberryFamily : VerbénaceaeOrigin : South east of the USAHeight in its natural environment : 2 mHardiness: -12°CFlower color : pinkDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Hardy tapioca,,,"Manihot grahamii :Hardy tapiocaFamily : EuphorbiaceaeOrigin : BrasilHeight in its natural environment : 2,5 mHardiness : -10°CFlower colour : yellow - greenDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower"
Roselle,,,"Hibiscus sabdariffa : RoselleFamily : MalvaceaeOrigin : GuineaHeight in its natural environment : 1,80 mHardiness : 2°CFlower colour : pink and purpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Kaffir lime tree,,,Citrus hystrix : Kaffir lime treeFamily : RutaceaeOrigin : MalaysiaHeight in its natural environment : 15 mHardiness : -5°CFlower colour : white and pinkDifficulty level : Beginner  Height: about 5 to 20 cm (depending on seasons)  Slow grower
Pink peacock flower tree,,,Pink Caesalpinia pulcherrima : Pink Peacock flower treeFamily : CaesalpinioideaeOrigine : South and Central AmericaHeight in its natural environment: 5 mHardiness : -3°C (losts its foliage under 10°C)Flower colour : pinkDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Orange Peacock flower tree,,,Caesalpinia pulcherrima orange : Orange Peacock flower treeFamily : CaesalpinioideaeOrigine : South and Central AmericaHeight in its natural environment: 5 mHardiness : -3°C (losts its foliage under 10°C)Flower colour : orangeDifficulty level : Expert  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Fishtail palm,,,"Caryota mitis : Fishtail palmFamily: ArecaeaeOrigin : South-East Asia, MyanmarHeight in its natural environment : 18 mHardiness : 10°CColour of the flower : JauneDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower"
Buddha belly plant 'Yellow flowers',,,"Jatropha podagrica 'Yellow flowers' : Buddha belly plant 'Yellow flowers'Family : EuphorbiaceesOrigin : Central AmericaHeight in its natural environment : 1,50 mHardiness: 12°CFlower color : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast Grower"
Short leaves Ponytail palm,,,Beaucarnea gracilis : Short leaves Ponytail palmFamily : AsparagaceaeOrigin : MexicoHeight in its natural environment : 7 mHardiness : 1°CFlower colour : white - creamDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons)  Slow grower
Sensitive plant,,,Mimosa pudica : Sensitive plantFamily: FabaceaeOrigin : BrasilHeight in its natural environment : 1mHardiness : 10°CFlower colour : pinkDifficulty level : Expert  Height : about 5 to 20 cm (depending on seasons)  Medium growth
African rosemallow,,,Hibiscus acetosella : African rosemallowFamily : MalvaceaeOrigin : AfricaHeight in its natural environment : 3 mHardiness : 4°CFlower colour: pinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Shell ginger plant,,,"Alpinia zerumbet : Shell ginger plantFamille : ZingiberaceaeOrigin : China and JapanHeight in its natural environment : 3 mHardiness : 5°C but rhizomes can handle frosts up to -10°cFlower colour : white, interior yellow,red and orangeDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower"
Boat lily,,,"Tradescantia spathacea : Boat lilyFamily: CommelinaceaeOrigin : Caribean, MexicoHeight in its natural environment : 0,7 mHardiness : -2°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Mexican flame vine,,,Pseudogynoxys chenopodioides : Mexican flame vineFamily: AstéraceaeOrigin : MexicoHeight in its natural environment : 5 mHardiness : -4°CColour of the flower : OrangeDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Traveller's tree,,,Ravenala madagascariensis : Traveller's treeFamily : StrelitziaceaeOrigin : MadagascarHeight in its natural environment : 30 mHardiness : 15°CFlower color: blanc crèmeDifficulty level : Beginner  Height about 10 to 30 cm  Fast growth
Leopard lily,,,"Belamcanda chinensis : Leopard lilyFamily : IridaceaeOrigin ChinaHeight in its natural environment : 0,90 mHardiness : -15°CFlower colour : orange spotted with purpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons) Fast grower"
Henkel's yellowwood,,,Podocarpus henkelii : Henkel's yellowwoodFamily: PodocarpaceaeOrigin : South AfricaHeight in its natural environment : 30 mHardiness : -5°CColour of the flower : conesDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Pipicha plant,,,"Porophyllum linaria  : PipichaFamily: AsteraceaeOrigin : MexicoHeight in its natural environment : 0,6 mHardiness : -4°CColour of the flower : purpleDifficulty level : Beginner  Height : about 15 to 30 cm (depending on seasons)  Fast grower"
Snakewort,,,"Dorstenia contrajerva : SnakewortFamily: MoraceaeOrigin : Mexico, CaraïbesHeight in its natural environment : 45 cmHardiness : 2°CColour of the flower : Green/yellowDifficulty level : Beginner  Height : about 5 to 15 cm (depending on seasons)  Slow grower"
Monstera deliciosa,,,Monstera deliciosa : Monstera deliciosaFamily: AraceaeOrigin : MexicoHeight in its natural environment : 20 mHardiness : -1°CColour of the flower : White turning yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Giant Dioon,,,Dioon spinulosum : Giant DioonFamily: CycadaceaeOrigin : MexicoHeight in its natural environment : 15 mHardiness : -2°CColour of the flower : conesDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Weeping Boer-bean,,,"Schotia brachypetala : Weeping Boer-beanFamily:FabaceaeOrigin : South Africa, ZimbabweHeight in its natural environment : 20 mHardiness : -5°CColour of the flower : redDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower"
Elephant's foot plant,,,"Beaucarnea recurvata : Elephant's foot plantFamily : AsparagaceaeOrigin : Guatemala, MexicoHeight in its natural environment : 8 mHardiness : 4°CFlower colour : white - creamDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons)  Slow grower"
African bowstring hemp,,,Sansevieria hyacinthoides  : African Bowstring HempFamily: AsparagaceaeOrigin : Eastern AfricaHeight in its natural environment : 1 mHardiness : 10°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower
Corkscrew albuca,,,"Albuca spiralis : Corkscrew albucaFamily : AsparagaceaeOrigin : South AfricaHeight in its natural environment : 0.20 mHardiness: 10°CFlower colour : yellow - greenDifficulty level : Expert  Height : 10 to 20 cm, depending on the season  Medium grower"
Buddha Belly Plant,,,"Jatropha podagrica : Buddha Belly PlantFamily : EuphorbiaceesOrigin : Central AmericaHeight in its natural environment : 1,50 mHardiness: 12°CFlower color : redDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast Grower"
Pride of Madeira,,,Echium fastuosum : Pride of MadeiraFamily : BorajinaceaeOrigin : Canary IslandHeight in its natural environment : 3 mHardiness : -7°CFlower colour : Purple/blueDifficulty level : Beginner  Height : about 5 / 10 cm  Fast grower
Bird of paradise,,,Strelitzia reginae : Bird of paradiseFamilly : StrelitziaceaeOrigin : South AfricaHeight in its natural environment : 2 mHardiness : -2°CFlower colour : orange and blueDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower
Jacaranda tree,,,Jacaranda mimosifolia : Jacaranda treeFamily : BignoniaceaeOrigin : BrasilHeight in its natural environment : 50 mHardiness : -5°CFlower colour : blue to purpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Common cabbage tree,,,Cussonia spicata : Common cabbage treeFamily: AraliaceaeOrigin : South AfricaHeight in its natural environment : 15 mHardiness : -6°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Shiny-leaf buckthorn,,,Rhamnus prinoides : Shiny-leaf buckthornFamily: RhamnaceaeOrigin : Afrique du SudHeight in its natural environment : 9 mHardiness : -7°CColour of the flower : verteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Velvet Leaf Passion Flower,,,"Passiflora holosericea : Velvet Leaf Passion FlowerFamily : PassifloraceaeOrigin : Mexico, Cuba, VenezuelaHeight in its natural environment : 6 mHardiness : 6°CColour of the flower : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Rush-leaved strelitzia,,,Strelitzia juncea : Rush-leaved strelitziaFamiy : StrelitziaceaeOrigin : South AfricaHeight in its natural environment : 2 mHardiness : -5°CColour flower: orange and blueDifficulty level : Beginner  Height: about 10 to 20 cm  Slow grower
Sago palm,,,"Cycas revoluta : Sago palmFamily: CycadeaeOrigin : Japan, JavaHeight in its natural environment : 5mHardiness : -7°CColour of the flower : YellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower"
Monkey puzzle tree,,,Araucaria araucana : Monkey puzzle treeFamily : AraucariaceesOrigin : ChiliHeight in its natural environment : 40 mHardiness : -12°CFlower colour : green conesDifficulty level : Expert  Height : about 10 / 20 cm  Slow grower
Tiger foot morning glory,,,"Ipomoea pes-tigridis : Tiger foot morning gloryFamily: ConcolvulaceaeOrigin : Asia & Tropical AfricaHeight in its natural environment : 2,5 mHardiness : -7°CColour of the flower : pink to purpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Toothed Philodendron,,,"Philodendron lacerum : Toothed PhilodendronFamily: AraceaeOrigin : Cuba, JamaicaHeight in its natural environment : 10 mHardiness : 10 °CColour of the flower : YellowDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Slow grower"
Tower of jewels plant,,,Echium wildpretii : Tower of jewels plantFamille : BorajinaceaeOrigine : Canary IslandsHeight in its natural environment : 3 mHardiness : -7°CFlower colour : redDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons)  Fast grower
Madagascar jewel,,,Euphorbia leuconeura : Madagascar jewelFamily:EuphorbiaceaeOrigin : MadagascarHeight in its natural environment : 2 mHardiness : 12°CColour of the flower : Pour tousDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Ti plant,,,"Cordyline terminalis : Ti plantFamily: AgavaceaeOrigin : Australia, India and MalaysiaHeight in its natural environment : 5 mHardiness : -1°CColour of the flower : white and pinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Coral plant,,,Jatropha multifida : Coral plantFamily : EuphorbiaceaeOrigin : MexicoHeight in its natural environment : 3 mHardiness : 0°CFlower colour : redDifficulty level : Beginner  Height : about 20 to 40 cm (depending on seasons)  Fast grower
Giant white bird of paradise,,,"Strelitzia nicolai : Giant white bird of paradiseFamily : StrelitziaceaeOrigin : South AfricaHeight in its natural environment : 10 mHardiness : -2°CFlower colour : white, black and purpleDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower"
Aloe arborescens - Krantz aloe,,,"Aloe arborescens : Krantz aloeFamily: AsphodelaceaeOrigin : Southern AfricaHeight in its natural environment : up to 4 mHardiness : -1°CColour of the flower : red, orangeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower"
Purple Cabbage Tree,,,Cordyline australis 'purpurea' : Purple Cabbage TreeFamily: AgavaceaeOrigin : New ZealandHeight in its natural environment : 9 mHardiness : -8°CColour of the flower : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Bellyache bush,,,Monodora myristica : Bellyache bushFamily: EuphorbiaceaeOrigin : MexicoHeight in its natural environment : 4 mHardiness : -8°CColour of the flower : RougeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
"Aloe arborescens variegata, unique specimen 2",,,"Aloe arborescens : Krantz aloe variegataFamily: AsphodelaceaeOrigin : Southern AfricaHeight in its natural environment : up to 4 mHardiness : -1°CColour of the flower : red, orangeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower"
"Aloe arborescens variegata, unique specimen 1",,,"Aloe arborescens : Krantz aloe variegataFamily: AsphodelaceaeOrigin : Southern AfricaHeight in its natural environment : up to 4 mHardiness : -1°CColour of the flower : red, orangeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower"
Moringa tree,,,Moringa oleifera : Moringa treeFamily: MoringaceaeOrigin : IndiaHeight in its natural environment : 12 mHardiness : -1°CColour of the flower : whiteDifficulty level : Beginner  Height : about 15 to 30 cm (depending on seasons)  Fast grower
Honey locust,,,Gleditsia triacanthos : Honey locustFamily:FabaceaeOrigin : United States of AmericaHeight in its natural environment : 20 mHardiness : -30°CColour of the flower : YellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Yellowhorn tree,,,Xanthoceras sorbifolium : Yellowhorn treeFamily: SapindaceaeOrigin : ChinaHeight in its natural environment : 5 mHardiness : -20°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Mountain Cabbage Tree,,,Cussonia paniculata subsp. sinuata : Mountain Cabbage TreeFamily: AraliaceaOrigin : South AfricaHeight in its natural environment : 6 mHardiness : -6°CColour of the flower : GreenDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower
Chinese honey locust,,,"Gleditsia sinensis : Chinese honey locustFamily:FabaceaeOrigin : China, India, KoreaHeight in its natural environment : 12mHardiness : -26°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Breadfruit,,,Artocarpus altilis : BreadfruitFamily: MoraceaeOrigin : OceaniaHeight in its natural environment : 25 mHardiness : 10°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Rose apple,,,Syzygium jambos  : Rose appleFamily: MyrtaceaeOrigin : MalaysiaHeight in its natural environment : 10 mHardiness : -2°CColour of the flower : YellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Pineapple guava,,,Feijoa sellowiana : Pineapple guavaFamily: MyrtaceaeOrigin : BrasilHeight in its natural environment : 5 mHardiness : -15°CColour of the flower : RedDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower
Golden rain tree,,,Koelreuteria paniculata : Golden rain treeFamily: SapindaceaeOrigin : ChinaHeight in its natural environment : 10 mHardiness : -20 °CColour of the flower : YellowDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons)  Middle grower
Silver-leaved mountain gum,,,Silver-leaved mountain gum : Gommier des montagnes à feuilles d'argentFamily : MyrtaceaeOrigin : AustraliaHeight in its natural environment : 10 mRusticity : -10°CFlower colour : whiteDifficulty level : Expert  Hauteur : environ 10 à 20 cm (selon les saisons)  Croissance moyenne
Indian Curry tree,,,Murraya koenigii : Indian Curry treeFamily : RutaceaeOrigin : IndiaHeight in its natural environment: 7 mHardiness : 1°CFlower color : whiteDifficulty level : Expert  Hauteur : environ 5 à 20 cm (selon les saisons)  Croissance moyenne
Wild Wisteria Climber,,,Hardenbergia comptoniana : Wild Wisteria ClimberFamily : FabaceaeOrigin : AustraliaHeight in its natural environment : 3 mRusticity : -5°CFlower colour : purple and yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Giant honey flower,,,"Melianthus major : Giant honey flowerFamily : MelianthaceaeOrigin : South AfricaHeight in its natural environment : 2,50 mRusticity : -6°CFlower colour: red/orange/brownDifficulty level : Beginner  Size : 10 cm to 30 cm  Fast grower"
Calabash tree,,,Crescentia cujete : Calabash treeFamily : BignoniaceaeOrigin : MexicoHeight in its natural environment : 12 mHardiness : 2°CColour of the flower : Yellow/GreenDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Cruel plant,,,"Araujia sericifera : Cruel plantFamily: ApocynaceaeOrigin : Argentina, Brasil, PeruHeight in its natural environment : 12 mHardiness : -12°C (aerial parts die at -5°C)Colour of the flower : White to pinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Tiare flower tree,,,Gardenia taitensis : Tiare flower treeFamily : RubiaceaeOrigin : PolynesiaHeight in its natural environment : 3 mHardiness : 6°CFlower colour : whiteDifficulty level : Expert  : Height : about 10 to 20 cm (depending of the season)  Slow grower
Kaffir lime tree,,,Citrus hystrix : Kaffir lime treeFamily : RutaceaeOrigin : MalaysiaHeight in its natural environment : 15 mHardiness : -5°CFlower colour : white and pinkDifficulty level : Beginner  Height: about 5 to 20 cm (depending on seasons)  Slow grower
Pink peacock flower tree,,,Pink Caesalpinia pulcherrima : Pink Peacock flower treeFamily : CaesalpinioideaeOrigine : South and Central AmericaHeight in its natural environment: 5 mHardiness : -3°C (losts its foliage under 10°C)Flower colour : pinkDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Orange Peacock flower tree,,,Caesalpinia pulcherrima orange : Orange Peacock flower treeFamily : CaesalpinioideaeOrigine : South and Central AmericaHeight in its natural environment: 5 mHardiness : -3°C (losts its foliage under 10°C)Flower colour : orangeDifficulty level : Expert  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Native frangipani,,,Hymenosporum flavum  : Native frangipaniFamily: PittosporaceaeOrigin : AustraliaHeight in its natural environment : 20 mHardiness : -2°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Guava tree,,,Psidium guajava : Guava treeFamily: MyrtaceaeOrigin : South AmericaHeight in its natural environment : 10 mHardiness : -1°CColour of the flower :WhiteDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Yellow Frangipani tree,,,"Tetradium daniellii : Bee-bee treeFamily: RutaceaeOrigin : China, KoreaHeight in its natural environment : 20 mHardiness : -20°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Bee-bee tree,,,Stephanotis floribunda : Madagascar jasmineFamily : ApocynaceaeOrigin : MadagascarHeight in its natural environment : 5 mHardiness: 5°CFlower colour : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons) Fast grower
Madagascar jasmine,,,"Alpinia zerumbet : Shell ginger plantFamille : ZingiberaceaeOrigin : China and JapanHeight in its natural environment : 3 mHardiness : 5°C but rhizomes can handle frosts up to -10°cFlower colour : white, interior yellow,red and orangeDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower"
Shell ginger plant,,,Parkinsonia aculeata  :Family:Origin :Height in its natural environment : mHardiness : °CColour of the flower :Difficulty level : Expert  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Parkinsonia aculeata,,,Corymbia citriodora : Lemon-scented gum treeFamily : MyrtaceaeOrigin : AustraliaHeight in its natural environment : 30 mHardiness : 2°CFlower colour : whiteDifficulty level : Expert  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Lemon-scented gum tree,,,"Vigna caracalla : Corkscrew vineFamily : FabaceaeOrigin : South AmericaHeight in its natural environment : 6 mHardiness : -6°CFlower colour: white and purple first, then purple/orangeDifficulty level : Beginner Height : about 10 to 20 cm (depending on seasons) Fats grower"
Corkscrew vine,,,Sansevieria hyacinthoides  : African Bowstring HempFamily: AsparagaceaeOrigin : Eastern AfricaHeight in its natural environment : 1 mHardiness : 10°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower
African bowstring hemp,,,Cananga odorata : Ylang ylangFamily : AnnonaceaeOrigin : India to PhilippinesHeight in its natural environment : 25 mHardiness : 5°CFlower colour : yellowDifficulty level : Expert  : Height : about 15cm (depending on the season) Medium grower
Ylang ylang,,,Plumeria rubra pink : Pink Frangipani treeFamily : ApocynaceaesOrigine : MexicoHeight in its natural environment : 10mHardiness : 5°CFlower colour: predominantly pinkDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons) Fast grower
Pink Frangipani tree,,,Plumeria rubra red : Red Frangipani treeFamily : ApocynaceaesOrigine : MexicoHeight in its natural environment : 10mHardiness : 5°CFlower colour: predominantly redDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons) Fast grower
Red Frangipani tree,,,Pereskia bleo : Rose cactusFamily : CactaceaeOrigin : Colombia and PanamaHeight in its natural environment : 8 mHardiness : 10°CColour of the flower : red/orangeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Rose cactus,,,Retama monosperma : Bridal veil broomFamily: FabaceaeOrigin : MoroccoHeight in its natural environment : 4 mHardiness : -6°CColour of the flower : whiteDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Medium grower
Bridal veil broom,,,"Passiflora holosericea : Velvet Leaf Passion FlowerFamily : PassifloraceaeOrigin : Mexico, Cuba, VenezuelaHeight in its natural environment : 6 mHardiness : 6°CColour of the flower : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Velvet Leaf Passion Flower,,,"Boophone disticha : Boophone distichaFamily : AmarylidaceaeOrigin : South AfricaHeight in its natural environment : 0,5 mHardiness: 0°CFlower colour: dark pink / redDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Slow grower"
Boophone disticha,,,Plumeria rubra purple : Frangipani tree - PurpleFamily : ApocynaceaesOrigine : MexicoHeight in its natural environment : 10mHardiness : 5°CFlower colour: predominantly purpleDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons) Fast grower
Orange Frangipani tree,,,"Triphasia trifoliata  : Lime BerryFamily: RutaceaeOrigin : China, South east AsiaHeight in its natural environment : 4 mHardiness : -1 °CColour of the flower : WhiteDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Mid grower"
Purple Frangipani tree,,,"Passiflora alata : Winged-stem passion flowerFamily: PassifloraceaeOrigin of the Winged-stem passion flower : Peru, BrasilHeigh in its natural environment : 5 mHardiness : 5°CColour of the flower : red with purple, blue and white filamentsDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Lime Berry,,,Ziziphus jujuba : Jujube treeFamily : RhamnaceaeOrigin : ChinaHeight in its natural environment : 12 mHardiness : -15°CFlower colour : yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Medium grower
Winged-stem passion flower,,,Ziziphus mauritiana : Indian jujubeFamily : RhamnaceaeOrigin : MauritiusHeight in its natural environment : 12 mHardiness : -15°CFlower colour : yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Medium grower
Jujube tree,,,Syzygium jambos  : Rose appleFamily: MyrtaceaeOrigin : MalaysiaHeight in its natural environment : 10 mHardiness : -2°CColour of the flower : YellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Indian jujube,,,Syzygium cumini : Jamun TreeFamily: MyrtaceaeOrigin : IndiaHeight in its natural environment : 20 mHardiness : -2°CColour of the flower : BlancheDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Rose apple,,,Ixora coccinea : Flame of the woodsFamily : RubiaceaeOrigin : South-East AsiaHeight in its natural environment : 2 mHardiness : 4°CColour of the flower : RedDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Slow grower
Jamun tree,,,Silver-leaved mountain gum : Gommier des montagnes à feuilles d'argentFamily : MyrtaceaeOrigin : AustraliaHeight in its natural environment : 10 mRusticity : -10°CFlower colour : whiteDifficulty level : Expert  Hauteur : environ 10 à 20 cm (selon les saisons)  Croissance moyenne
Flame of the woods,,,"Wrightia religiosa : Water jasmine treeFamily : ApocynaceaeOrigin : China, MalaysiaHeight in its natural environment: 3 mHardiness : 5°CFlower colour : whiteDifficulty level : Expert  Height : about 5 to 10 cm (depending on seasons)  Fast grower"
Silver-leaved mountain gum,,,Murraya koenigii : Indian Curry treeFamily : RutaceaeOrigin : IndiaHeight in its natural environment: 7 mHardiness : 1°CFlower color : whiteDifficulty level : Expert  Hauteur : environ 5 à 20 cm (selon les saisons)  Croissance moyenne
Water jasmine tree,,,"Melianthus major : Giant honey flowerFamily : MelianthaceaeOrigin : South AfricaHeight in its natural environment : 2,50 mRusticity : -6°CFlower colour: red/orange/brownDifficulty level : Beginner  Size : 10 cm to 30 cm  Fast grower"
Indian Curry tree,,,Plumeria rubra white: Frangipani tree - WhiteFamily : ApocynaceaesOrigine : MexicoHeight in its natural environment : 10mHardiness : 5°CFlower colour: predominantly whiteDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons) Fast grower
Giant honey flower,,,
White frangipani tree,,,
