Name,Image URL 1,Mature Height,Mature Width,Sun,Bloom Size,Habit,Genus,Species,Variety,Product,Sun/Shade,Bloom Season Start,Bloom Season End,Bloom Color,Foliage Color,Resistance,Characteristics,Uses,Zone
Thymus 'Pink Chintz',"https://www.parkseed.com/media/catalog/product/2/9/29051_vpndwjtuseyzu14v.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,10 IN,"Full Sun, Part Shade",Edible,,,,,,,,30,"Early Fall, Early Spring, Early Winter, Late Fall, Late Spring, Mid Fall, Mid Spring",Cuisine,,,"Deer Resistance, Disease Resistant, Drought Tolerant, Pest Resistant"
Ultimate Park Seed Veggie Pizza Garden Seed Collection,"https://www.parkseed.com/media/catalog/product/2/6/26249.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",30,8 IN,,,,Eruca,sativa,Wild Rocket Speedy,"Annuals, Herbs, Seeds, Vegetables","Full Sun, Part Shade",Medium Green,Upright,,,,Late Spring,Medium Green,
'Orange Flash' Calendula Seeds,"https://www.parkseed.com/media/catalog/product/5/2/52299-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,12 IN,"Full Sun, Part Shade",Purple,,,,,,,,8,"Full Sun, Part Shade",Late Spring,Mid Summer,Dark Green,
Organic Catnip Seeds,"https://www.parkseed.com/media/catalog/product/0/5/05866-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",04-Aug,4 IN,12 IN,Full Sun,Pink,1-Quart,Thymus,praecox,'Purple Carpet',Perennials,Spreading,4,9,Full Sun,Early Summer,,,
Roman Chamomile Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00119.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",05-Sep,2 IN,,,,1-Quart,Thymus,serpyllum,'Pink Chintz',Perennials,Dwarf,5,,,,,,"4, 5, 6, 7, 8"
Fernleaf Dill Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00775-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",Full Sun,,,,95,"Collections, Herbs, Seeds, Vegetables",Full Sun,"Early Summer, Late Summer, Mid Summer","Edible, Fragrance","Beds, Containers, Cuisine, Outdoor",,,Orange,"Light Green, Medium Green","Beds, Containers, Cut Flowers","Beds, Border, Containers, Cuisine, Foliage Interest, Ornamental, Outdoor","3, 4, 5, 6, 7, 8","Beds, Containers, Cuisine, Foliage Interest, Outdoor"
English Organic Thyme Seeds,"https://www.parkseed.com/media/catalog/product/0/5/05876-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,Full Sun,0 IN,,,,,,,Late Spring,Late Fall,,,,,,
Sweet Marjoram Organic Seeds,"https://www.parkseed.com/media/catalog/product/5/2/52914-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,24 IN,,,"Disease Resistant, Heat Tolerant, Humidity Tolerant, Pest Resistant",Calendula,officinalis,'Orange Flash' ,Seeds,Full Sun,,,85,Mid Summer,"Bloom First Year, Butterfly Lovers, Certified Organic, Direct Sow, Easy Care Plants, Edible, Fragrance, Herbs, Hummingbird Lovers, Pest Fighter","Edible, Evergreen, Fragrance, Herbs, Long Bloomers","Border, Containers, Cuisine, Everlastings, Ground Cover, Ornamental, Outdoor",
Large Leaf Italian Organic Basil Seeds,"https://www.parkseed.com/media/catalog/product/0/5/05865.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",85,,15 IN,Full Sun,,,,,,,Medium Green,Upright,,,,"Disease Resistant, Heat Tolerant, Pest Resistant","Award Winner, Bloom First Year, Cut-and-Come-Again, Direct Sow, Easy Care Plants, Edible, Flower, Herbs, Pest Fighter",
Geisha Garlic Chives Seeds,"https://www.parkseed.com/media/catalog/product/5/2/52501-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,18 IN,24 IN,Full Sun,Prostrate,Nepeta,cataria,"Herbs, Perennials, Seeds",Full Sun,Mid Summer,,,1,Gray,90,"Border, Containers, Cuisine, Ornamental, Outdoor","4, 5, 6, 7, 8","Beds, Border, Containers, Cuisine, Foliage Interest, Ornamental, Outdoor"
ProEasy Chives Seeds ,"https://www.parkseed.com/media/catalog/product/5/2/52481-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",55,18 IN,,,55,,,,,,Early Fall,"White, Yellow",Yellow,Upright,"Early Fall, Early Summer, Late Summer, Mid Fall, Mid Summer",,,"3, 4, 5, 6, 7, 8, 9, 10"
Rosemary Irene™ ,"https://www.parkseed.com/media/catalog/product/3/3/33808_0snqcqyrcpbcsin6.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",90,,,,Drought Tolerant,Chamaemelum,nobile,"Herbs, Perennials, Seeds",Full Sun,Mid Summer,Mid Summer,Early Fall,90,"Early Fall, Early Summer, Late Spring, Late Summer, Mid Summer","Bloom First Year, Certified Organic, Cut-and-Come-Again, Easy Care Plants, Edible, Evergreen, Flower, Fragrance, Herbs, Pest Fighter, Pruning Recommended, Rose Companions",Cuisine,,Mid Summer
Mrs. Burns' Lemon Basil Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00292-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,,Anethum,graveleons,Fernleaf,"Annuals, Herbs, Seeds",Full Sun,Variegated,Compact,,,,,"Beds, Containers, Cuisine, Foliage Interest, Ornamental, Outdoor","Beds, Containers, Cuisine"
Park Seed Lavender Seed Collection,"https://www.parkseed.com/media/catalog/product/9/0/90449_u7fbkghgmvonywkm.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,Full Sun,,"Early Summer, Late Summer, Mid Summer",Thymus,vulgaris,"Herbs, Perennials, Seeds",Full Sun,Rose,,,Light Green,90,"Certified Organic, Edible, Fragrance, Herbs","Bloom First Year, Butterfly Lovers, Certified Organic, Cut-and-Come-Again, Edible, Fragrance, Herbs, Pruning Recommended",,
Cleopatra Organic Oregano Seeds,"https://www.parkseed.com/media/catalog/product/5/2/52951-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,18 IN,,Full Sun,,,,,,,Early Summer,Late Summer,,,,,"Award Winner, Bloom First Year, Butterfly Lovers, Cut-and-Come-Again, Direct Sow, Easy Care Plants, Edible, Fragrance, Herbs, Pest Fighter, Season Extenders",
Garlic Chives Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00545.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",85,,3 Feet,,"Early Summer, Late Summer, Mid Summer",Origanum,majorana,Sweet Marjoram Organic,"Annuals, Herbs, Seeds",Full Sun,,,Upright,75,"Disease Resistant, Heat Tolerant, Humidity Tolerant, Pest Resistant","Disease Resistant, Heat Tolerant, Humidity Tolerant, Pest Resistant","Beds, Border, Containers, Cuisine, Foliage Interest","3, 4, 5, 6, 7, 8, 9"
Garden Blend Parsley Seeds,"https://www.parkseed.com/media/catalog/product/5/2/52455-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,18 IN,,,,,,,,,White,Medium Green,,,,"Bloom First Year, Cut-and-Come-Again, Direct Sow, Easy Care Plants, Edible, Flower, Fragrance, Herbs, Pest Fighter, Rose Companions",Late Spring,
Pennyroyal Seeds,"https://www.parkseed.com/media/catalog/product/0/1/01556.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",07-Nov,,,,75,Ocimum,basilicum,Organic Basil Large Leaf Italian,"Herbs, Seeds",Full Sun,,,Medium Green,Upright,"Early Summer, Late Spring, Late Summer, Mid Summer",2,"Easy Care Plants, Edible, Fragrance, Heirloom, Herbs",
Lavandula Lavish® Pink Lavender,"https://www.parkseed.com/media/catalog/product/2/9/29163.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,0 IN,,"Full Sun, Part Shade","Early Fall, Early Summer, Late Spring, Late Summer, Mid Summer",,,,,,Late Summer,"Lavender, White",Compact,85,"Deer Resistance, Disease Resistant, Drought Tolerant, Heat Tolerant, Humidity Tolerant, Pest Resistant","Disease Resistant, Heat Tolerant, Pest Resistant",,"Deer Resistance, Drought Tolerant, Heat Tolerant"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Lisette Parsley Seeds,"https://www.parkseed.com/media/catalog/product/0/5/05635.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,Heat Tolerant,Petroselinum,crispum,Lisette,"Annuals, Herbs, Seeds",Full Sun,Medium Green,Upright,55,"Early Fall, Early Summer, Late Summer, Mid Fall, Mid Summer","Easy Care Plants, Edible, Herbs","Beds, Containers, Cuisine, Outdoor",,
Arugula Seeds,"https://www.parkseed.com/media/catalog/product/0/3/03912-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",45,2.4 Feet,12 IN,"Full Sun, Part Shade",,,,,,,,,,,,,,
Marino Organic Cilantro Seeds ,"https://www.parkseed.com/media/catalog/product/5/2/52902-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,"Butterfly Lovers, Cut-and-Come-Again, Direct Sow, Easy Care Plants, Edible, Fragrance, Herbs",Eruca,sativa,"Annuals, Herbs, Seeds, Vegetables","Full Sun, Part Shade",Medium Green,Mound-shaped,45,"Early Summer, Late Spring, Mid Summer",Heat Tolerant,"Beds, Containers, Cuisine, Foliage Interest, Outdoor",,,
Lavandula 'Munstead',"https://www.parkseed.com/media/catalog/product/v/1/v1037_jgsz886nitoojvil.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,,,,,,,,,,,,,"Cold Hardy, Deer Resistance, Disease Resistant, Drought Tolerant, Heat Tolerant, Pest Resistant","Bloom First Year, Butterfly Lovers, Edible, Flower, Fragrance, Free Bloomer, Heirloom, Herbs, Long Bloomers, Pruning Recommended, Rose Companions"
Panther Dark Blue Japanese Catmint Seeds,"https://www.parkseed.com/media/catalog/product/5/2/52167-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",05-Sep,12 IN,24 IN,Full Sun,,Coriandrum ,sativum,Marino Organic,"Annuals, Herbs, Seeds",Full Sun,Medium Green,105,"Certified Organic, Edible, Herbs","Beds, Border, Containers, Cuisine",,"Blue Green, Silver/Gray","Border, Containers, Cut Flowers, Outdoor","4, 5, 6, 7, 8"
Emily Organic Basil Seeds,"https://www.parkseed.com/media/catalog/product/5/2/52427-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",8 IN,10 IN,"Full Sun, Part Shade",0-2 IN,Mid Summer,,,,,,,,,,Late Summer,"Award Winner, Bloom First Year, Butterfly Lovers, Flower, Fragrance, Free Bloomer, Herbs, Long Bloomers, Pest Fighter",,
Minette Basil Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00307.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,,Medium Green,Lavandula,angustifolia,'Munstead',"Herbs, Perennials, Plants",Compact,5,9,Full Sun,Lavender,"Cold Hardy, Deer Resistance, Disease Resistant, Drought Tolerant",,"Disease Resistant, Heat Tolerant, Humidity Tolerant, Pest Resistant","Bloom First Year, Cut-and-Come-Again, Edible, Flower, Fragrance, Herbs, Pest Fighter, Pruning Recommended"
German Chamomile Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00526.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",18 IN,12 IN,Full Sun,,,Nepeta,subsessilis,'Panther Dark Blue',"Herbs, Perennials","Full Sun, Part Shade",Early Summer,Early Fall,Blue,2,,"Early Summer, Late Summer, Mid Summer","4, 5, 6, 7, 8, 9",
Nufar Hybrid Basil Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00273-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,Full Sun,Compact,Ocimum ,basilicum,"Herbs, Seeds",Full Sun,Dense,"Edible, Fragrance","Beds, Border, Containers, Cuisine",,,65,"Beds, Border, Containers, Cuisine, Everlastings, Outdoor",,"Beds, Containers, Cuisine, Foliage Interest, Ornamental, Outdoor"
Sage Seeds,"https://www.parkseed.com/media/catalog/product/0/1/01793.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",65,10 IN,10 IN,Full Sun,"Early Summer, Mid Summer",,,,,,,,White,Medium Green,"Bloom First Year, Cut-and-Come-Again, Easy Care Plants, Edible, Flower, Fragrance, Herbs, Long Bloomers",,"Bloom First Year, Cut-and-Come-Again, Edible, Fragrance, Herbs, Pest Fighter, Pruning Recommended","5, 6, 7, 8"
Oregano Seeds,"https://www.parkseed.com/media/catalog/product/0/3/03580.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",90,18 IN,20 IN,,,Ocimum,basilicum,Minette,"Annuals, Herbs, Seeds",Full Sun,Early Summer,Late Summer,Medium Green,90,,"Disease Resistant, Fusarium Wilt Race 1, Heat Tolerant, Humidity Tolerant, Pest Resistant","Beds, Border, Containers, Cuisine, Foliage Interest, Ornamental, Outdoor, Winter Interest","5, 6, 7, 8, 9, 10"
Catnip Seeds,"https://www.parkseed.com/media/catalog/product/0/0/00490-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,Full Sun,70,Matricaria,recutita,"Annuals, Herbs, Seeds",Full Sun,Early Summer,Mid Summer,"White, Yellow",,,"Early Summer, Late Summer, Mid Summer","Cut-and-Come-Again, Direct Sow, Easy Care Plants, Edible, Evergreen, Fragrance, Herbs, Pest Fighter","Border, Containers, Cuisine, Ornamental, Outdoor",
English Lavender Seeds,"https://www.parkseed.com/media/catalog/product/0/1/01138.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",75,2.7 Feet,3 Feet,Full Sun,"Late Summer, Mid Summer",,,,,,,,Light Green,Upright,"Cold Hardy, Pest Resistant","Butterfly Lovers, Cut-and-Come-Again, Easy Care Plants, Edible, Flower, Fragrance, Herbs, Pest Fighter, Rose Companions","3, 4, 5, 6, 7, 8","Border, Hedge, Ornamental, Outdoor"
English Lavender Seeds,"https://www.parkseed.com/media/catalog/product/0/1/01138-pk-p1.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",100,18 IN,18 IN,Full Sun,"Early Summer, Late Summer, Mid Summer",Ocimum,basilicum,Nufar Hybrid,"Annuals, Herbs, Seeds",Full Sun,Early Summer,Late Summer,Upright,75,"Cold Hardy, Disease Resistant, Drought Tolerant, Heat Tolerant, Humidity Tolerant, Pest Resistant","Beds, Border, Containers, Cuisine, Foliage Interest, Outdoor",,"Border, Hedge, Ornamental, Outdoor"
Ellagance Purple Lavender Seeds,"https://www.parkseed.com/media/catalog/product/0/1/01122-pk-250.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",85,24 IN,8 IN,,Mid Summer,Salvia,officinalis,"Herbs, Perennials, Seeds",Full Sun,Early Summer,"Blue, Lavender","Gray, Medium Green",Mound-shaped,100,"Bloom First Year, Butterfly Lovers, Cut-and-Come-Again, Direct Sow, Easy Care Plants, Edible, Fragrance, Herbs, Pest Fighter",,"Edible, Flower, Fragrance, Herbs",
Everleaf Genovese Basil Seeds,"https://www.parkseed.com/media/catalog/product/5/2/52486-pk-250.jpg?optimize=medium&bg-color=255,255,255&fit=bounds&height=740&width=740&canvas=740:740",,,,Full Sun,,Origanum,vulgare,"Herbs, Perennials, Seeds",Full Sun,Mid Summer,"Lavender, Pink",Dark Green,Upright,85,,Drought Tolerant,"Edible, Flower, Fragrance, Herbs",
Lavandula New Madrid® Rose Lavender,https://www.parkseed.com/products/lavandula-new-madrid-rose-lavender-29164,90,3 Feet,12 IN,,Upright,Nepeta,cataria,"Herbs, Perennials, Seeds",Full Sun,Early Summer,Late Summer,Medium Green,,,90,Drought Tolerant,,
Cinnamon' Basil Seeds,https://www.parkseed.com/products/cinnamon-basil-seeds-00275-pk-p1,,,,,Upright,,,,,,,,Lavender,"Blue Green, Silver/Gray",90,,,
Krausa Parsley Seeds,https://www.parkseed.com/flowers/coneflower-echinacea,,,,,,Lavandula,angustifolia,English,"Herbs, Perennials, Seeds",Full Sun,Early Summer,Late Summer,Lavender,"Blue Green, Silver/Gray",,,,
'Crimson King' Basil Seeds,https://www.parkseed.com/products/crimson-king-basil-seeds-00280-pk-p1,,,,,,Lavandula,angustifolia,English,"Herbs, Perennials, Seeds",Full Sun,Early Summer,Late Summer,,,,,,
Sombrero® Baja Burgundy Coneflower,https://www.parkseed.com/products/echinacea-sombrero-baja-burgundy-39808,,,,,,Lavandula ,angustifolia,"Herbs, Perennials, Seeds",Flower,"5, 6, 7, 8",,,,,,,,
Echinacea Cone-fections 'Cherry Fluff',https://www.parkseed.com/products/echinacea-cone-fections-cherry-fluff-multi-colored-coneflowers-26527,,,,,,,,,,,,,,,,,,
Echinacea Cone-fections 'Honeydew',https://www.parkseed.com/products/echinacea-cone-fections-honeydew-26528,,,,,,Ocimum ,basilicum,"Herbs, Seeds",45,none,,,,,,,,
Lavandula 'Silver Anouk',https://www.parkseed.com/products/lavandula-silver-anouk-v2412,,,,,,,,,,,,,,,,,,
