Name,Image URL 1,Description,Family,Type,Native,Hardiness,Exposure,Plant_dimension,Variety_info,Attributes
Di Cicco Broccoli Seeds,//www.botanicalinterests.com/cdn/shop/files/3056i_Broccoli-Di-Cicco-ORG_ef5c51bf-e025-4707-bcc0-5375ad401608.jpg?v=1708516091&width=1445,"An Italian classic, 'Di Cicco' is a superb variety, producing numerous, small to medium-sized heads well into the summer for more delicious broccoli more often! We recommend harvesting the main head when it is 3"" in diameter; this will encourage side shoots. 'Di Cicco' is a good freezer variety; leaves are also edible, cooked like chard. Seeds are excellent for sprouting!",Days to Maturity: 48 days,Family: Brassicaceae,Native: Europe,Hardiness: Frost-tolerant annual,Exposure: Full sun,"Plant Dimensions: 24""–36"" tall","Variety Info: 3""–4"" bluish-green central head, followed by lots of smaller florets. Leaves are dark green. 'Di Cicco' is a popular, reliable European heirloom introduced in 1890. Produces over a long period of time.",Attributes: Frost Tolerant
Long Standing Santo Cilantro/Coriander Seeds,//www.botanicalinterests.com/cdn/shop/files/6028i_Cilantro-Coriander-Long-Standing-ORG.jpg?v=1715191877&width=1445,"Also called Chinese parsley, cilantro has a thousand uses in the kitchen. 'Long Standing Santo' in particular has excellent flavor, improved leafiness and, as the name infers, it is slow to bolt. Add a sprig to chicken soup or add chopped leaves to Mexican, Caribbean, or Asian dishes. The crushed seeds add intriguing flavor to stews, beans, and cookies. Can be grown indoors for fresh cilantro leaves year-round. Cilantro grows best in cool temperatures.",Family: Apiaceae,Native: Mediterranean region,Hardiness: Annual,Exposure: Full sun to part shade,"Plant Dimensions: 12""–24"" tall, 6""–12"" wide","Variety Info: Long Standing Santo' has excellent flavor, improved leafiness and when hot weather arrives, is slower to bolt (prematurely go to seed) than other varieties.","Attributes: Good for Containers, Attracts Beneficial Insects",
Carnival Blend Carrot Seeds,//www.botanicalinterests.com/cdn/shop/files/3115i_Carrot-Carnival-Blend-ORG_93a5c838-b8f8-4306-803d-c0ddee4e0119.jpg?v=1708516318&width=1445,"Grown and eaten in Asia and Europe 1,000 years ago, these colorful carrots are available once again. Just like the popular orange carrots, red, purple, and yellow carrots contain plenty of vitamin A and other healthful nutrients. Carnival Blend carrots can also be harvested when only 3""–4"" long for gourmet baby carrots.",,,,,,,,"Variety Info: PURPLE: Purple skin, orange interior, tapered roots. RED: Red skin, yellow interior, rounded ends. YELLOW: Yellow skin, yellow interior, tapered roots. ORANGE: Orange skin, orange interior, tapered roots."
Sugar Baby Watermelon Seeds,//www.botanicalinterests.com/cdn/shop/files/3131i_Watermelon-Sugar-Baby-ORG.jpg?v=1715192388&width=1445,"Summer never tasted so good! As the name suggests, 'Sugar Baby' is delectably sweet and small enough to easily fit in the refrigerator. This plant produces an abundant crop of 7""–10"", 8–10 pound, juicy fruit with red flesh.",Days to Maturity: 65–75 days,Family: Apiaceae,Type: Carrot (Learn more),"Native: Africa, Eurasia",Hardiness: Frost-tolerant biennial grown as an annual,Exposure: Full sun,"Plant Dimensions: Roots are 8""–10"" long at their peak","Variety Info: 8–10 pound fruit about 9"" long with bright red, sweet flesh, and fewer than average, very small seeds. The rind is dark green with thin, mottled, darker green stripes. 'Sugar Baby' was introduced in 1959."
Italian Roma Bush Tomato Seeds,//www.botanicalinterests.com/cdn/shop/files/691_62_large_48f2956d-fa2a-41e6-af13-76a97df15a40.jpg?v=1715194919&width=1445,"An absolutely excellent heirloom tomato—firm, meaty, 3"" oblong fruits with few seeds, on compact vines that are very productive. As a determinate type, most of the fruits ripen at the same time, which makes this tomato a good choice for canning. In areas with a long growing season, a second planting will double your harvest! 	",Days to Maturity: 80 days,Family: Cucurbitaceae,Type: Watermelon (Learn more),Native: Africa,Hardiness: Frost-sensitive annual,Exposure: Full sun,Plant Dimensions: 6'–10' vines,"Variety Info: 3"" x 1 ½"", 5-6 oz. oblong, red fruits with few seeds. Italian 'Roma' is a determinate type tomato."
San Marzano Roma Pole Tomato Seeds,//www.botanicalinterests.com/cdn/shop/files/3087i_Tomato-Pole-Roma-San-Marzano-ORG-new2025.jpg?v=1721629197&width=1445,"San Marzano' may very well be the mother of all paste tomatoes, as it is believed by some tomato aficionados to be the parent of almost all the paste tomatoes bred in the U.S. since the 1920s. For generations, Italians have cherished this large, paste tomato as the very best for sauce and canning, and when it comes to sauce, Italians would know! Vigorous vines reach 6' or more.",Days to Maturity: 80 days from transplanting,Family: Solanaceae,"Type: Determinate, Paste Tomato (Learn more)",Native: Andes,Hardiness: Frost-sensitive annual,Exposure: Full sun,"Plant Dimensions: About 36"" tall, 18"" wide","Variety Info: 3""–4"" long, 1 ½"" wide, oblong, red fruits. 'San Marzano' is a ""paste"" tomato."
Easter Egg Blend Radish Seeds,//www.botanicalinterests.com/cdn/shop/files/0195i_Radish-Easter-Egg-Blend.jpg?v=1715191895&width=1445,"Easter Egg Blend is a mix of red, white, rose pink, purple, and bi-color (red top, white base) radishes. At harvest time, you can have your own ""Easter egg"" hunt for the most colorful radish! As a spring radish, they are best grown in the cool periods of spring and fall. Eat fresh in salads or add a bit of crunch and color to sandwiches. A good choice for gardening with kids.",Days to Maturity: 70–90 days from transplanting,Family: Solanaceae,"Type: Indeterminate, Paste Tomato (Learn more)",Native: Andes,Hardiness: Frost-sensitive annual,Exposure: Full sun,Plant Dimensions: Vines up to 6' or longer,"Variety Info: Exterior colors of red, white, rose pink, purple, and bi-color (red top, white base), crisp, white interior with a mild flavor."
Gourmet Baby Greens Mesclun Lettuce Seeds,//www.botanicalinterests.com/cdn/shop/files/3125i_Lettuce-Mesclun-Gourmet-Baby-ORG.jpg?v=1715192008&width=1445,"Discover the fresh flavor and satisfaction of picking lettuce from your own garden! This exciting mix of butterhead, leaf, and romaine lettuce remain wonderfully tasty, even picked at full size. You don't have to have a large vegetable garden to enjoy fresh, baby greens, either. Perfect for growing in containers indoors or out, and pretty enough to use as a border around your flower bed! Contains equal parts: 'Buttercrunch', 'Black Seeded Simpson', 'Green Salad Bowl', 'Lolla Rossa', 'Red Oak Leaf', and 'Rouge d'Hiver'.",Days to Maturity: 30 days,Family: Brassicaceae,Type: Spring/Summer radish (Learn more),Native: Unknown,Hardiness: Frost-tolerant annual,Exposure: Full sun to part shade,"Plant Dimensions: 5""–8"" tops, 1"" globe-shaped roots","Variety Info: BUTTERHEAD: 'BUTTERCRUNCH': Soft, slightly crumpled light green leaves in a loose head, often with a creamy yellow core. LEAF LETTUCES: 'BLACK SEEDED SIMPSON': Crinkled, light green, crisp leaves with frilly edges. 'GREEN SALAD BOWL': Deeply lobed green leaves. 'LOLLA ROSA': Deeply curled leaves with very frilly, red edges. 'RED OAK LEAF': Medium green, deeply lobed, oak leaf-shaped leaves, mild flavor, slower to bolt. ROMAINE: 'ROUGE d'HIVER': Green leaves are tinged with reddish-brown; rich, buttery flavor."
Early Prolific Straightneck Summer Squash Seeds,//www.botanicalinterests.com/cdn/shop/files/3006i_Squash-Sum-Earl-Prol-St-ORG.jpg?v=1715195216&width=1445,"This All-America Selections award winner is still a favorite and for good reason! Thick, firm, fine-grained delicious squash is ready to harvest in just 45 days! Versatile summer squash can be eaten raw, pickled, or cooked in innumerable ways, including in sweet breads. Best picked at 4""–7"", or smaller for ""baby"" size. If left on the vine, it may grow so big that it would take two people to carry it!",Days to Maturity: 21–58 days,"Family: Organic, Heirloom",Type: Baby Greens (Learn more),Native: Asteraceae,Hardiness: Frost-tolerant annuals.,Exposure: Full sun to part shade,"Plant Dimensions: Leaves are harvested at 4"" to 6"" tall for mesclun.","Variety Info: Pick when 4""–7"" long. Fruit is lemon yellow, club-shaped."
Arugula/Rocket Seeds,//www.botanicalinterests.com/cdn/shop/files/3041i_Arugula-Rocket-ORG.jpg?v=1715191842&width=1445,"Arugula's flavor has been described as peppery, mustardy, and hot with a hint of tartness. It adds such an exciting, interesting flavor to salads. Most often eaten raw in salads but also steamed or added raw to many other dishes such as pizza. Tender baby greens are ready in 20– 28 days, at 2""–4"" tall. Also a good container variety.",Days to Maturity: 20–45 days,Family: Brassicaceae,"Native: Africa, Asia, Europe; exact native range obscure",Hardiness: Frost-tolerant annual,Exposure: Full sun,"Plant Dimensions: 12""–24"" tall at maturity","Variety Info: 2""–6"" soft, green leaves are deeply pinnately lobed, shaped much like an elongated oak leaf, with hints of red in the veins. Flavor can be described as rich and peppery. Edible flowers are creamy white with purple veins.","Attributes: Frost Tolerant, Cold Tolerant, Good For Containers"
Sugar Snap Snap Pea Seeds,//www.botanicalinterests.com/cdn/shop/files/3089i_Pea-Snap-Sugar-Snap.jpg?v=1715190911&width=1445,,Days to Maturity: 70 days,Family: Fabaceae,Type: Snap Pea (Learn more),"Native: Western Asia, Europe, and North Africa",Hardiness: Frost-tolerant annual,Exposure: Full sun,Plant Dimensions: 6'–8' vines,"Variety Info: Sweet, crunchy, 3"" long edible pods with plump peas."
Contender Bush Bean Seeds,//www.botanicalinterests.com/cdn/shop/files/3034i_Bean-Bush-Contender-ORG-new2025.jpg?v=1721629217&width=1445,"Why is this bean called 'Contender'? Because it vies for the number one spot among beans! And rightly it should; a stringless favorite since 1949, it produces after only 50 days from sowing, and tolerates heat and powdery mildew where other varieties suffer. Disease resistant.",Days to Maturity: 50 days,Family: Fabaceae,"Type: Snap Bean, Bush Bean (Learn More)",Native: Mexico and South America,Hardiness: Frost-sensitive annual,Exposure: Full sun,"Plant Dimensions: 12""–20"" tall, wide","Variety Info: 6""–8"" long, round-oval, slightly curved pods. Also resistant to common bean mosaic virus."
Jimmy Nardello Sweet Pepper Seeds,//www.botanicalinterests.com/cdn/shop/files/3081i_Pepper-Sweet-Jimmy-Nardello-ORG.jpg?v=1708515013&width=1445,"This Italian heirloom was brought to America by the Nardello family in 1887, and named for the most garden-devoted of their 11 children, Jimmy. The 6""-12"" peppers have an exceptionally sweet, rich flavor, making them the quintessential Italian frying pepper. Delicious in chili and salsa, or dried and ground for paprika. Prolific plants grow well in most areas.",Days to Maturity: 80–90 days from transplanting,Family: Solanaceae,Type: Sweet Pepper (Learn more),Native: Americas,Hardiness: Frost-sensitive perennial grown as an annual,Exposure: Full sun,"Plant Dimensions: 24"" tall, 18"" wide","Variety Info: 6""–12"" peppers start out green and ripen to deep, glossy red with a very sweet, rich flavor."
Honeynut Winter Squash Seeds,//www.botanicalinterests.com/cdn/shop/files/3182i_Squash-Winter-Honeynut-ORG.jpg?v=1715194692&width=1445,"A renowned farm-to-table chef and a Cornell breeder worked for 6 years, crossing the flavorful, savory butternut with the sweet buttercup, to create this more manageable, 4""–5"" butternut. The thin, edible skin signals ripeness by turning from green to terracotta, either on or off the plant. Compact vines are great for containers or trellises. Plants are resistant to powdery mildew and squash vine borers. Stores up to 6 months.",Days to Maturity: 110 days,Family: Cucurbitaceae,"Type: Butternut Squash, Winter Squash (Learn more)",Native: Northern Columbia,Hardiness: Frost-sensitive annual,Exposure: Full sun,"Plant Dimensions: 24""–36"" vine","Variety Info: 4""–5"" fruits start out green with orange mottling, ripening to a pale terracotta. As a combination of butternut and buttercup types, 'Honeynut' is very sweet with very smooth-textured flesh."
Jade Bush Bean Seeds,//www.botanicalinterests.com/cdn/shop/files/0258i_Bean-Bush-Jade.jpg?v=1715191087&width=1445,"Jade' is a favorite of gardeners for its consistently long, straight, stringless pods that are tender and sweet with a beautiful, dark green color. Upright, bushy plants hold the pods high, avoiding tip rot. In addition to being very productive, plants are more heat and cold tolerant than other types, are resistant to bean common mosaic viruses 1 and NY15, and tolerant to curly top virus and rust.",Days to Maturity: 55 Days,Family: Fabaceae,"Type: Snap Bean, Bush Bean (Learn More)",Native: Mexico and South America,Hardiness: Annual; very frost sensitive,Exposure: Full sun,"Plant Dimensions: 14""–18"" tall, 8""–10"" wide, upright bushy plants","Variety Info: Jade' produces very dark green, round, 6½"" long pods with white seeds. Plants are resistant to common bean mosaic viruses 1 and NY15, and tolerant to curly top virus and rust."
Early Jalapeño Chile Pepper Seeds,//www.botanicalinterests.com/cdn/shop/files/0038i_Pepper-Chile-Ear-Jalapeno.jpg?v=1715194850&width=1445,"Lots of bold flavor in a small, 3"" pepper, 'Early Jalapeño' is better adapted to cooler climates than other jalapeños. Incredibly versatile, they're hot enough to add a little kick to your favorite dish, but mild enough for any meal. Enjoy green or allow to ripen to red for a sweeter, bolder flavor. Jalapeños rate 2,500–5,000 Scoville heat units (medium hot).",Days to Maturity: 63 days from transplanting,Family: Solanaceae,"Type: Under 5000 Scoville Units, Chile Pepper (Learn more)",Native: Americas,Hardiness: Frost-sensitive perennial grown as an annual,Exposure: Full sun,"Plant Dimensions: 18""–36"" tall,  12""–24"" wide","Variety Info: 3"" long, 1"" wide at the shoulder tapering to a rounded tip; peppers start out dark green turning to red if left to mature on the plant. Red jalapeños are slightly sweeter and spicier. The popular chipotle pepper is a dried, smoked, red jalapeño. 'Early Jalapeño' is a medium hot pepper at 2,500–5,000 Scoville heat units. Pepper heat varies depending on growing conditions."
Diablo Cosmos Seeds,//www.botanicalinterests.com/cdn/shop/files/2050i_Cosmos-Diablo-ORG.jpg?v=1708516118&width=1445,"Vibrant, bold blossoms on tall stems make a big statement in the garden. Cosmos put on a big show from midsummer until first fall frost, providing pollen and nectar for bees, hummingbirds, and butterflies. Grows loads of cut flowers for your bouquets. A great choice for wildflower areas, as they are drought tolerant and practically care-free. A 1974 All-America Selections winner.",Family: Asteraceae,Type: Cosmos (Learn more),Native: Mexico,Hardiness: Annual,Exposure: Full sun,Bloom Period: Summer to frost,Plant Dimensions: 4'–5' tall,"Variety Info: 1–1½"" bright, scarlet/orange blossoms"
Bloomsdale Spinach Seeds,//www.botanicalinterests.com/cdn/shop/files/3007i_Spinach-Bloomsdale-ORG.jpg?v=1715191909&width=1445,"Be strong to the finish and eat your spinach! If you haven't grown spinach before, the freshness and quality of homegrown will win you over. 'Bloomsdale' is an early 1800's, dependable, open-pollinated variety. For growing tender, baby greens in as little as 28 days, you can sow seeds just 1"" apart. Very nutritious—lots of vitamins A and C and iron. Grows great in a container too!",Days to Maturity: 28–45 days,Family: Amaranthaceae,Native: Southwest Asia,Hardiness: Frost-tolerant annual,Exposure: Full sun to part shade,"Plant Dimensions: 6""–8"" tall","Variety Info: Very dark green, thick, curled leaves. 'Bloomsdale' was introduced in the early 1800s. It is a vigorous grower, slow to bolt, and has tender, rich-flavored leaves.","Attributes: Good for Containers, Frost Tolerant"
Crackerjack African Marigold Seeds,//www.botanicalinterests.com/cdn/shop/files/1228i_Marigold-African-Crackerjack.jpg?v=1715191135&width=1445,"If you want a large, majestic marigold, Crackerjack is a superior blend with a mounding form, consistent height, and sturdy flower stalks. The 4"" blooms in tangerine orange, rich gold, and lemony yellow will brighten up your flower bed, path edges, and large container plantings. They make radiant, long-lasting cut flowers and are so easy to grow from seed. African Marigold petals are edible with a slightly bitter, citrusy/spice flavor. They make a pretty garnish on rice, salads, or desserts. For a dazzling contrast, plant next to blue or dark purple flowers. Be prepared for butterflies to visit!",Family: Asteraceae,Type: African Marigold (Learn more),Native: Mexico and South America,Hardiness: Annual,Exposure: Full sun,Bloom Period: Summer to frost,"Plant Dimensions: 24""–36"" tall","Variety Info: 4"" blooms in tangerine orange, rich gold, and lemony yellow."
Salad Bowl Blend Leaf Lettuce Seeds,//www.botanicalinterests.com/cdn/shop/files/3023i_Lettuce-Leaf-Salad-Bowl-ORG.jpg?v=1708516504&width=1445,"Fill your bowl with the mixed colors of Salad Bowl Blend! This blend has it all–great flavor, good looks, and heat tolerance. Harvest young for terrific baby greens. 'Green Salad Bowl' won the All-America Selections award in 1952, and 'Red Salad Bowl' won the Award of Garden Merit from the Royal Horticultural Society in 1995. Successive sowings will produce sweet lettuce spring through late fall! We've filled this packet with a whopping 2.5 grams of seed, enough for a small, fresh greens farm! ",Days to Maturity: 21-50 days,"Family: Organic, Heirloom",Type: Leaf Lettuce (Learn more),Native: Asteraceae,Hardiness: Frost-tolerant annual,Exposure: Full sun,"Plant Dimensions: 6""–8"" tall, 8"" wide","Variety Info: RED SALAD BOWL' has deeply lobed, burgundy leaves that form a large rosette if proper sowing distances are observed. Red color is more intense in cool weather. 'GREEN SALAD BOWL' has lobed, wavy green leaves forming a rosette. Both are resistant to bitter flavor during the heat. Both varieties in Salad Bowl Blend are from the 1950s."
Truchas Mini-Romaine Lettuce Seeds,//www.botanicalinterests.com/cdn/shop/files/3170i_Lettuce-Romaine-Truchas-ORG.jpg?v=1715192518&width=1445,"This deep-red, mini-romaine is a game-changer for Caesar salads! 'Truchas' is compact and easy to grow in small spaces and beautifully complements green lettuces. Uniform leaves stay upright in the garden and are easy to clean. Disease resistant to downy mildew, lettuce die-back, and lettuce mosaic virus. Seeds are pelletized with an organic coating for easy handling.",Days to Maturity: 21–48 days,Family: Asteraceae,Type: Romaine Lettuce (Learn more),Native: Unknown; lettuce has been in cultivation for a long time.,Hardiness: Frost-tolerant annual,Exposure: Full sun to part shade,"Plant Dimensions: 6""–8"" wide, 6""–8"" tall","Variety Info: Glossy, upright, cherry-red leaves with a green midrib. 'Truchas' is a miniature, romaine-type lettuce with resistance to downy mildew, lettuce die-back, and lettuce mosaic virus."
Violet Queen Salvia Seeds,//www.botanicalinterests.com/cdn/shop/files/1341i_Salvia-Violet-Queen.jpg?v=1715194378&width=1445,,Family: Lamiaceae,Native: Unknown,Hardiness: Perennial in USDA zones 3–9,Exposure: Full sun,Bloom Period: Summer to frost,"Plant Dimensions: 24"" tall and wide","Variety Info: ¾"" violet flowers clustered along upright stems (terminal racemes) that rise above plant foliage","Attributes: Attracts Butterflies, Attracts Hummingbirds, Attracts Pollinators, Cut Flower, Drought Tolerant, Deer Resistant"
Waltham Butternut Winter Squash Seeds,//www.botanicalinterests.com/cdn/shop/files/0047i_Squash-Winter-Waltham.jpg?v=1715193505&width=1445,"Winter squash gives you the perfect reason to look forward to winter! The rich, sweet flavor of butternut quickly became a classic and has set a high bar. Roast, bake, or purée into a soup for classic winter fare. 4 to 5 fruits per plant; solid stems resist squash vine borers. Stores for months! 1970 All-America selections winner.",Days to Maturity: 100 days,Family: Cucurbitaceae,"Type: Butternut Squash, Winter Squash (Learn more)",Native: Northern Columbia,Hardiness: Frost-sensitive annual,Exposure: Full sun,Plant Dimensions: 8' vines,"Variety Info: 8""–12"" long, 3–6 pounds, light tan skin with yellowish-orange flesh."
Tasty Green Cucumber Seeds,//www.botanicalinterests.com/cdn/shop/files/3062i_Cucumber-Tasty-Green-ORG.jpg?v=1708514567&width=1445,"Tender, thin skin, burpless, and non-bitter—what else could you want in a cucumber? Japanese cucumbers are known for their slender, long shape, with thin, sweet skin, and very few, tiny seeds. Highly productive plant, grow on a trellis to save space while growing straighter fruit. Sure to become your new favorite.",Days to Maturity: 60 days,Family: Cucurbitaceae,Type: Monoecious (Learn More),Native: Southern Asia,Hardiness: Frost-sensitive annual,Exposure: Full sun,Plant Dimensions: 6'–7' vines,"Variety Info: Tasty Green' has resistance to powdery mildew and tolerance of downy mildew. Best picked before or at 9"" in length."
Cherokee Purple Pole Tomato Seeds,//www.botanicalinterests.com/cdn/shop/files/3002i_Tomato-Pole-Cherokee-Pur-ORG.jpg?v=1708510204&width=1445,"Cherokee Purple' is said to have been given to a Tennessee family by the Cherokees over 100 years ago. This treasured tomato has just the right balance of sweetness and even a hint of smoke, making  it a winner in taste tests. From summer to fall, you'll harvest more than enough 10–12 oz. tomatoes from this well-regarded heirloom variety. Provide support for vigorous vines that reach 6' or more.",Days to Maturity: 80 days from transplanting,Family: Solanaceae,"Type: Indeterminate, Slicing Tomato (Learn more)",Native: Andes,Hardiness: Frost-sensitive annual,Exposure: Full sun,Plant Dimensions: Vines up to 6' or longer,"Variety Info: 10–12 oz., thin-skinned rose/purple fruits with brick red-colored interior. It is said that in the late 1890s, Native American Cherokees gave seeds of this tomato to someone who kept the line alive. One hundred years later, the tomato was revived, and the seeds became available to the public through retail sales."
California Wonder Sweet Pepper Seeds,//www.botanicalinterests.com/cdn/shop/files/3032i_Pepper-Sweet-Calif-Wonder-ORG.jpg?v=1708514392&width=1445,"An old-time favorite since 1928 for good reason! 'California Wonder's' large, uniform shape makes it ideal for stuffing. Delicious grilled, they are perfect for shish kabobs. Peppers left on the plant will turn a beautiful, bright red, and have more vitamin C than an orange! Good container variety, and dependable performer even in short season climates.",Days to Maturity: 75 days from transplanting,Family: Solanaceae,Type: Sweet Pepper (Learn more),Native: Americas,Hardiness: Frost-sensitive perennial grown as an annual,Exposure: Full sun,"Plant Dimensions: 18""–30"" tall, 12""–18"" wide","Variety Info: 4"" long, 3""–3 ½"" wide, blocky shape, thick flesh. The immature green pepper is commonly called ""green bell."" If left on the plant to mature, it turns to a rich red, commonly referred to as ""red bell,"" and is sweeter and milder than the green one."
Ace 55 Bush Tomato Seeds,//www.botanicalinterests.com/cdn/shop/files/3039i_Tomato-Bush-Ace-55-ORG.jpg?v=1708512520&width=1445,"A 1950s heirloom, 'Ace 55' has excellent, fresh tomato flavor and is a lower-acid tomato. An old favorite for canning, 5""–6"" diameter, 6–8 ounce fruits are just the right size to quarter and pack into jars. Yields are exceptional; as a determinate type, the majority of the fruits ripen over a 1 to 2 week period. In areas with a long growing season, sow in succession.",Days to Maturity: 80 days from transplanting,Family: Solanaceae,"Type: Low Acid, Determinate, Slicing Tomato (Learn more)",Native: Andes,Hardiness: Frost-sensitive annual,Exposure: Full sun,"Plant Dimensions: About 36"" tall, 18"" wide","Variety Info: 1950 heirloom, resistant to verticillium wilt and fusarium wilt (Race 1). 6–8 oz., red, globe-shaped tomato."
Cabernet Bulb Onion Seeds,//www.botanicalinterests.com/cdn/shop/files/3174i_Onion-Bulb-Cabernet-ORG.jpg?v=1708515838&width=1445,"Cabernet's' globe shape and burgundy skin make it a picturesque addition to your harvest! Enjoy the sweet flavor raw on salads or burgers, or cooked into a jam on toast or cheese. Bred for 2""–3"" uniform shape and early harvest, this onion will store for up to 6 months! Recipe for red onion jam inside packet. Intermediate-day onions grow best in latitudes 32–42.",Days to Maturity: 100–110 days,Family: Alliaceae,Type: Intermediate-day sweet onion. (Learn more),Native: Exists only in cultivation,Hardiness: Biennial grown as an annual,Exposure: Full sun,"Plant Dimensions: 2""-3"" round bulbs","Variety Info: Uniform, 2""–3"" round bulbs with dark red rings. 'Cabernet' is an intermediate-day onion with a 4- to 6-month storage life."
Long Purple Eggplant Seeds,//www.botanicalinterests.com/cdn/shop/files/0132i_Eggplant-Long-Purple.jpg?v=1715193399&width=1445,"A widely used international food thought to have originated in Japan, eggplant is fast becoming a favorite in the U.S. This long, slender variety, not usually found in grocery stores, is flavorsome in countless recipes from Italy to China to Russia and beyond. Also called 'Italian Long Purple', this prolific heirloom will bring beautiful color to the garden and savory goodness to the table.",Days to Maturity: 70–80 days from transplanting,Family: Solanaceae,Native: Asia,Hardiness: Perennial in tropical climates; grown as annual in climates other than those that are frost-free and very warm; very frost sensitive.,Exposure: Full sun,"Plant Dimensions: 24""–36"" tall, 24"" wide","Variety Info: 8""–10"" long, 2"" wide; cylindrical, but slightly wider at bottom end, with smooth, glossy purple skin, and creamy interior.",Attributes: Good for Containers
Rouge d'Hiver Romaine Lettuce Seeds,//www.botanicalinterests.com/cdn/shop/files/3122i_Lettuce-Romaine-Rouge-d-H-ORG-new2025.jpg?v=1721628996&width=1445,"This wonderful French heirloom from the 1800s has been pleasing gardeners with its rich, buttery flavor for more than a century. Compact, 12"" tall head with a tender green heart surrounded by bronze-red leaves. The name fittingly translates to ""Red Winter"", as it is cold tolerant and resists tip burn. Ideal for fall planting.",Days to Maturity: 20–65 days,Family: Asteraceae,Type: Romaine Lettuce (Learn more),Native: Unknown; lettuce has been in cultivation for a long time.,Hardiness: Frost-tolerant annual,Exposure: Full sun to part shade,"Plant Dimensions: 6""–10"" tall, 8""–10""wide",Variety Info: Upright heads have bronze-red leaves and a green heart; develops best color in cool weather. 'Rouge d´Hiver' is a compact lettuce; a French heirloom from the 1800s.
Miyashige White Daikon Radish Seeds,//www.botanicalinterests.com/cdn/shop/files/3086i_Radish-Daikon-White-ORG-new2025.jpg?v=1721628986&width=1445,"Young daikon radishes are often used shredded in sushi, but their light, slightly spicy flavor is a unique addition to many other dishes. Mature daikon is pickled or cooked; add to stir-fries or soups for crunch. Daikon is a winter radish, requiring shortening day length and cool temperatures to form. Sow after mid-summer or fall depending on your growing season. Deep roots are also used as a cover crop to break up heavy soils. Stores well.",Days to Maturity: 50–60 days,Family: Brassicaceae,"Type: Winter Radish, Daikon radish (Learn more)",Native: Unknown,Hardiness: Frost-tolerant annual,Exposure: Full sun to part shade,"Plant Dimensions: Harvest roots at 12"" to 18"" long and 2"" to 3"" wide.","Variety Info: Best harvested at 12""–18"" long 2""–3"" wide. 'Miyashige White' is a daikon, winter radish with a tapered, white and light-green root."
Hokus Gherkin Cucumber Seeds,//www.botanicalinterests.com/cdn/shop/files/3127i_Cucumber-Gherkin-Hokus-ORG.jpg?v=1715194581&width=1445,"Gherkins are tiny cucumbers used for pickles, and these are the best; seedless, bitter-free, and uniform in shape. Use as small as 1½"" long, or up to 4"" for making excellent sweet pickles, French cornichons (""little horns""), or for fresh use. Plants are vining at up to 72""; grow against a trellis or fence for support.",Days to Maturity: 60 Days,Family: Cucurbitaceae,"Type: Parthenocarpic, Pickling Cucumber (Learn More)",Native: Southern Asia,Hardiness: Frost-sensitive annual,Exposure: Full sun,"Plant Dimensions: 72"" vines","Variety Info: Hokus' is quick to produce small-spined, crunchy cucumbers. 'Hokus' is a parthenocarpic type cucumber that is best when harvested at under 4""."
Vegetable Spaghetti Winter Squash Seeds,//www.botanicalinterests.com/cdn/shop/files/3171i_Squash-Winter-Veg-Spaghetti-ORG.jpg?v=1715193521&width=1445,"Also called gold string melon, spaghetti squash is unique among winter squashes; when cooked, the flesh falls away from the shell in strands like spaghetti, and retains a tender, yet al dente, texture. Savory flavor that is delicious, and low calorie, with a simple bit of butter and salt. Each plant can yield 5 to 7 squash.",Days to Maturity: 90–100 days,Family: Cucurbitaceae,"Type: Spaghetti Squash, Winter Squash (Learn more)",Native: United States and Northern Mexico,Hardiness: Frost-sensitive annual,Exposure: Full sun,Plant Dimensions: 8'–12' vines,"Variety Info: 8""–12"" long,  4""–5"" diameter, pale yellow, cylindrical shape. Flesh is pale yellow, and falls away from the shell in spaghetti-like strands."
Early Wonder Beet Seeds,//www.botanicalinterests.com/cdn/shop/files/3014i_Beet-Early-Wonder-ORG.jpg?v=1708516433&width=1445,"Since the early 1900s, 'Early Wonder' has delivered abundant greens, flavorful beets, and early production. Great for mild climates where multiple crops are possible. The 18"" greens are as delicious, and high in vitamins A and C, iron, and potassium. Beet seed is actually a dried fruit with 1-5 seeds in each fruit, so thinning is very important.",Days to Maturity: 48 days,Family: Amaranthaceae,Type: Beet (Learn more),"Native: Europe, Asia, and the Mediterranean region",Hardiness: Frost-tolerant biennial grown as an annual,Exposure: Full sun,"Plant Dimensions: Leaf tops are 18"" tall","Variety Info: Smooth, 1 ½""–2 ½;"" diameter with slightly flattened roots. Leaf tops are dark green on red stems. 'Early Wonder', introduced in 1911, is an excellent beet for both greens and roots, ready for harvest in as little as 40 days. Especially good in early spring due to its ability to grow in cool soils."
